scorer,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,single,single,single,single,single,single
bodyparts,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,centroid,centroid,centroid,tailbase,tailbase,tailbase,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,centroid,centroid,centroid,tailbase,tailbase,tailbase,TopLeftCornerOfBox,TopLeftCornerOfBox,TopLeftCornerOfBox,BottomLeftCornerOfBox,BottomLeftCornerOfBox,BottomLeftCornerOfBox
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
40,,,0.0,279.648,847.908,1.0,218.132,827.046,1.0,233.209,890.216,1.0,227.257,981.485,1.0,1341.268,1261.947,0.9559999704360962,1292.23,1286.763,1.0,1315.932,1222.892,1.0,1254.355,1219.071,1.0,1161.38,1134.084,1.0,203.823,188.608,1.0,201.756,1318.332,1.0
41,,,0.0,277.458,847.478,1.0,216.633,830.769,1.0,235.13,891.544,1.0,226.749,979.27,1.0,1341.849,1262.134,0.9929999709129333,1291.262,1286.152,1.0,1315.235,1221.996,1.0,1255.681,1221.702,1.0,1161.492,1135.183,1.0,204.21,188.516,1.0,201.603,1322.396,1.0
42,,,0.0,274.894,843.922,1.0,213.622,826.203,1.0,234.372,887.767,1.0,227.842,980.315,1.0,1341.624,1262.087,0.9919999837875366,1291.969,1286.066,1.0,1314.853,1222.264,1.0,1255.577,1221.472,1.0,1161.48,1134.407,1.0,204.364,188.675,1.0,202.213,1318.103,1.0
43,,,0.0,274.583,842.392,1.0,214.205,825.955,1.0,233.184,889.125,1.0,227.361,980.313,1.0,1339.988,1261.908,0.9679999947547913,1290.954,1287.396,1.0,1315.63,1222.926,1.0,1257.07,1222.828,1.0,1161.462,1133.897,1.0,204.093,186.918,1.0,201.593,1318.69,1.0
44,,,0.0,275.115,844.946,1.0,212.609,827.546,1.0,233.012,890.187,1.0,228.11,979.964,1.0,1329.848,1260.709,0.9959999918937683,1287.865,1284.544,1.0,1314.394,1223.449,1.0,1253.472,1221.059,1.0,1161.672,1134.834,1.0,204.282,188.391,1.0,201.08,1318.532,1.0
45,,,0.0,274.555,844.022,1.0,214.6,821.839,1.0,233.773,891.06,1.0,227.205,979.476,1.0,1330.474,1260.417,0.9990000128746033,1288.806,1285.612,1.0,1314.479,1222.259,1.0,1255.941,1209.336,1.0,1161.256,1133.619,1.0,204.383,188.684,1.0,201.582,1317.844,1.0
46,,,0.0,277.303,847.199,1.0,212.845,827.38,1.0,232.342,889.433,1.0,225.9,975.679,1.0,1331.148,1261.333,0.9369999766349792,1288.875,1285.024,1.0,1316.018,1222.227,1.0,1257.393,1209.995,1.0,1160.9,1134.05,1.0,204.128,188.383,1.0,200.942,1318.554,1.0
47,,,0.0,284.18,845.937,1.0,215.193,830.666,1.0,231.168,881.071,1.0,227.144,976.052,1.0,,,0.0,1290.229,1284.102,1.0,1316.67,1221.589,1.0,1249.029,1209.37,1.0,1160.328,1133.775,1.0,204.298,188.36,1.0,201.361,1318.755,1.0
48,,,0.0,282.344,848.881,1.0,212.734,832.085,1.0,232.419,892.462,1.0,227.569,979.16,1.0,1327.748,1259.643,1.0,1289.886,1285.391,1.0,1325.285,1214.298,1.0,1257.043,1209.632,1.0,1160.972,1134.147,1.0,203.533,188.335,1.0,201.688,1318.988,1.0
49,,,0.0,279.604,848.545,1.0,216.5,829.66,1.0,231.915,885.415,1.0,226.802,978.015,1.0,,,0.0,1291.127,1284.613,1.0,1318.926,1221.088,1.0,1250.089,1208.617,1.0,1160.502,1133.933,1.0,204.035,188.541,1.0,202.723,1317.772,1.0
50,,,0.0,278.382,851.988,1.0,213.17,836.485,1.0,233.286,888.691,1.0,229.418,978.677,1.0,1331.089,1251.207,0.8679999709129333,1291.465,1285.447,1.0,1317.367,1221.58,1.0,1256.582,1209.535,1.0,1160.909,1134.134,1.0,203.77,188.084,1.0,201.974,1318.626,1.0
51,,,0.0,278.364,854.79,1.0,212.881,836.24,1.0,231.671,890.376,1.0,229.897,977.978,1.0,1328.762,1260.058,0.996999979019165,1290.334,1285.312,1.0,1316.115,1220.932,1.0,1257.21,1210.146,1.0,1160.726,1134.126,1.0,203.947,188.103,1.0,201.836,1318.274,1.0
52,,,0.0,278.771,849.468,1.0,219.608,832.976,1.0,237.15,886.49,1.0,225.701,978.194,1.0,,,0.0,1289.331,1282.988,0.9959999918937683,1315.071,1219.517,1.0,1244.807,1209.071,1.0,1160.823,1133.763,1.0,204.021,188.595,1.0,201.672,1318.242,1.0
53,,,0.0,276.981,852.188,1.0,216.059,844.702,1.0,237.906,887.462,1.0,227.214,977.991,1.0,,,0.0,1287.116,1281.484,1.0,1311.045,1219.599,1.0,1245.066,1210.493,1.0,1159.545,1130.454,1.0,204.082,188.396,1.0,201.902,1318.096,1.0
54,,,0.0,282.831,852.374,1.0,215.043,842.34,1.0,234.559,889.731,1.0,227.013,975.445,1.0,,,0.0,1286.465,1280.824,1.0,1311.982,1213.605,1.0,1243.202,1209.628,1.0,1158.375,1130.378,1.0,203.906,188.291,1.0,202.188,1318.287,1.0
55,,,0.0,277.781,848.826,1.0,218.25,833.937,1.0,238.797,885.134,1.0,226.057,976.67,1.0,,,0.0,1288.007,1280.932,1.0,1312.765,1216.704,1.0,1242.935,1210.111,1.0,1158.208,1131.268,1.0,203.937,188.1,1.0,201.811,1318.96,1.0
56,,,0.0,280.114,848.819,1.0,216.808,833.628,1.0,235.716,885.711,1.0,226.895,978.995,1.0,,,0.0,1289.643,1278.908,1.0,1308.511,1214.927,1.0,1240.781,1210.339,1.0,1158.287,1131.704,1.0,203.953,188.723,1.0,201.767,1318.696,1.0
57,,,0.0,278.087,853.415,1.0,216.001,841.321,1.0,233.296,888.078,1.0,230.857,976.693,1.0,,,0.0,1290.068,1278.97,1.0,1309.362,1214.008,1.0,1240.838,1208.612,1.0,1157.627,1131.102,1.0,204.36,188.646,1.0,200.647,1322.047,1.0
58,,,0.0,271.654,851.926,1.0,209.901,836.87,1.0,231.244,892.329,1.0,230.924,976.97,1.0,1316.758,1229.451,0.13500000536441803,1291.219,1278.182,1.0,1311.237,1214.239,1.0,1250.002,1211.841,1.0,1157.769,1130.736,1.0,203.893,189.131,1.0,201.556,1317.556,1.0
59,,,0.0,279.246,850.251,1.0,211.47,833.428,1.0,231.259,888.973,1.0,231.048,977.423,1.0,1323.571,1247.142,0.41100001335144043,1289.911,1278.176,1.0,1312.158,1213.796,1.0,1251.126,1209.583,1.0,1157.443,1130.815,1.0,204.144,188.341,1.0,201.896,1318.78,1.0
60,,,0.0,273.058,853.017,1.0,215.324,836.985,1.0,229.52,886.032,1.0,229.754,977.283,1.0,,,0.0,1290.168,1275.658,0.9980000257492065,1311.122,1216.113,1.0,1242.711,1208.424,1.0,1158.155,1131.243,1.0,204.215,188.446,1.0,201.986,1318.09,1.0
61,,,0.0,272.586,855.354,1.0,211.956,840.982,1.0,230.3,886.148,1.0,231.244,977.229,1.0,,,0.0,1287.61,1277.853,1.0,1310.171,1213.864,1.0,1241.723,1210.027,1.0,1157.984,1131.086,1.0,203.912,187.913,1.0,200.801,1318.616,1.0
62,,,0.0,273.175,853.798,1.0,212.162,840.59,1.0,231.107,886.533,1.0,230.047,976.616,1.0,,,0.0,1285.512,1276.75,1.0,1308.623,1217.146,1.0,1237.638,1209.373,1.0,1157.615,1131.737,1.0,204.064,188.024,1.0,200.416,1318.583,1.0
63,,,0.0,280.717,850.574,1.0,217.071,833.371,1.0,228.601,885.006,1.0,229.197,975.817,1.0,,,0.0,1286.668,1277.209,1.0,1309.166,1217.824,0.996999979019165,1239.583,1201.423,1.0,1156.345,1131.954,1.0,203.692,188.351,1.0,201.031,1319.149,1.0
64,,,0.0,273.619,851.989,1.0,206.606,847.277,1.0,230.066,894.104,1.0,231.361,974.572,1.0,1316.19,1245.374,0.3330000042915344,1282.595,1276.267,1.0,1297.846,1206.093,1.0,1243.096,1201.625,1.0,1154.786,1130.463,1.0,203.782,188.745,1.0,201.955,1318.744,1.0
65,,,0.0,273.127,857.538,1.0,210.995,847.372,1.0,230.644,889.854,1.0,232.355,977.252,1.0,,,0.0,1287.176,1270.522,1.0,1296.072,1201.24,1.0,1240.251,1202.108,1.0,1154.741,1130.354,1.0,204.202,188.373,1.0,202.072,1317.892,1.0
66,,,0.0,275.401,856.169,1.0,215.16,846.568,1.0,231.753,886.995,1.0,230.024,978.541,1.0,,,0.0,1284.821,1264.044,1.0,1296.579,1200.342,1.0,1239.24,1200.172,1.0,1153.395,1128.795,1.0,204.4,188.578,1.0,201.369,1318.155,1.0
67,,,0.0,280.12,851.694,1.0,216.848,844.378,1.0,235.191,886.987,1.0,230.98,979.171,1.0,,,0.0,1287.19,1263.413,1.0,1298.363,1187.163,1.0,1234.888,1200.343,1.0,1153.12,1129.274,1.0,204.57,188.8,1.0,201.285,1318.216,1.0
68,,,0.0,274.301,854.926,1.0,211.234,848.065,1.0,232.303,888.135,1.0,233.478,976.167,1.0,1323.638,1213.112,0.9940000176429749,1291.529,1255.737,1.0,1293.678,1181.301,1.0,1234.376,1197.806,1.0,1149.375,1132.847,1.0,204.296,188.953,1.0,200.914,1318.603,1.0
69,,,0.0,275.126,862.221,1.0,208.242,849.385,1.0,228.045,892.926,1.0,233.381,977.842,1.0,1330.905,1195.854,1.0,1291.204,1249.456,1.0,1284.258,1176.963,1.0,1234.351,1194.385,1.0,1148.952,1132.704,1.0,203.621,188.85,1.0,201.887,1317.92,1.0
70,,,0.0,276.819,860.093,1.0,209.763,844.887,1.0,229.671,894.27,1.0,229.333,979.465,1.0,1335.694,1186.661,1.0,1287.069,1236.304,1.0,1281.723,1165.029,1.0,1234.228,1188.555,1.0,1146.827,1134.406,1.0,203.655,188.972,1.0,202.146,1317.807,1.0
71,,,0.0,276.842,857.661,1.0,215.606,844.602,1.0,233.01,886.87,1.0,228.256,978.264,1.0,1342.301,1179.927,1.0,1284.801,1229.171,1.0,1285.201,1153.295,1.0,1229.74,1175.03,1.0,1146.173,1131.213,1.0,204.672,188.997,1.0,201.555,1318.823,1.0
72,,,0.0,279.429,858.331,1.0,218.647,844.896,1.0,233.678,886.171,1.0,228.27,979.233,1.0,1341.69,1170.996,1.0,1282.679,1224.713,1.0,1274.666,1153.869,1.0,1223.277,1174.495,1.0,1142.482,1125.839,1.0,204.776,188.847,1.0,201.884,1319.295,1.0
73,,,0.0,278.766,862.155,1.0,221.239,846.867,1.0,235.481,886.54,1.0,226.978,978.489,1.0,1341.408,1167.679,1.0,1273.502,1218.426,1.0,1262.175,1147.081,1.0,1225.31,1177.557,1.0,1139.614,1127.018,1.0,205.019,188.897,1.0,200.999,1318.287,1.0
74,299.974,830.747,1.0,276.563,874.123,1.0,222.903,846.276,1.0,232.421,891.266,1.0,224.285,978.76,1.0,1330.313,1158.742,1.0,1274.17,1215.928,1.0,1255.135,1140.657,1.0,1223.707,1172.665,1.0,1138.199,1128.76,1.0,204.066,188.912,1.0,202.283,1317.991,1.0
75,305.405,841.108,1.0,276.502,877.583,1.0,218.079,860.219,1.0,231.163,905.674,1.0,222.731,979.118,1.0,1328.259,1148.045,1.0,1273.08,1212.054,1.0,1250.302,1135.805,1.0,1225.554,1174.886,1.0,1140.175,1127.45,1.0,203.682,188.52,1.0,201.471,1319.057,1.0
76,313.439,843.927,1.0,277.171,884.143,1.0,221.102,863.922,1.0,231.967,905.972,1.0,223.105,979.678,1.0,1323.958,1144.586,1.0,1272.667,1205.702,1.0,1248.99,1129.344,1.0,1226.349,1163.184,1.0,1140.774,1128.913,1.0,204.673,189.544,1.0,201.729,1318.767,1.0
77,314.586,847.267,1.0,275.136,883.279,1.0,222.354,864.533,1.0,232.168,901.807,1.0,222.696,979.303,1.0,1327.029,1137.1,1.0,1274.029,1202.688,1.0,1245.227,1133.833,1.0,1225.069,1159.558,1.0,1141.48,1129.683,1.0,203.878,188.263,1.0,200.864,1318.537,1.0
78,313.836,838.287,1.0,278.819,879.298,1.0,223.524,857.296,1.0,233.754,900.508,1.0,220.741,978.75,1.0,1325.722,1124.422,1.0,1275.377,1195.759,1.0,1246.97,1121.5,1.0,1222.147,1154.365,1.0,1140.628,1129.763,1.0,204.065,188.31,1.0,201.232,1317.738,1.0
79,305.005,829.56,1.0,284.68,874.825,1.0,224.409,854.919,1.0,238.568,900.977,1.0,221.521,980.934,1.0,1328.74,1120.418,1.0,1276.173,1187.128,1.0,1243.314,1113.927,1.0,1226.213,1164.157,1.0,1141.674,1132.113,1.0,203.739,188.245,1.0,201.343,1318.64,1.0
80,,,0.0,295.965,865.928,1.0,229.457,846.829,1.0,245.183,895.625,1.0,223.442,981.384,1.0,1325.911,1111.448,1.0,1278.092,1180.996,1.0,1247.645,1105.807,1.0,1224.666,1158.464,1.0,1142.75,1134.396,1.0,204.132,188.576,1.0,201.361,1317.995,1.0
81,,,0.0,290.829,866.293,1.0,221.681,845.889,1.0,239.515,894.807,1.0,226.624,981.451,1.0,1331.479,1099.308,1.0,1282.446,1170.2,1.0,1246.684,1102.03,1.0,1228.282,1147.265,1.0,1142.875,1134.883,1.0,203.953,188.584,1.0,202.223,1317.94,1.0
82,,,0.0,276.962,874.072,1.0,215.345,849.608,1.0,231.14,892.841,1.0,226.456,978.792,1.0,1335.024,1093.709,1.0,1283.46,1161.703,1.0,1250.911,1089.151,1.0,1236.78,1144.327,1.0,1144.002,1137.515,1.0,203.892,188.377,1.0,201.757,1318.101,1.0
83,,,0.0,266.728,875.578,1.0,207.603,847.946,1.0,225.183,899.823,1.0,223.987,980.859,1.0,1329.31,1086.633,1.0,1285.523,1158.264,1.0,1249.498,1087.541,1.0,1241.419,1147.013,1.0,1144.138,1138.788,1.0,203.727,188.261,1.0,201.928,1318.927,1.0
84,,,0.0,258.261,876.725,1.0,204.391,849.165,1.0,218.26,903.147,1.0,224.344,981.741,1.0,1327.43,1080.828,1.0,1286.425,1153.985,1.0,1244.206,1083.706,1.0,1238.925,1143.558,1.0,1144.426,1135.567,1.0,203.657,187.716,1.0,201.808,1318.478,1.0
85,,,0.0,251.809,877.611,1.0,195.585,857.883,1.0,215.231,906.868,1.0,225.225,981.314,1.0,1328.565,1075.744,1.0,1287.873,1149.555,1.0,1240.771,1086.909,1.0,1242.548,1141.33,1.0,1145.026,1138.874,1.0,203.927,187.985,1.0,201.456,1318.635,1.0
86,,,0.0,245.382,874.293,1.0,190.698,850.754,1.0,211.637,908.958,1.0,227.109,980.519,1.0,1321.146,1075.096,1.0,1279.528,1152.795,1.0,1235.199,1086.568,1.0,1241.553,1140.03,1.0,1145.713,1139.499,1.0,203.848,188.532,1.0,202.052,1318.117,1.0
87,,,0.0,250.218,874.125,1.0,189.833,863.084,0.972000002861023,212.933,910.167,1.0,222.934,982.417,1.0,1312.945,1070.204,1.0,1275.173,1149.469,1.0,1233.242,1083.695,1.0,1232.64,1134.19,1.0,1143.757,1137.604,1.0,203.636,188.862,1.0,201.918,1318.969,1.0
88,,,0.0,257.145,875.55,1.0,188.596,850.368,1.0,214.513,900.701,1.0,223.177,981.318,1.0,1312.13,1071.105,1.0,1270.82,1147.102,1.0,1229.003,1085.426,1.0,1235.807,1135.771,1.0,1144.179,1136.721,1.0,204.149,188.619,1.0,201.839,1318.504,1.0
89,268.95,814.379,1.0,261.261,872.903,1.0,199.18,842.96,1.0,218.938,905.304,1.0,221.129,979.504,1.0,1308.341,1072.594,1.0,1268.24,1149.824,1.0,1227.239,1085.479,1.0,1223.695,1131.48,1.0,1143.861,1134.248,1.0,204.091,188.297,1.0,201.568,1318.028,1.0
90,274.236,816.259,1.0,271.249,873.932,1.0,203.394,848.829,1.0,226.202,891.839,1.0,221.694,982.83,1.0,1309.411,1075.914,1.0,1268.942,1153.295,1.0,1225.312,1086.903,1.0,1228.383,1138.805,1.0,1144.549,1137.018,1.0,203.578,188.613,1.0,201.23,1318.196,1.0
91,287.006,814.236,1.0,281.049,876.799,1.0,210.143,843.036,1.0,228.259,901.912,1.0,219.783,980.866,1.0,1307.133,1075.915,1.0,1265.916,1155.218,1.0,1225.604,1088.677,1.0,1224.056,1129.111,1.0,1144.673,1134.776,1.0,203.777,188.497,1.0,201.893,1318.535,1.0
92,298.244,815.25,1.0,289.256,878.306,1.0,219.105,847.04,1.0,235.342,888.75,1.0,220.237,987.31,1.0,1310.771,1084.262,1.0,1263.797,1152.678,1.0,1222.638,1082.383,1.0,1224.773,1143.737,1.0,1145.717,1136.246,1.0,204.536,188.506,1.0,201.491,1318.799,1.0
93,,,0.0,292.191,880.653,1.0,224.556,839.74,1.0,232.041,901.823,1.0,227.228,985.449,1.0,1310.731,1087.604,1.0,1262.608,1154.233,1.0,1225.989,1082.97,1.0,1222.627,1133.875,1.0,1144.905,1135.164,1.0,204.044,188.596,1.0,201.208,1317.617,1.0
94,,,0.0,292.501,889.754,1.0,239.484,848.314,1.0,241.179,899.581,1.0,227.176,985.961,1.0,1305.884,1086.091,1.0,1259.632,1163.4,1.0,1223.581,1085.791,1.0,1222.124,1146.403,1.0,1144.05,1135.945,1.0,203.86,188.134,1.0,201.424,1318.569,1.0
95,,,0.0,291.31,901.731,1.0,237.88,864.043,1.0,236.759,906.532,1.0,228.461,985.62,1.0,1305.943,1090.269,1.0,1255.21,1166.053,1.0,1221.943,1087.577,1.0,1220.568,1146.596,1.0,1145.326,1136.583,1.0,203.995,188.72,1.0,201.548,1318.766,1.0
96,,,0.0,285.841,905.014,1.0,231.962,869.553,1.0,236.876,915.399,1.0,228.065,988.562,1.0,1311.042,1099.246,1.0,1255.205,1166.152,1.0,1223.444,1088.456,1.0,1227.87,1145.291,1.0,1144.402,1136.317,1.0,203.552,188.076,1.0,201.395,1318.753,1.0
97,,,0.0,278.399,906.564,1.0,219.109,879.241,1.0,231.583,917.572,1.0,227.126,989.513,1.0,1313.203,1100.529,1.0,1256.078,1168.805,1.0,1225.02,1089.938,1.0,1227.856,1145.418,1.0,1144.551,1136.633,1.0,204.264,188.332,1.0,201.502,1318.889,1.0
98,,,0.0,277.316,913.422,1.0,212.818,881.055,1.0,230.025,918.53,1.0,227.51,988.838,1.0,1313.693,1098.506,1.0,1257.319,1169.363,1.0,1227.118,1088.697,1.0,1220.292,1147.393,1.0,1141.757,1136.316,1.0,204.482,188.6,1.0,201.516,1318.691,1.0
99,,,0.0,274.754,913.578,1.0,209.722,877.837,1.0,232.16,919.605,1.0,227.623,987.109,1.0,1312.287,1099.581,1.0,1255.57,1168.376,1.0,1227.652,1089.109,1.0,1223.809,1142.941,1.0,1140.186,1136.643,1.0,203.541,188.364,1.0,201.395,1318.812,1.0
100,,,0.0,275.969,911.942,1.0,210.833,881.899,1.0,232.604,920.729,1.0,227.584,988.041,1.0,1309.777,1100.846,1.0,1255.589,1170.368,1.0,1223.451,1098.922,1.0,1221.85,1143.934,1.0,1140.868,1136.759,1.0,203.814,188.975,1.0,200.354,1318.256,1.0
101,,,0.0,278.673,911.999,1.0,213.46,881.525,1.0,230.431,920.197,1.0,227.315,988.264,1.0,1309.27,1100.98,1.0,1254.486,1171.586,1.0,1221.978,1096.508,1.0,1223.409,1144.268,1.0,1142.771,1136.863,1.0,203.654,188.566,1.0,201.01,1318.003,1.0
102,,,0.0,286.917,907.9,1.0,216.031,877.047,1.0,232.79,918.364,1.0,226.362,988.155,1.0,1309.509,1102.829,1.0,1254.824,1172.543,1.0,1219.725,1099.057,1.0,1225.426,1145.788,1.0,1144.269,1136.99,1.0,203.605,188.549,1.0,201.494,1318.426,1.0
103,,,0.0,292.485,901.33,1.0,220.954,864.939,1.0,235.371,919.516,1.0,226.217,987.126,1.0,1299.076,1103.204,1.0,1254.108,1173.874,1.0,1218.762,1100.904,1.0,1224.913,1146.558,1.0,1144.035,1137.334,1.0,203.763,188.524,1.0,201.078,1318.3,1.0
104,,,0.0,292.683,895.172,1.0,221.054,865.958,1.0,236.593,916.853,1.0,224.569,986.036,1.0,1303.701,1105.907,1.0,1254.234,1176.283,1.0,1218.856,1102.005,1.0,1219.798,1147.643,1.0,1144.522,1136.808,1.0,203.844,188.745,1.0,201.819,1318.436,1.0
105,,,0.0,290.961,889.252,1.0,221.712,861.821,1.0,236.438,903.934,1.0,220.864,989.233,1.0,1303.361,1106.947,1.0,1251.924,1171.817,1.0,1219.817,1103.15,1.0,1223.907,1145.847,0.9950000047683716,1144.21,1135.564,1.0,203.88,188.62,1.0,201.787,1317.861,1.0
106,,,0.0,289.467,888.395,1.0,222.683,859.456,1.0,234.809,901.6,1.0,222.513,983.848,1.0,1312.352,1115.719,1.0,1251.096,1179.172,1.0,1221.6,1104.127,1.0,1225.039,1149.831,1.0,1144.262,1137.386,1.0,203.535,187.731,1.0,202.468,1317.54,1.0
107,,,0.0,288.259,888.703,1.0,221.294,858.212,1.0,230.536,908.092,1.0,226.137,984.441,1.0,1313.871,1121.981,1.0,1251.824,1182.822,1.0,1232.032,1104.997,1.0,1223.348,1143.351,1.0,1142.449,1135.711,1.0,203.855,187.741,1.0,201.417,1318.625,1.0
108,,,0.0,276.305,892.696,1.0,215.532,861.658,1.0,234.116,904.079,1.0,223.211,983.325,1.0,1323.448,1135.231,1.0,1253.255,1183.925,1.0,1239.604,1104.384,1.0,1223.816,1147.566,1.0,1143.177,1135.499,1.0,204.224,188.51,1.0,201.46,1318.776,1.0
109,,,0.0,275.934,896.224,1.0,210.223,864.035,1.0,223.687,913.537,1.0,220.813,991.054,1.0,1327.033,1147.847,1.0,1256.716,1189.848,1.0,1250.158,1107.376,1.0,1239.564,1143.766,1.0,1143.94,1135.442,1.0,203.82,188.394,1.0,201.611,1317.85,1.0
110,,,0.0,275.939,899.599,1.0,206.801,877.619,1.0,223.336,912.844,0.9990000128746033,226.135,984.575,1.0,1338.826,1154.403,1.0,1258.649,1194.367,1.0,1251.186,1115.019,1.0,1233.952,1151.316,1.0,1143.295,1137.882,1.0,203.433,187.615,1.0,201.834,1318.142,1.0
111,,,0.0,270.059,902.343,1.0,202.319,882.161,1.0,218.572,915.401,0.906000018119812,225.279,985.545,1.0,1346.716,1160.431,1.0,1266.001,1196.172,1.0,1262.097,1120.48,1.0,1238.966,1155.241,1.0,1142.923,1137.741,1.0,203.814,188.511,1.0,201.576,1319.096,1.0
112,,,0.0,265.12,901.584,1.0,197.448,890.829,1.0,218.081,915.953,0.9070000052452087,224.514,986.316,1.0,1356.485,1156.794,1.0,1272.737,1198.398,1.0,1268.297,1116.369,1.0,1238.261,1160.485,1.0,1137.677,1138.22,1.0,204.1,188.443,1.0,201.595,1318.827,1.0
113,,,0.0,262.801,900.37,1.0,200.067,885.173,1.0,218.001,917.609,1.0,224.596,985.414,1.0,1360.264,1161.509,1.0,1278.904,1198.021,1.0,1279.425,1115.109,1.0,1247.939,1157.096,1.0,1138.15,1133.831,1.0,204.295,187.782,1.0,201.458,1317.546,1.0
114,,,0.0,268.103,898.584,1.0,204.566,876.997,1.0,224.338,915.377,1.0,225.004,985.162,1.0,1361.44,1162.375,1.0,1285.336,1199.542,1.0,1281.755,1119.384,1.0,1251.662,1158.775,1.0,1137.552,1136.45,1.0,203.489,187.832,1.0,201.497,1318.801,1.0
115,,,0.0,274.981,895.715,1.0,213.319,869.769,1.0,233.529,908.085,0.9990000128746033,224.867,985.343,1.0,1361.387,1170.264,1.0,1279.966,1203.873,1.0,1276.768,1131.141,1.0,1252.379,1159.261,1.0,1137.704,1141.622,1.0,203.943,188.426,1.0,201.779,1319.051,1.0
116,301.679,833.063,1.0,278.089,888.982,1.0,216.924,861.271,1.0,233.216,903.742,1.0,223.454,981.933,1.0,1360.094,1186.947,1.0,1275.767,1206.246,1.0,1280.551,1131.646,1.0,1254.255,1160.78,1.0,1136.387,1142.979,1.0,203.793,187.868,1.0,201.175,1318.627,1.0
117,304.186,826.042,1.0,287.539,885.128,1.0,221.45,863.557,1.0,234.622,902.435,1.0,222.263,986.894,1.0,1361.683,1197.299,1.0,1274.713,1215.024,1.0,1287.805,1137.559,1.0,1250.052,1162.214,1.0,1136.458,1139.023,1.0,203.618,188.135,1.0,201.484,1318.393,1.0
118,311.601,819.651,1.0,294.536,884.613,1.0,225.523,856.342,1.0,239.276,897.124,1.0,221.226,983.181,1.0,1356.42,1202.859,1.0,1269.061,1218.803,1.0,1284.287,1140.189,1.0,1244.933,1159.275,1.0,1134.461,1139.243,1.0,203.956,188.5,1.0,201.259,1318.703,1.0
119,317.134,819.359,1.0,302.459,885.267,1.0,233.314,852.868,1.0,242.6,893.666,1.0,220.652,983.337,1.0,1345.043,1213.134,1.0,1258.86,1220.124,1.0,1279.621,1137.932,0.9819999933242798,1241.047,1162.482,1.0,1134.139,1140.494,1.0,204.122,188.293,1.0,202.122,1318.742,1.0
120,,,0.0,306.058,886.835,1.0,234.137,846.397,1.0,243.08,903.154,1.0,221.148,980.749,1.0,1329.364,1228.96,1.0,1241.534,1217.426,1.0,1271.561,1150.999,0.9649999737739563,1226.252,1163.015,1.0,1134.135,1141.246,1.0,203.599,188.194,1.0,201.187,1318.689,1.0
