scorer,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000
bodyparts,Nose,Nose,Nose,RightEar,RightEar,RightEar,LeftEar,LeftEar,LeftEar,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,463.8968200683594,1192.5396728515625,0.9945216178894043,535.0568237304688,1235.23193359375,0.7640243172645569,466.5765075683594,1287.278076171875,0.9865484833717346,489.3494567871094,1243.845703125,0.9989262223243713
1,471.9329528808594,1183.4354248046875,0.9967966675758362,542.85302734375,1233.656005859375,0.942102313041687,471.0155944824219,1279.8321533203125,0.978723406791687,497.594970703125,1234.7510986328125,0.9999127388000488
2,488.20587158203125,1176.2120361328125,0.9955074787139893,552.829833984375,1233.3968505859375,0.8292717933654785,473.1291198730469,1271.736572265625,0.9865747094154358,508.6944580078125,1231.282958984375,0.9991783499717712
3,504.0968017578125,1169.2025146484375,0.994526207447052,563.350830078125,1232.586181640625,0.5595433712005615,474.73785400390625,1261.1187744140625,0.9815071821212769,517.2803344726562,1229.7496337890625,0.9995942711830139
4,512.1039428710938,1162.0098876953125,0.9946516156196594,577.6343994140625,1225.8746337890625,0.9272001385688782,479.2837219238281,1250.6278076171875,0.9943746328353882,525.055908203125,1222.3311767578125,0.9992450475692749
5,519.452392578125,1154.892822265625,0.9979682564735413,577.6185913085938,1220.9276123046875,0.9975470900535583,484.4705810546875,1241.15234375,0.9959099292755127,530.1024780273438,1214.263916015625,0.9998000264167786
6,523.1170654296875,1148.1322021484375,0.9867817759513855,581.0828857421875,1217.5706787109375,0.9980858564376831,488.8990783691406,1234.2171630859375,0.9911409616470337,535.4729614257812,1211.4061279296875,0.9995508790016174
7,525.5453491210938,1142.7237548828125,0.9934996366500854,586.1889038085938,1213.4029541015625,0.9843542575836182,493.29876708984375,1227.329345703125,0.9881616234779358,539.789794921875,1202.17822265625,0.9996659755706787
