coords,snout_x,snout_y,ID,centroid_x,centroid_y
177,,,mouse1,235.856,917.177
178,,,mouse1,243.884,908.18
179,,,mouse1,245.719,904.633
180,,,mouse1,242.348,908.321
181,,,mouse1,246.875,904.882
182,,,mouse1,246.004,903.271
183,,,mouse1,243.152,908.658
184,,,mouse1,243.336,908.222
185,,,mouse1,244.345,906.121
186,,,mouse1,247.541,904.791
187,,,mouse1,246.651,906.273
188,,,mouse1,244.758,906.398
189,,,mouse1,240.79,909.506
190,,,mouse1,242.806,906.112
191,,,mouse1,245.94,904.083
192,,,mouse1,245.958,903.621
193,,,mouse1,246.27,904.084
194,,,mouse1,243.667,905.544
195,,,mouse1,240.389,910.311
196,,,mouse1,242.014,909.027
197,,,mouse1,242.282,908.362
198,,,mouse1,241.982,909.829
199,,,mouse1,242.164,909.042
200,,,mouse1,248.896,902.348
201,,,mouse1,242.441,908.09
202,,,mouse1,242.804,907.918
203,,,mouse1,241.578,910.198
204,,,mouse1,240.361,910.1
205,,,mouse1,239.665,911.012
206,,,mouse1,244.473,900.917
207,,,mouse1,241.316,910.128
208,,,mouse1,248.314,902.141
209,,,mouse1,248.468,902.813
210,,,mouse1,243.187,906.066
211,,,mouse1,244.574,902.509
212,,,mouse1,246.245,904.208
213,,,mouse1,247.444,904.018
214,,,mouse1,241.754,909.476
215,,,mouse1,242.043,910.362
216,,,mouse1,244.962,901.638
217,,,mouse1,247.475,903.688
218,,,mouse1,247.66,903.611
219,,,mouse1,245.311,902.073
220,,,mouse1,247.471,900.452
221,,,mouse1,243.199,909.747
222,,,mouse1,244.945,901.168
223,,,mouse1,242.167,911.409
224,,,mouse1,246.179,900.647
225,,,mouse1,245.461,907.897
226,,,mouse1,244.373,908.618
227,,,mouse1,246.478,906.393
228,,,mouse1,247.339,900.736
229,,,mouse1,245.507,906.133
230,,,mouse1,246.138,905.592
231,,,mouse1,248.199,905.104
232,,,mouse1,248.445,905.129
233,,,mouse1,244.387,909.028
234,,,mouse1,242.13,910.185
235,,,mouse1,243.993,902.866
236,,,mouse1,241.404,904.705
237,,,mouse1,238.989,907.56
238,,,mouse1,241.661,904.164
239,,,mouse1,235.874,905.659
240,,,mouse1,239.823,901.541
241,,,mouse1,240.183,900.542
242,,,mouse1,240.398,899.94
243,,,mouse1,239.682,903.701
244,,,mouse1,236.109,902.732
245,,,mouse1,240.257,901.752
246,,,mouse1,240.895,902.303
247,,,mouse1,243.468,904.778
248,,,mouse1,245.021,903.052
249,,,mouse1,242.983,903.48
250,,,mouse1,237.739,901.781
251,,,mouse1,240.59,905.36
252,,,mouse1,240.098,904.726
253,,,mouse1,240.89,901.258
254,,,mouse1,242.538,904.683
255,,,mouse1,240.828,902.998
256,,,mouse1,240.006,902.631
257,,,mouse1,242.109,903.42
258,,,mouse1,243.373,900.438
259,,,mouse1,243.347,901.995
260,,,mouse1,240.066,904.318
261,,,mouse1,234.072,904.682
262,,,mouse1,244.289,901.017
263,,,mouse1,247.261,899.838
264,,,mouse1,248.066,901.234
265,,,mouse1,245.266,903.569
266,,,mouse1,242.961,905.904
