,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset
0,23444,26.521435629571286,1.0724636054707124,848,22677,25.76744396465112,-0.9641496451812325,824
1,25139,28.187688396246234,0.823765596643072,902,24245,27.308850653822986,-1.5799400222219104,873
2,48735,51.383499772330005,1.1475744760443836,1644,48090,50.74943898501122,-0.1834421789973119,1623
3,75215,77.41439845171203,1.5431305272039753,2477,74320,76.53457766930845,0.32469114434864227,2449
4,91627,93.54805060903898,1.965949435376788,2993,90317,92.26026823479464,-0.8282360402465472,2952
5,95085,96.94740286105194,2.124699781410855,3102,94356,96.23076671538466,0.31245817525438624,3079
6,123282,124.66618118667638,1.8147452530623547,3989,122575,123.97117192057657,0.9398213727170486,3967
7,147637,148.6081199078376,2.4159379377696797,4755,145533,146.53980378920392,-0.10381044409482282,4689
8,158378,159.16695233666096,1.683204053401889,5093,157677,158.47784131044318,-0.14050392942370504,5071
9,175276,175.77836192443277,1.8353451478815637,5624,174740,175.25145249497095,0.6425612462373547,5608
10,202159,202.2054257158915,0.42434327419144563,6470,201560,201.61658476766831,-0.834867895107453,6451
11,218091,217.86721868265562,0.7597384766928489,6971,217138,216.93038158139237,-1.3505045189523983,6941
12,229865,229.44153141116936,0.20381667732996422,7342,229247,228.83401270331976,-1.1021243121291022,7322
13,241640,241.01682717966347,0.5444284482324466,7712,240923,240.31198751376024,-2.403814344298219,7689
14,246648,245.93989140120217,0.6241585247521616,7870,245197,244.51350038972998,-1.6201555908495977,7824
15,253601,252.77496838450062,1.054474472022443,8088,252715,251.9039949619201,-0.3276687690672362,8060
16,258279,257.3736294125274,0.7882377470551488,8235,257279,256.3905894321882,-1.4016717508013683,8204
17,265604,264.57439726851203,0.28817000030908557,8466,264525,263.51369712972604,-1.7105875153613823,8432
18,275439,274.2425954751481,0.29829256145171446,8775,274683,273.4994172500117,-1.9283833861952902,8751
19,283393,282.06169547876607,1.072116567777122,9025,282392,281.07767245844656,-0.25466887931279614,8994
20,292299,290.816649543667,1.1044661615473164,9306,291759,290.2858079542838,-0.0037223123840972668,9289
21,295272,293.73922740521544,0.8144350662235604,9399,293966,292.4553771908925,-1.3909330409853553,9358
22,296940,295.37893809242127,1.1255226205684454,9452,295997,294.45193139096136,-1.6999774134301575,9422
23,300814,299.1872349762553,1.0610124306743216,9573,299793,298.183551156329,-1.1454500004047021,9541
24,322536,320.5408294291834,0.9714075309398135,10257,321406,319.4299942514001,-0.9283650071150326,10221
25,337938,335.6816112063678,0.7352457383503294,10741,336822,334.5845385883092,-0.2940250182699844,10706
26,343925,341.56707156865855,0.6707169170928554,10930,342546,340.2114594357708,-1.7527453094568244,10886
27,355524,352.96935230061297,1.3756670432883693,11295,354833,352.29007167419854,0.0076513295165063985,11273
28,358294,355.6923730461525,2.1112358515583045,11382,357625,355.0347192993056,0.424286755722782,11361
29,370414,367.60681760786366,1.0470095098822612,11763,369818,367.0209257795815,-1.5115299810047484,11744
30,371864,369.0322255793555,0.5960896534265577,11809,371003,368.18582815628343,-1.4354969798953043,11781
31,375573,372.6783208664336,1.4139405625283006,11925,374690,371.81029656379405,-0.4064887470202863,11897
32,380116,377.1442714971146,2.1437128033957737,12068,379359,376.4001102319978,-0.6705068167968813,12044
33,385357,382.29638403407233,1.5638697030197508,12233,384154,381.1137869377243,-0.6367072116792317,12195
34,406883,403.45730265085393,1.4222385966914213,12910,405859,402.45066971098663,-0.46581867073322125,12878
35,408332,404.88172758236544,1.7816540825721827,12956,407652,404.2132603957348,-0.7452103782102828,12934
36,411998,408.485552150289,1.280151008553944,13071,410938,407.4435297711294,-0.032723385718581036,13038
37,420763,417.10189757796206,1.2522864348366074,13347,419979,416.3311942333761,-0.06420106544463922,13322
38,425774,422.0279109194418,1.297641854703494,13504,424964,421.231648535367,-0.10393982083870291,13479
39,434975,431.07286177854274,1.1416355060479055,13794,432952,429.0841718983166,-1.2434062540036697,13730
40,449406,445.2591117348178,1.5442139041519611,14248,448553,444.42057863158846,-0.44163800933707414,14221
41,466185,461.7535395649292,1.3108898799465762,14776,465286,460.8697866226043,-0.5341028021331103,14747
42,468053,463.58985824820286,2.6041625921695983,14834,466875,462.43183715136325,-0.7138810992701001,14797
43,471826,467.2988680940226,1.2055106133992484,14953,471221,466.7041289059174,0.37082023278596066,14934
