,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset
0,105656,110.10834211783316,1.1825967292704938,3523,104915,109.37990949240181,-0.6061314914069315,3500
1,127332,131.41671673166567,1.021623276572158,4205,126557,130.65486074690278,-0.45892904311776267,4180
2,156151,159.74694592506108,1.1658691868831177,5111,155242,158.85336258293276,-0.6862756863653912,5083
3,238923,241.11513117769738,1.0098610469411453,7715,238226,240.42995231140097,-0.2837472793607685,7693
4,275425,276.9980565400389,1.3897871971870726,8863,274775,276.3590805528184,0.27646839917474914,8843
5,342816,343.24610385507793,1.2574785970763847,10983,342162,342.6031957079361,0.6994072148312098,10963
6,375512,375.38757905224844,1.4480731865911796,12012,374243,374.14010131719795,0.1314017972282453,11972
7,479810,477.91668292166634,1.0923918923294185,15293,478781,476.9051347818973,-0.6392302569947832,15260
8,493524,491.39809321203813,0.860101865846807,15724,492383,490.2764445944711,-0.4662160053622079,15688
9,551241,548.1362117572758,1.3001230138944644,17540,550553,547.4598802508024,0.1634183303702426,17518
10,594533,590.6939785861205,1.0882942893007244,18902,593587,589.7640227647196,-0.005934737651176664,18872
11,605804,601.7738222045235,1.2430005297565494,19256,604500,600.4919380701613,0.14068176824261128,19215
