,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,4172,11.213537055729258,1.6609630667501107,131,2208,9.282846534343069,-0.7901467467156769,69,1.9306905213861896
1,41027,47.44347553113049,0.728726406376124,1290,40067,46.499757150004854,-1.8651957337076988,1260,0.9437183811256347
2,46441,52.76565398468692,2.2086618575021744,1460,45691,52.02837399943252,0.6820959147125738,1437,0.7372799852544034
3,49978,56.24266639514667,1.579320920968842,1572,48079,54.37587347248253,-0.6865996971235143,1512,1.866792922664139
4,69283,75.22025321559494,1.4009174603810137,2179,68154,74.11040107779198,0.3152874409392398,2143,1.1098521378029602
5,84447,90.12707147745857,1.5004870728801587,2656,83534,89.22955597540889,-0.2806551951753396,2627,0.8975155020496857
6,91991,97.5431250891375,0.8076337155939005,2893,89928,95.51511360969772,-1.203666883623335,2828,2.028011479439783
7,93596,99.12090425758191,0.3847235888740338,2944,92850,98.38755643224887,-1.7046159218404497,2920,0.7333478253330412
8,99220,104.64952110700958,0.8496056483892384,3121,98015,103.46495793070085,-0.7116314266814592,3083,1.1845631763087283
9,119342,124.43025159139496,1.2254061594420347,3754,118199,123.30663689386726,-0.4479459402308434,3718,1.1236146975276995
10,129694,134.60668146786637,2.287862342288703,4079,127382,132.33389303332214,-0.36287250047480246,4007,2.272788434544225
11,137471,142.25178339496432,1.04866313603066,4324,136100,140.9040355819193,-0.24458147352955387,4281,1.3477478130450322
12,165969,170.26645675467086,1.3555366627431158,5220,164829,169.14579117708416,-0.8860530640089209,5185,1.120665577586692
13,183796,187.79111048417778,1.5596816982572455,5781,182720,186.73335946533282,-0.47937729478281416,5747,1.0577510188449537
14,188567,192.4811942303761,2.064536066107016,5931,187679,191.60825472783492,-0.6154225227101694,5903,0.8729395025411861
15,196900,200.67286638654267,2.4417257448697325,6193,193168,197.00416117991676,-0.7738963152645942,6076,3.6687052066259014
16,227697,230.94754866104904,1.5374851552004019,7162,226986,230.24860723502786,-0.1501264866251461,7140,0.6989414260211788
17,248031,250.93668362126633,2.5026888449177362,7802,245826,248.76908046461838,-0.048622025478377455,7733,2.1676031566479423
18,258126,260.8604722227906,1.7139148391925443,8119,256871,259.6267570474649,0.0857626738620322,8080,1.233715175325699
19,267140,269.7215946055681,1.8229469127506306,8403,264726,267.3485360930293,0.6255437089836305,8327,2.373058512538819
20,281676,284.0110637597787,1.131380719435537,8860,280864,283.2128352957433,-0.0957671046767614,8835,0.7982284640354464
21,294798,296.9105143817897,1.455152007222482,9273,293752,295.8822545623549,0.5202150326073228,9240,1.0282598194348225
22,317030,318.7654592246908,1.097564507505992,9972,315282,317.0471053390579,-0.6379260101526038,9917,1.7183538856328937
23,323258,324.88783222224333,1.1739649192378143,10168,322397,324.0414347991713,0.09122713736062123,10141,0.8463974230720055
24,337146,338.5402914691942,1.4103912129768539,10605,336227,337.63687772726246,0.24626298839175845,10576,0.903413741931729
25,354492,355.5921029681579,1.4398808826351497,11151,353911,355.02095673958087,0.7209130917663341,11133,0.5711462285770494
26,362551,363.51442216971157,1.3885307301937113,11404,361305,362.2895543542089,0.2640150641471968,11365,1.2248678155026482
27,385604,386.17644283647115,1.8240832678838048,12130,384491,385.0823193383536,-0.002547477037968527,12095,1.0941234981175398
28,390378,390.8694757026105,2.7070936722946444,12280,389514,390.0201291595974,-0.21165170822789628,12253,0.8493465430130982
29,392562,393.0164350196713,1.7720445876165538,12348,391429,391.902650721947,-0.468975347137255,12313,1.113784297724294
30,404929,405.1736904565262,1.6015806538360775,12737,403824,404.08743127825136,0.32060387243784705,12703,1.0862591782748154
31,428136,427.987099280258,0.9363384974402779,13467,427350,427.2144298557114,-0.9853872310230624,13443,0.7726694245466206
32,439619,439.27534737449304,2.582216446892246,13829,439036,438.7022350659553,1.0159080905643356,13810,0.573112308537759
33,445970,445.5186342896273,1.5874732159322442,14029,444619,444.1905472761891,-0.5558032613897698,13986,1.3280870134382212
34,449228,448.7213785455724,1.4747470753000818,14131,447346,446.8712973025741,-0.3989661077748294,14072,1.8500812429983284
35,455378,454.7670744246585,2.392163037618229,14324,453778,453.1942104561158,-1.4617395517262923,14274,1.5728639685427197
36,489013,487.8316241633675,0.8990804878467062,15383,487525,486.36886067262276,-0.9008649013179094,15336,1.4627634907447487
37,501152,499.7647464847051,1.294894002360039,15764,498869,497.52046620959067,-1.3549070962121696,15693,2.24428027511442
38,536579,534.590903868182,2.045262939276428,16879,535492,533.5223394095532,-0.6747647750662014,16845,1.0685644586287708
39,543506,541.4004218119916,1.711002528487933,17097,542778,540.6847687063047,-0.3891907715292499,17074,0.7156531056868971
40,548042,545.8594911628102,1.4109033556965505,17239,547241,545.0720761385585,0.03748722607305658,17214,0.7874150242516862
41,554461,552.1696247966075,2.0859702771035864,17441,552499,550.240900355182,1.1372301973245498,17380,1.9287244414255156
42,578246,575.5512307289754,1.8092447604151103,18190,577500,574.8178829036424,0.3852981920517835,18166,0.7333478253329986
43,588583,585.7129150057417,1.4390645287497625,18515,587698,584.8429246231415,0.4357082483810192,18487,0.8699903826002355
