,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,NHaxis_angle,Heading_2_Szone,distance,approaching,time_diff,x_bin,y_bin,EVT1,EVT2,EVT3
0,527.6698608398438,706.2593383789062,527.6698608398438,706.2593383789062,else,,537.3720405871809,off,98.51026222052795,False,582.7654000138804,False,0.0,154,138,,,
1,536.3325805664062,711.2941284179688,536.3325805664062,711.2941284179688,else,,542.8161264036821,off,120.16619640244049,False,586.7585368311321,False,1.0,157,139,,,
2,538.9408569335938,713.565673828125,538.9408569335938,713.565673828125,else,,545.2516035933613,off,123.32028690129235,False,588.740500830196,False,1.0,158,139,,,
3,541.7486572265625,713.8740234375,541.7486572265625,713.8740234375,else,,545.7640615752907,off,124.32987095405379,False,588.7627623022305,False,1.0,158,139,,,
4,544.9885864257812,714.0064086914062,544.9885864257812,714.0064086914062,else,,546.2858888265113,off,129.58591617109795,False,588.5828460385446,True,1.0,159,139,,,
5,546.4737548828125,714.0064086914062,546.4737548828125,714.0064086914062,else,,546.5449076899325,off,129.75467292373796,False,588.4458938116101,True,1.0,160,139,,,
6,549.0587158203125,713.8740234375,549.0587158203125,713.8740234375,else,,546.663984498093,off,131.93007993907403,False,588.084505639045,True,1.0,161,139,,,
7,551.2083740234375,711.693115234375,551.2083740234375,711.693115234375,else,,544.6865539761646,off,128.52185740732205,False,585.7288413058095,True,1.0,161,139,,,
8,552.8213500976562,711.5012817382812,552.8213500976562,711.5012817382812,else,,544.6428093319034,off,130.8402965410004,False,585.4054755439387,True,1.0,162,139,,,
9,557.4598388671875,708.9412841796875,557.4598388671875,708.9412841796875,else,,542.5983483713158,off,130.39427707952024,False,582.4967304402232,True,1.0,163,138,,,
10,559.30029296875,708.0921020507812,559.30029296875,708.0921020507812,else,,541.9537948702969,off,127.83382507114746,False,581.518110650153,True,1.0,164,138,,,
11,559.7252807617188,707.166259765625,559.7252807617188,707.166259765625,else,,541.1599940293074,off,126.22047316433236,False,580.5649054676194,True,1.0,164,138,,,
12,560.7221069335938,705.0526733398438,560.7221069335938,705.0526733398438,else,,539.1653077014851,off,122.08785861703473,False,578.3878808311914,True,1.0,164,137,,,
13,560.7221069335938,704.02734375,560.7221069335938,704.02734375,else,,538.1431322256005,off,120.717095727471,False,577.3649224116552,True,1.0,164,137,,,
14,560.7221069335938,703.7774047851562,560.7221069335938,703.7774047851562,else,,537.7536563372937,off,120.46594062746422,False,577.1155627297411,True,1.0,164,137,,,
15,559.9388427734375,702.7369995117188,559.9388427734375,702.7369995117188,else,,536.6159470442329,off,119.65969002409034,False,576.1315083607776,True,1.0,164,137,,,
16,558.6759643554688,701.251708984375,558.6759643554688,701.251708984375,else,,534.9877670435188,off,117.35782916409761,False,574.739243288169,True,1.0,163,137,,,
17,553.9798583984375,697.672119140625,553.9798583984375,697.672119140625,else,,530.845730607145,off,111.74455524276955,False,571.5279317401717,True,1.0,162,136,,,
18,551.6798095703125,694.4677124023438,551.6798095703125,694.4677124023438,else,,527.5465017682552,off,107.15459158256863,False,568.5248543357675,True,1.0,161,135,,,
19,551.6502685546875,694.223388671875,551.6502685546875,694.223388671875,else,,527.3004865851099,off,108.6742366106494,False,568.2839276364369,True,1.0,161,135,,,
20,550.1869506835938,694.1348876953125,550.1869506835938,694.1348876953125,else,,527.0738709600108,off,107.0475759192773,False,568.3221365985869,False,1.0,161,135,,,
21,549.8711547851562,693.365966796875,549.8711547851562,693.365966796875,else,,526.2782130095555,off,106.80438377574156,False,567.5839828031962,True,1.0,161,135,,,
22,548.4611206054688,694.1348876953125,548.4611206054688,694.1348876953125,else,,526.9643556816193,off,105.17086035520109,False,568.4760040274595,False,1.0,160,135,,,
23,545.0611572265625,694.223388671875,545.0611572265625,694.223388671875,else,,526.7387606387882,off,99.25522997805078,False,568.8824152004927,False,1.0,159,135,,,
24,544.9674682617188,695.2852783203125,544.9674682617188,695.2852783203125,else,,527.791361895226,off,100.02021469082986,False,569.9483893726513,False,1.0,159,135,,,
25,544.8110961914062,696.60546875,544.8110961914062,696.60546875,else,,529.0628872668656,off,105.38913507735778,False,571.277510668853,False,1.0,159,136,,,
26,544.5128784179688,696.9885864257812,544.5128784179688,696.9885864257812,else,,529.3311786549025,off,107.86781620736708,False,571.6877050840501,False,1.0,159,136,,,
27,544.10009765625,696.9885864257812,544.10009765625,696.9885864257812,else,,529.2954640257443,off,107.4499941495776,False,571.727916551964,False,1.0,159,136,,,
28,540.3920288085938,696.9885864257812,540.3920288085938,696.9885864257812,else,,529.0169981689346,off,103.3398531656934,False,572.1023699587026,False,1.0,158,136,,,
29,536.3049926757812,694.4108276367188,536.3049926757812,694.4108276367188,else,,526.2538929621145,off,97.23336038917768,False,569.9809467185241,True,1.0,157,135,,,
30,535.9057006835938,692.790283203125,535.9057006835938,692.790283203125,else,,524.6130651975186,off,101.7855058422701,False,568.4154670709861,True,1.0,157,135,,,
31,528.641357421875,691.3426513671875,528.641357421875,691.3426513671875,else,,522.7809345397858,off,92.67689820996847,False,567.8441676375704,True,1.0,155,135,,,
32,527.37548828125,690.5838012695312,527.37548828125,690.5838012695312,else,,521.9380740042849,off,93.84288314097401,False,567.2520190825787,True,1.0,154,135,,,
33,526.6150512695312,690.306640625,526.6150512695312,690.306640625,else,,521.6039384655359,off,94.29742012215853,False,567.0750468775243,True,1.0,154,134,,,
34,524.6610107421875,687.3468017578125,524.6610107421875,687.3468017578125,else,,518.3896612489252,off,93.55625747402556,False,564.3977391335674,True,1.0,153,134,,,
35,524.4205932617188,684.5875244140625,524.4205932617188,684.5875244140625,else,,515.6146388694116,off,97.92609390502,False,561.6955750727303,True,1.0,153,133,,,
36,523.9790649414062,684.5657348632812,523.9790649414062,684.5657348632812,else,,515.574670443263,off,99.48968586923156,False,561.7335665518727,False,1.0,153,133,,,
37,523.8098754882812,683.0595703125,523.8098754882812,683.0595703125,else,,514.0695698405323,off,100.55737069139688,False,560.2642784156494,True,1.0,153,133,,,
38,523.8098754882812,682.0285034179688,523.8098754882812,682.0285034179688,else,,513.043026436481,off,100.76160544576271,False,559.2428074393674,True,1.0,153,133,,,
39,523.8098754882812,679.9030151367188,523.8098754882812,679.9030151367188,else,,510.919374703533,off,100.47332027373749,False,557.1372121749833,True,1.0,153,132,,,
40,524.3980712890625,676.0153198242188,524.3980712890625,676.0153198242188,else,,507.1281416158306,off,99.9787892784517,False,553.2056058888544,True,1.0,153,132,,,
41,528.824462890625,672.8856201171875,528.824462890625,672.8856201171875,else,,504.21444789652963,off,106.60944183301474,False,549.5146004368764,True,1.0,155,131,,,
42,528.8295288085938,669.638916015625,528.8295288085938,669.638916015625,else,,501.1587646519006,off,106.48740046138175,False,546.2947476520235,True,1.0,155,130,,,
43,528.8295288085938,666.8605346679688,528.8295288085938,666.8605346679688,else,,498.3842379084466,off,105.88176990857752,False,543.5401657580201,True,1.0,155,130,,,
44,529.792236328125,664.8638916015625,529.792236328125,664.8638916015625,else,,496.24755699513395,off,105.98615474734272,False,541.4351006218383,True,1.0,155,129,,,
45,530.2884521484375,659.061279296875,530.2884521484375,659.061279296875,else,,490.5636327304488,off,106.80216342508926,False,535.6171975135733,True,1.0,155,128,,,
46,530.8876342773438,659.061279296875,530.8876342773438,659.061279296875,else,,490.60767332367004,off,109.21054547107542,False,535.5395423908636,True,1.0,155,128,,,
47,532.7008056640625,659.061279296875,532.7008056640625,659.061279296875,else,,490.6098919991322,off,112.2281433302524,False,535.3085688896637,True,1.0,156,128,,,
48,533.4659423828125,660.53955078125,533.4659423828125,660.53955078125,else,,492.13313204048984,off,114.70489987950799,False,536.6797499154433,False,1.0,156,129,,,
49,535.5974731445312,662.5504760742188,535.5974731445312,662.5504760742188,else,,494.2812412748526,off,117.45540298937149,False,538.4161001832535,False,1.0,157,129,,,
