,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,Heading_2_Szone,distance,approaching,EVT1,EVT2,EVT3
0,464.9516906738281,209.77444458007807,464.9516906738281,209.77444458007807,S,,,,False,157.8768685977704,False,,,
1,464.9516906738281,209.84515380859372,464.9516906738281,209.84515380859372,S,,144.54531192405804,off,False,157.91350497601454,False,,,
2,464.9516906738281,211.5372314453125,464.9516906738281,211.5372314453125,else,1,148.21597595065307,off,False,158.79708715655053,False,,,
3,459.7741088867188,211.5372314453125,459.7741088867188,211.5372314453125,else,,153.38480172591613,off,False,163.2230669239538,False,,,
4,451.3034057617188,211.5372314453125,451.3034057617188,211.5372314453125,else,,161.90468501091584,off,False,170.55540500263174,False,,,
5,447.9182739257813,208.73562622070312,447.9182739257813,208.73562622070312,else,,165.1065021932863,off,False,172.18331146473741,False,,,
6,442.8407897949219,205.67996215820312,442.8407897949219,205.67996215820312,else,,170.5324938889376,off,False,175.30885280893204,False,,,
7,440.7282409667969,197.4925537109375,440.7282409667969,197.4925537109375,else,,173.84276875227317,off,False,173.77200075615823,True,,,
8,438.96624755859375,190.6720123291016,438.96624755859375,190.6720123291016,else,,176.90783944579007,off,False,172.7994518357601,True,,,
9,438.96624755859375,184.4191436767578,438.96624755859375,184.4191436767578,else,,178.3428423891749,off,False,170.6311495553457,True,,,
10,438.96624755859375,179.412109375,438.96624755859375,179.412109375,else,,180.45481909600903,off,False,169.04163515461826,True,,,
11,438.9918518066406,173.81080627441406,438.9918518066406,173.81080627441406,else,,182.02130716521128,off,False,167.3984879148156,True,,,
12,438.9918518066406,168.31512451171875,438.9918518066406,168.31512451171875,else,,183.68364716796816,off,False,165.97871263824817,True,,,
13,438.9918518066406,163.9955596923828,438.9918518066406,163.9955596923828,else,,185.84751786843975,off,False,164.9827388008293,True,,,
14,438.4188537597656,158.4785614013672,438.4188537597656,158.4785614013672,else,,188.2360605458378,off,False,164.43056140938313,True,,,
15,437.5395202636719,154.65328979492188,437.5395202636719,154.65328979492188,else,,190.41024162338022,off,False,164.63233380186884,False,,,
16,436.7323913574219,152.53773498535156,436.7323913574219,152.53773498535156,else,,191.07296262839694,off,False,165.10121886308835,False,,,
17,434.5505981445313,147.44534301757812,434.5505981445313,147.44534301757812,else,,193.24760578424136,off,False,166.5881926770431,False,,,
18,433.3105163574219,145.8402557373047,433.3105163574219,145.8402557373047,else,,,,False,167.6414587200963,False,,,
19,431.5643310546875,142.56068420410156,431.5643310546875,142.56068420410156,else,,,,False,169.063858046439,False,,,
20,431.3606262207031,138.3865509033203,431.3606262207031,138.3865509033203,else,,176.78293437813232,off,False,168.95892645356346,True,,,
21,430.1994934082031,133.2384796142578,430.1994934082031,133.2384796142578,else,,175.62724376084205,off,False,169.88129298866266,False,,,
22,427.9541320800781,130.14866638183594,427.9541320800781,130.14866638183594,else,,170.18301502419487,off,False,172.05928465369033,False,,,
23,427.7483215332031,128.86849975585938,427.7483215332031,128.86849975585938,else,,167.20052578557403,off,False,172.25386795789146,False,,,
24,427.7483215332031,128.4298095703125,427.7483215332031,128.4298095703125,else,,167.39812150952673,off,False,172.25221470534277,True,,,
25,427.7107238769531,128.3857879638672,427.7107238769531,128.3857879638672,else,,164.7941353781292,off,False,172.28970804826548,False,,,
26,427.7483215332031,127.91543579101562,427.7483215332031,127.91543579101562,else,,160.66516650214194,off,False,172.25169922451917,True,,,
27,427.8356323242188,127.23719024658205,427.8356323242188,127.23719024658205,else,,158.36215482534354,off,False,172.16605756048864,True,,,
28,428.4432373046875,127.23719024658205,428.4432373046875,127.23719024658205,else,,,,False,171.5584585650491,True,,,
29,429.8765869140625,127.23719024658205,429.8765869140625,127.23719024658205,else,,144.88938431854527,off,False,170.12512324383027,True,,,
30,445.016357421875,134.28529357910156,445.016357421875,134.28529357910156,S,0,127.78087126227044,off,False,155.11103887911878,True,,1.0,
31,456.0054626464844,140.36941528320312,456.0054626464844,140.36941528320312,S,,114.14423641047584,off,False,144.52483946402205,True,,,
32,462.7410888671875,142.2740020751953,462.7410888671875,142.2740020751953,S,,106.02183689389014,off,False,137.99911528922206,True,,,
33,465.2930603027344,144.59982299804688,465.2930603027344,144.59982299804688,S,,101.98552884827292,off,False,135.7258771427514,True,,,
34,467.8719177246094,145.2368621826172,467.8719177246094,145.2368621826172,S,,99.70685584787043,off,False,133.24766243231036,True,,,
35,468.1971740722656,146.64736938476562,468.1971740722656,146.64736938476562,S,,98.47985510436733,off,False,133.11539846129202,True,,,
36,468.4459533691406,147.68153381347656,468.4459533691406,147.68153381347656,S,,96.63290629269999,off,False,133.01815649829666,True,,,
37,470.417236328125,148.28277587890625,470.417236328125,148.28277587890625,S,,94.13995676969365,off,False,131.16052621957166,True,,,
38,470.5079650878906,149.8443603515625,470.5079650878906,149.8443603515625,S,,90.95787804058172,off,False,131.3216021256513,False,,,
39,470.7869567871094,153.23306274414062,470.7869567871094,153.23306274414062,S,,82.76125305166696,off,False,131.65378077285163,False,,,
40,473.0878601074219,154.37559509277344,473.0878601074219,154.37559509277344,S,,77.5111038649357,off,False,129.6239301541627,True,,,
41,473.35791015625,157.54405212402344,473.35791015625,157.54405212402344,S,,75.09091645435299,off,False,130.04256970661362,False,,,
42,474.5635070800781,161.90029907226562,474.5635070800781,161.90029907226562,S,,71.07515052970086,off,False,129.9366924053351,True,,,
43,475.2832336425781,163.9144744873047,475.2832336425781,163.9144744873047,S,,69.15136732081353,off,False,129.78490393089257,True,,,
44,477.7500305175781,167.31854248046875,477.7500305175781,167.31854248046875,S,,62.86198558796163,off,False,128.41729954037152,True,,,
45,479.0256042480469,169.8297882080078,479.0256042480469,169.8297882080078,S,,59.70257147339576,off,False,128.00209220585796,True,,,
46,480.8520202636719,171.4193572998047,480.8520202636719,171.4193572998047,S,,57.331817029842476,off,False,126.81278194084601,True,,,
47,481.1802062988281,172.27296447753906,481.1802062988281,172.27296447753906,S,,56.45314568588675,off,False,126.79999510575101,True,,,
48,483.86370849609375,176.5051727294922,483.86370849609375,176.5051727294922,S,,50.83694401878698,off,False,125.85861109116912,True,,,
49,485.4358825683594,178.44947814941406,485.4358825683594,178.44947814941406,S,,46.90526748661043,off,False,125.18021748039484,True,,,
50,486.1618957519531,180.80567932128903,486.1618957519531,180.80567932128903,S,,44.14148556105936,off,False,125.48925749789103,False,,,
51,487.6956787109375,181.47303771972656,487.6956787109375,181.47303771972656,S,,42.26884681396771,off,False,124.38499243547139,True,,,
52,490.3113708496094,182.35882568359372,490.3113708496094,182.35882568359372,S,,40.12963464128944,off,False,122.41926847760222,True,,,
53,492.033935546875,183.21975708007807,492.033935546875,183.21975708007807,S,,38.40170849945902,off,False,121.26785495538037,True,,,
54,493.8508911132813,183.60047912597656,493.8508911132813,183.60047912597656,S,,38.05309578988516,off,False,119.82923932197274,True,,,
55,494.5051879882813,183.95106506347656,494.5051879882813,183.95106506347656,S,,37.56181139585546,off,False,119.41388965746512,True,,,
56,496.1902465820313,184.87139892578125,496.1902465820313,184.87139892578125,S,,35.96972812595632,off,False,118.36731356449219,True,,,
57,496.1902465820313,185.8099365234375,496.1902465820313,185.8099365234375,S,,35.62627436743791,off,False,118.82109941228173,False,,,
58,496.2554931640625,186.2589111328125,496.2554931640625,186.2589111328125,S,,35.146927467740525,off,False,118.98329052859829,False,,,
59,496.2554931640625,189.0775909423828,496.2554931640625,189.0775909423828,S,,32.93061462049756,off,False,120.38851612158415,False,,,
60,495.9481201171875,190.7164306640625,495.9481201171875,190.7164306640625,S,,31.890706163437127,off,False,121.49133459793501,False,,,
61,495.1658935546875,191.3149871826172,495.1658935546875,191.3149871826172,S,,30.328354950669475,off,False,122.47031263176432,False,,,
62,495.1658935546875,191.3149871826172,495.1658935546875,191.3149871826172,S,,30.626599269983384,off,False,122.47031263176432,False,,,
63,495.1658935546875,191.3149871826172,495.1658935546875,191.3149871826172,S,,30.306468156658454,off,False,122.47031263176432,False,,,
64,495.1658935546875,186.3597412109375,495.1658935546875,186.3597412109375,S,,31.398892981317307,off,False,119.98353748908518,True,,,
65,495.6182861328125,185.1280975341797,495.6182861328125,185.1280975341797,S,,30.21171831323796,off,False,118.99227587421862,True,,,
66,495.7312316894531,183.93772888183597,495.7312316894531,183.93772888183597,S,,28.787300212356982,on,False,118.32584484150658,True,,,
67,496.8230285644531,183.73399353027344,496.8230285644531,183.73399353027344,S,,,,False,117.26792174096127,True,,,
68,497.3089294433594,183.59307861328125,497.3089294433594,183.59307861328125,S,,12.370452114786165,on,False,116.77348312768362,True,1.0,,
69,497.4260559082031,183.29042053222656,497.4260559082031,183.29042053222656,S,,10.998524734923986,on,False,116.52658327256289,True,,,
70,497.4260559082031,183.29042053222656,497.4260559082031,183.29042053222656,S,,10.631797038004343,on,False,116.52658327256289,False,,,
71,497.4260559082031,182.82388305664065,497.4260559082031,182.82388305664065,S,,10.612750948475467,on,False,116.3059420664107,True,,,
72,497.2742004394531,182.3325653076172,497.2742004394531,182.3325653076172,S,,11.220397291018225,on,False,116.209369451263,True,,,
73,496.9136962890625,182.29632568359372,496.9136962890625,182.29632568359372,S,,11.608521791211736,on,False,116.51127411337723,False,,,
74,496.5246276855469,182.07464599609372,496.5246276855469,182.07464599609372,S,,11.97936778117838,on,False,116.75281587703805,False,,,
75,496.4718933105469,181.37437438964844,496.4718933105469,181.37437438964844,S,,11.884945512866194,on,False,116.4770050962384,True,,,
76,495.5478210449219,181.27532958984372,495.5478210449219,181.27532958984372,S,,12.756023284520568,on,False,117.25407639553579,False,,,
77,495.118408203125,180.61648559570312,495.118408203125,180.61648559570312,S,,11.89830736066721,on,False,117.33986046646362,False,,,
78,494.5968933105469,178.22235107421875,494.5968933105469,178.22235107421875,S,,13.117109047024334,on,False,116.75658202949553,True,,,
79,494.5968933105469,177.88375854492188,494.5968933105469,177.88375854492188,S,,13.306505727701833,on,False,116.61133849826227,True,,,
80,494.2036743164063,176.77842712402344,494.2036743164063,176.77842712402344,S,,14.495737813907942,on,False,116.49977459567332,True,,,
81,494.5968933105469,176.77842712402344,494.5968933105469,176.77842712402344,S,,13.770085704112233,on,False,116.1427994000571,True,,,
82,494.5968933105469,176.99395751953125,494.5968933105469,176.99395751953125,S,,14.428080437305368,on,False,116.23348387282329,False,,,
83,494.1314086914063,177.88375854492188,494.1314086914063,177.88375854492188,S,,17.324534848281033,on,False,117.03225193182479,False,,,
84,493.8515930175781,178.51852416992188,493.8515930175781,178.51852416992188,S,,17.48022287411626,on,False,117.55681855686998,False,,,
85,493.6560974121094,180.04624938964844,493.6560974121094,180.04624938964844,S,,17.312696276390913,on,False,118.39694967841127,False,,,
