,original,corrected
0,3.4045952,0.0
1,3.44457216,0.03997695999999973
2,3.48454912,0.0799539199999999
3,3.52452608,0.11993087999999963
4,3.56450304,0.1599078399999998
5,3.60448,0.19988479999999997
6,3.64445696,0.2398617599999997
7,3.68443392,0.2798387199999999
8,3.72441088,0.31981568000000005
9,3.76438784,0.3597926399999998
10,3.8043648,0.39976959999999995
11,3.84434176,0.4397465599999997
12,3.88431872,0.47972351999999985
13,3.92429568,0.51970048
14,3.96427264,0.5596774399999997
15,4.0042496,0.5996543999999995
16,4.04422656,0.6396313600000001
17,4.08420352,0.6796083199999998
18,4.12418048,0.7195852799999995
19,4.16415744,0.7595622400000002
20,4.2041344,0.7995391999999999
21,4.24411136,0.8395161599999996
22,4.28408832,0.8794931200000002
23,4.32406528,0.91947008
24,4.36404224,0.9594470399999997
25,4.4040192,0.9994239999999994
26,4.44399616,1.03940096
27,4.48397312,1.0793779199999998
28,4.52395008,1.1193548799999995
29,4.56392704,1.1593318400000001
30,4.603904,1.1993087999999998
31,4.64388096,1.2392857599999996
32,4.68385792,1.2792627200000002
33,4.72383488,1.31923968
34,4.76381184,1.3592166399999996
35,4.8037888,1.3991936000000003
36,4.84376576,1.43917056
37,4.88374272,1.4791475199999997
38,4.92371968,1.5191244799999994
39,4.96369664,1.55910144
40,5.0036736,1.5990783999999998
41,5.04365056,1.6390553599999995
42,5.08362752,1.6790323200000001
43,5.12360448,1.7190092799999999
44,5.16358144,1.7589862399999996
45,5.2035584,1.7989632000000002
46,5.24353536,1.83894016
47,5.28351232,1.8789171199999997
48,5.32348928,1.9188940800000003
49,5.36346624,1.95887104
50,5.4034432,1.9988479999999997
51,5.44342016,2.0388249599999995
52,5.48339712,2.07880192
53,5.52337408,2.11877888
54,5.56335104,2.1587558399999995
55,5.603328,2.1987328
56,5.64330496,2.23870976
57,5.68328192,2.2786867199999996
58,5.72325888,2.3186636800000002
59,5.76323584,2.35864064
60,5.8032128,2.3986175999999997
61,5.84318976,2.4385945599999994
62,5.88316672,2.47857152
63,5.92314368,2.5185484799999998
64,5.96312064,2.5585254399999995
65,6.0030976,2.5985024
66,6.04307456,2.63847936
67,6.08305152,2.6784563199999996
68,6.12302848,2.71843328
69,6.16300544,2.75841024
70,6.2029824,2.7983871999999996
71,6.24295936,2.8383641600000002
72,6.28293632,2.87834112
73,6.32291328,2.9183180799999997
74,6.36289024,2.9582950399999994
75,6.4028672,2.998272
76,6.44284416,3.0382489599999998
77,6.48282112,3.0782259199999995
78,6.52279808,3.11820288
79,6.56277504,3.15817984
80,6.602752,3.1981567999999996
81,6.64272896,3.23813376
82,6.68270592,3.27811072
83,6.72268288,3.3180876799999997
84,6.76265984,3.3580646400000003
85,6.8026368,3.3980416
86,6.84261376,3.4380185599999997
87,6.88259072,3.4779955199999995
88,6.92256768,3.51797248
89,6.96254464,3.55794944
90,7.0025216,3.5979263999999995
91,7.04249856,3.63790336
92,7.08247552,3.67788032
93,7.12245248,3.7178572799999996
94,7.16242944,3.75783424
95,7.2024064,3.7978112
96,7.24238336,3.8377881599999997
97,7.28236032,3.8777651200000003
98,7.32233728,3.91774208
99,7.36231424,3.9577190399999997
100,7.4022912,3.9976959999999995
101,7.44226816,4.03767296
102,7.48224512,4.07764992
103,7.52222208,4.1176268799999995
104,7.56219904,4.15760384
105,7.602176,4.1975808
