,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,NHaxis_angle,Heading_2_Szone,distance,approaching,time_diff,x_bin,y_bin,EVT1,EVT2,EVT3
0,474.9781188964844,852.322998046875,474.9781188964844,852.322998046875,E,,625.5122169431854,off,155.10420613510934,False,735.0335204970416,False,0.0,139,166,,,
1,474.9781188964844,852.322998046875,474.9781188964844,852.322998046875,E,,625.5811487291404,off,154.01187654845532,False,735.0335204970416,False,1.0,139,166,,,
2,474.9781188964844,852.322998046875,474.9781188964844,852.322998046875,E,,625.5900766226024,off,154.01187654845532,False,735.0335204970416,False,1.0,139,166,,,
3,466.3069152832031,846.1585083007812,466.3069152832031,846.1585083007812,E,,622.5150120273483,off,133.20665679749192,False,730.496737806471,True,1.0,136,165,,,
4,456.7383728027344,839.5433959960938,456.7383728027344,839.5433959960938,E,,618.1450027439157,off,111.7771677556047,False,725.8222221817559,True,1.0,133,164,,,
5,447.8966064453125,835.2084350585938,447.8966064453125,835.2084350585938,else,3,616.5657905062099,off,92.5549543428322,False,723.3804068046613,True,1.0,131,163,,,
6,444.2738952636719,832.708984375,444.2738952636719,832.708984375,else,,615.145437830347,off,88.60157794063194,False,721.7100334311515,True,1.0,130,162,,,
7,439.3262634277344,826.10107421875,439.3262634277344,826.10107421875,else,,610.1069460343691,off,80.99003115101075,False,716.3526781198395,True,1.0,128,161,,,
8,437.22601318359375,825.0159912109375,437.22601318359375,825.0159912109375,else,,609.3168875974499,off,77.37193828556362,False,715.7699789652213,True,1.0,128,161,,,
9,435.1860046386719,823.4507446289062,435.1860046386719,823.4507446289062,else,,607.9534032225896,off,75.76973070959158,False,714.7135029309745,True,1.0,127,160,,,
10,434.6490478515625,822.707763671875,434.6490478515625,822.707763671875,else,,605.2290680579902,off,77.73541361972957,False,714.1147066699947,True,1.0,127,160,,,
11,432.3136901855469,822.707763671875,432.3136901855469,822.707763671875,else,,605.5543864507299,off,76.23219668428695,False,714.6590623543275,False,1.0,126,160,,,
12,430.0670166015625,822.707763671875,430.0670166015625,822.707763671875,else,,605.8756816525014,off,74.23837216663931,False,715.1895523234881,False,1.0,126,160,,,
13,427.9002685546875,825.3800659179688,427.9002685546875,825.3800659179688,else,,619.7186871658977,off,69.75913934080586,False,718.3016594045284,False,1.0,125,161,,,
14,426.0396423339844,825.3800659179688,426.0396423339844,825.3800659179688,else,,623.0266496470213,off,66.11389958843344,False,718.7497216549294,False,1.0,124,161,,,
15,424.1172790527344,825.3800659179688,424.1172790527344,825.3800659179688,else,,623.3424550524459,off,62.49285595631262,False,719.2174134902215,False,1.0,124,161,,,
16,421.2112731933594,825.3705444335938,421.2112731933594,825.3705444335938,else,,623.8214133004392,off,58.862389329089105,False,719.9243606634981,False,1.0,123,161,,,
17,418.5633544921875,825.326904296875,418.5633544921875,825.326904296875,else,,,,57.24931075920371,False,720.5442857933097,False,1.0,122,161,,,
18,418.375244140625,825.1143798828125,418.375244140625,825.1143798828125,else,,608.8264532629839,off,58.965907056920905,False,720.3860149811181,True,1.0,122,161,,,
19,416.876220703125,823.4299926757812,416.876220703125,823.4299926757812,else,,606.8666548110263,off,58.50579132369809,False,719.1364218679289,True,1.0,122,160,,,
20,416.8006286621094,823.0233154296875,416.8006286621094,823.0233154296875,else,,606.3361697391534,off,61.41407747541342,False,718.762421561863,True,1.0,122,160,,,
21,415.7884521484375,821.7855834960938,415.7884521484375,821.7855834960938,else,,605.3560821033943,off,61.52456108300011,False,717.8247211045909,True,1.0,121,160,,,
22,415.0282897949219,820.211181640625,415.0282897949219,820.211181640625,else,,603.937493094069,off,62.98118187615619,False,716.4990255153888,True,1.0,121,160,,,
23,415.0282897949219,818.8609619140625,415.0282897949219,818.8609619140625,else,,604.0915948559592,off,65.50024027740342,False,715.1946604058332,True,1.0,121,160,,,
24,414.8645324707031,818.8305053710938,414.8645324707031,818.8305053710938,else,,615.3025281388782,off,66.74234898707267,False,715.207612157877,False,1.0,121,160,,,
25,414.8645324707031,817.93505859375,414.8645324707031,817.93505859375,else,,,,70.30053157903919,False,714.3427233576699,True,1.0,121,159,,,
26,414.8645324707031,816.756591796875,414.8645324707031,816.756591796875,else,,,,70.97990636301108,False,713.2045878154026,True,1.0,121,159,,,
27,413.6786804199219,816.756591796875,413.6786804199219,816.756591796875,else,,,,69.0851683407565,False,713.5133333538405,False,1.0,121,159,,,
28,413.1710815429688,816.5166015625,413.1710815429688,816.5166015625,else,,633.7628929520148,off,70.25070249927232,False,713.4144345322699,True,1.0,121,159,,,
29,411.25732421875,816.5166015625,411.25732421875,816.5166015625,else,,634.290867288353,off,67.179399624658,False,713.9179982940901,False,1.0,120,159,,,
30,408.8322448730469,816.5166015625,408.8322448730469,816.5166015625,else,,,,62.865189066126334,False,714.5629581971438,False,1.0,119,159,,,
31,405.7312316894531,816.4317626953125,405.7312316894531,816.4317626953125,else,,635.8763941015449,off,56.03444066014971,False,715.3171647798423,False,1.0,118,159,,,
32,399.8062133789063,813.1627807617188,399.8062133789063,813.1627807617188,else,,633.915279434793,off,52.34177993351461,False,713.8106109766253,True,1.0,117,158,,,
33,396.1100769042969,807.8318481445312,396.1100769042969,807.8318481445312,else,,629.4541698892053,off,54.771908628976625,False,709.7481542713449,True,1.0,116,157,,,
34,390.6104736328125,803.785400390625,390.6104736328125,803.785400390625,else,,627.1041677464485,off,55.25616294860648,False,707.4813645131527,True,1.0,114,157,,,
35,386.8650207519531,800.1319580078125,386.8650207519531,800.1319580078125,else,,,,54.05533884072873,False,705.1155141921649,True,1.0,113,156,,,
