,original,corrected
0,6.05454336,0.0
1,6.09452032,0.03997695999999973
2,6.13449728,0.07995391999999946
3,6.17447424,0.11993088000000007
4,6.2144512,0.1599078399999998
5,6.25442816,0.19988479999999953
6,6.29440512,0.23986176000000015
7,6.33438208,0.2798387199999999
8,6.37435904,0.3198156799999996
9,6.414336,0.35979263999999933
10,6.45431296,0.39976959999999995
11,6.49428992,0.4397465599999997
12,6.53426688,0.4797235199999994
13,6.57424384,0.51970048
14,6.6142208,0.5596774399999997
15,6.65419776,0.5996543999999995
16,6.69417472,0.6396313600000001
17,6.73415168,0.6796083199999998
18,6.77412864,0.7195852799999995
19,6.8141056,0.7595622400000002
20,6.85408256,0.7995391999999999
21,6.89405952,0.8395161599999996
22,6.93403648,0.8794931199999994
23,6.97401344,0.91947008
24,7.0139904,0.9594470399999997
25,7.05396736,0.9994239999999994
26,7.09394432,1.03940096
27,7.13392128,1.0793779199999998
28,7.17389824,1.1193548799999995
29,7.2138752,1.1593318400000001
30,7.25385216,1.1993087999999998
31,7.29382912,1.2392857599999996
32,7.33380608,1.2792627199999993
33,7.37378304,1.31923968
34,7.41376,1.3592166399999996
35,7.45373696,1.3991935999999994
36,7.49371392,1.43917056
37,7.53369088,1.4791475199999997
38,7.57366784,1.5191244799999994
39,7.6136448,1.55910144
40,7.65362176,1.5990783999999998
41,7.69359872,1.6390553599999995
42,7.73357568,1.6790323200000001
43,7.77355264,1.7190092799999999
44,7.8135296,1.7589862399999996
45,7.85350656,1.7989631999999993
46,7.89348352,1.83894016
47,7.93346048,1.8789171199999997
48,7.97343744,1.9188940799999994
49,8.0134144,1.95887104
50,8.05339136,1.9988480000000006
51,8.09336832,2.0388249599999995
52,8.13334528,2.07880192
53,8.17332224,2.118778879999999
54,8.2132992,2.1587558399999995
55,8.25327616,2.1987328
56,8.29325312,2.238709759999999
57,8.33323008,2.2786867199999996
58,8.37320704,2.3186636800000002
59,8.413184,2.358640639999999
60,8.45316096,2.3986175999999997
61,8.49313792,2.4385945600000003
62,8.53311488,2.478571519999999
63,8.57309184,2.5185484799999998
64,8.6130688,2.5585254400000004
65,8.65304576,2.598502399999999
66,8.69302272,2.63847936
67,8.73299968,2.6784563200000004
68,8.77297664,2.7184332799999993
69,8.8129536,2.75841024
70,8.85293056,2.7983872000000005
71,8.89290752,2.8383641599999994
72,8.93288448,2.87834112
73,8.97286144,2.9183180800000006
74,9.0128384,2.9582950399999994
75,9.05281536,2.998272
76,9.09279232,3.038248959999999
77,9.13276928,3.0782259199999995
78,9.17274624,3.11820288
79,9.2127232,3.158179839999999
80,9.25270016,3.1981567999999996
81,9.29267712,3.23813376
82,9.33265408,3.278110719999999
83,9.37263104,3.3180876799999997
84,9.412608,3.3580646400000003
85,9.45258496,3.398041599999999
86,9.49256192,3.4380185599999997
87,9.53253888,3.4779955200000003
88,9.57251584,3.517972479999999
89,9.6124928,3.55794944
90,9.65246976,3.5979264000000004
91,9.69244672,3.6379033599999993
92,9.73242368,3.67788032
93,9.77240064,3.7178572800000005
94,9.8123776,3.7578342399999993
95,9.85235456,3.7978112
96,9.89233152,3.8377881600000006
97,9.93230848,3.8777651199999994
98,9.97228544,3.91774208
99,10.0122624,3.957719039999999
100,10.05223936,3.9976959999999995
101,10.09221632,4.03767296
102,10.13219328,4.077649919999999
103,10.17217024,4.1176268799999995
104,10.2121472,4.15760384
105,10.25212416,4.197580799999999
106,10.29210112,4.23755776
107,10.33207808,4.27753472
108,10.37205504,4.317511679999999
109,10.412032,4.35748864
110,10.45200896,4.3974656
111,10.49198592,4.437442559999999
112,10.53196288,4.47741952
113,10.57193984,4.51739648
114,10.6119168,4.557373439999999
115,10.65189376,4.5973504
116,10.69187072,4.6373273600000005
117,10.73184768,4.677304319999999
118,10.77182464,4.71728128
119,10.8118016,4.7572582400000005
120,10.85177856,4.797235199999999
121,10.89175552,4.83721216
122,10.93173248,4.877189120000001
123,10.97170944,4.917166079999999
124,11.0116864,4.95714304
125,11.05166336,4.997119999999999
126,11.09164032,5.0370969599999995
127,11.13161728,5.07707392
128,11.17159424,5.117050879999999
129,11.2115712,5.15702784
130,11.25154816,5.1970048
131,11.29152512,5.236981759999999
132,11.33150208,5.27695872
133,11.37147904,5.31693568
134,11.411456,5.356912639999999
135,11.45143296,5.3968896
136,11.49140992,5.43686656
137,11.53138688,5.476843519999999
138,11.57136384,5.51682048
139,11.6113408,5.55679744
140,11.65131776,5.596774399999999
141,11.69129472,5.63675136
142,11.73127168,5.6767283200000005
143,11.77124864,5.716705279999999
144,11.8112256,5.75668224
145,11.85120256,5.796659200000001
146,11.89117952,5.836636159999999
147,11.93115648,5.87661312
148,11.97113344,5.916590079999999
149,12.0111104,5.9565670399999995
150,12.05108736,5.996544
151,12.09106432,6.036520959999999
152,12.13104128,6.0764979199999996
153,12.17101824,6.11647488
154,12.2109952,6.156451839999999
155,12.25097216,6.1964288
156,12.29094912,6.23640576
157,12.33092608,6.276382719999999
158,12.37090304,6.31635968
159,12.41088,6.35633664
160,12.45085696,6.396313599999999
161,12.49083392,6.43629056
162,12.53081088,6.47626752
163,12.57078784,6.516244479999999
164,12.6107648,6.55622144
165,12.65074176,6.5961984000000005
166,12.69071872,6.636175359999999
167,12.73069568,6.67615232
168,12.77067264,6.7161292800000005
169,12.8106496,6.756106239999999
170,12.85062656,6.7960832
171,12.89060352,6.836060160000001
172,12.93058048,6.8760371199999994
173,12.97055744,6.91601408
174,13.0105344,6.955991039999999
175,13.05051136,6.9959679999999995
176,13.09048832,7.03594496
