,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset
0,20892,25.545276929094463,1.0145024927225086,817,20117,24.78342094433158,-0.5806965522021007,793
1,134997,137.71505388569892,1.3115551341286953,4406,134294,137.02397677952047,0.5875804521265118,4384
2,191901,193.65396092692077,0.9781469064575583,6196,190480,192.25706111485877,-0.2911704871939288,6152
3,259143,259.7555352848893,0.9507973483616883,8312,258275,258.9022565819549,-0.827722266028014,8284
4,343703,342.8813960223721,1.2368040320661828,10972,341715,340.92711254145775,-0.3501066986913356,10909
5,402365,400.54848734903027,0.9244833950523044,12817,401736,399.9301552013969,-0.5686750776627664,12797
6,512000,508.3240755935185,1.3108128931699978,16266,510745,507.0903604181928,-0.009484611952427162,16226
7,599986,594.8178313036434,1.4957715859489011,19034,596421,591.3132937737341,-0.25689144022348764,18922
