,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,16101,22.298295874034082,2.6848003986579227,506,15360,21.569863248602736,-0.6932511637208161,483,0.7284326254313456
1,17918,24.08447951831041,2.246810430770289,563,16830,23.01493201970136,-0.5578319560673938,529,1.069547498609051
2,19864,25.997475320050494,3.563804306772437,624,18758,24.91023310179534,0.11039391544969633,590,1.087242218255156
3,32014,37.94141108117178,3.8644311620595846,1007,30664,36.614307107713856,0.6599880232986671,964,1.3271039734579233
4,37498,43.33240233335195,0.40723018119889326,1179,36667,42.515496109690076,-1.9952173565141582,1153,0.8169062236618743
5,39450,45.251296374974075,1.1490298549192235,1240,38217,44.03920807921584,-1.5893976571446289,1202,1.2120882957582353
6,43714,49.442978851140424,0.8265213519480451,1375,42915,48.657529906849405,-0.8625790386100037,1349,0.7854489442910193
7,46354,52.03820439923591,1.1227895378556492,1458,44444,50.16059803678804,-1.5345198460473541,1398,1.877606362447871
8,49490,55.121017777579645,2.55039749687677,1556,48680,54.324755393504894,-0.4991377418694272,1531,0.7962623840747511
9,53709,59.268463454630734,2.5202565330765645,1689,51750,57.34268813314624,-1.786638439486286,1627,1.925775321484494
10,58207,63.69017728619645,6.912193237240761,1831,56165,61.682809646343806,-1.2732344826008863,1766,2.007367639852646
11,68426,73.73586284528274,3.968178931956813,2152,67255,72.58472302830553,-0.7015651310480651,2115,1.1511398169772065
12,76293,81.46943837061123,8.0281674400475,2399,75655,80.84225886315483,2.1206719563066656,2379,0.6271795074564039
13,81881,86.96266578074669,1.6853425700133813,2575,81156,86.24996179500076,-1.4752774794322616,2552,0.7127039857459323
14,93324,98.21159227576815,1.6224891888971147,2935,92278,97.18333245633335,-1.4175507640799463,2902,1.0282598194348083
15,101884,106.62641450747171,1.4761158519295554,3204,101292,106.0444548391109,0.11242090469261032,3186,0.5819596683608097
16,103911,108.61903654761927,1.5484150886319181,3268,102946,107.67040296659194,-1.3642657197178352,3238,0.9486335810273374
17,105558,110.23810339523793,2.6643669521974576,3320,104776,109.46936613061268,-1.7063413991712706,3295,0.7687372646252442
18,114453,118.98224402035513,2.836537988906403,3600,113865,118.40421651191566,0.4919947269958563,3581,0.5780275084394617
19,120981,125.39952901200942,3.026137124699218,3805,120016,124.45089543098209,-1.1958558545856444,3775,0.9486335810273374
20,124589,128.94633726107327,2.0650090945541253,3919,123723,128.09502463809952,0.4858752946188637,3891,0.8513126229737509
21,131182,135.4275198514496,0.8839341812189929,4126,129743,134.0129253197415,-1.1028523466528322,4081,1.4145945317081043
22,137257,141.39948773201024,1.6822991831847236,4317,136672,140.8244093435118,0.5110990815760776,4299,0.5750783884984401
23,139480,143.5847856083043,2.900119439611472,4387,138606,142.72560866548784,-2.4917579083341383,4360,0.8591769428164469
24,148897,152.84207310315853,0.8588106490267019,4683,146938,150.91629778167405,-1.8150466884314567,4622,1.9257753214844797
25,156376,160.19422911611542,1.1417821594149924,4919,155829,159.65650624686987,0.3179187739220798,4901,0.537722869245556
26,164384,168.06641327867175,1.2136656335618599,5171,163621,167.31635377367292,-0.08483476860730277,5147,0.7500595049988306
27,169234,172.83415718331685,1.120196748558959,5323,167923,171.54539176909216,-1.0211383122629536,5282,1.2887654142246845
28,175813,179.30157721396844,1.4685175290467083,5530,174734,178.24087707518245,-0.4590407008888766,5496,1.0607001387859896
29,184896,188.23052935538942,2.2531769794358874,5816,183528,186.8857306622854,-0.33219112698640413,5773,1.3447986931040248
30,189031,192.295399674092,4.631462083028731,5946,187917,191.20029313599414,-0.19189577769408062,5911,1.0951065380978662
31,193103,196.29833847403324,2.9391323083908865,6074,191051,194.2811404343772,-1.15707114713243,6009,2.0171980396560514
32,215542,218.35677259286456,3.0321884302480497,6780,214755,217.58312012833758,-0.2188165943023714,6755,0.7736524645269753
33,219969,222.7086905858262,4.203035259065489,6919,217771,220.54796870904062,0.10396727703063578,6850,2.1607218767855727
34,230173,232.73963054520738,1.5755171480456498,7240,229128,231.71235376575294,-0.07545207228415479,7207,1.0272767794544393
35,234144,236.64328230713434,1.7522771760657663,7365,232844,235.3653303326934,-0.632804726481391,7324,1.2779519744409527
36,244747,247.06645521867088,2.857940214163808,7699,243915,246.24856595502868,-0.02419586383179027,7672,0.8178892636422006
37,257669,259.769297844614,3.1570091854702302,8105,256777,258.8924261821515,1.1330306530717578,8077,0.8768716624625199
38,264328,266.31536107369277,2.752821354069946,8315,263447,265.44930285101395,-0.2977798397404166,8287,0.8660582226788165
39,266212,268.1674083966518,5.475048578495793,8374,265145,267.1185047376299,0.17910054485290858,8340,1.048903659021903
40,269932,271.82431712351365,2.4005717278509975,8491,268347,270.266198754676,-0.5857400973966254,8441,1.558118368837654
41,278220,279.97175248056493,1.859065859910461,8752,277500,279.2639636947207,-0.5681051793505367,8729,0.7077887858442296
42,281431,283.12829385743413,1.5884037534791418,8853,280588,282.29959115400817,-1.2774261554624091,8826,0.8287027034259609
43,287370,288.96656830066865,1.769057428147523,9039,286710,288.31776191364474,-0.18067393308418725,9019,0.6488063870239102
44,306503,307.7750722444986,1.3883343741048992,9641,305991,307.2717557745649,0.46534594604081714,9625,0.5033164699336794
