,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,NHaxis_angle,Heading_2_Szone,distance,approaching,time_diff,x_bin,y_bin,EVT2,EVT3
0,600.1123657226562,482.92669677734375,600.1123657226562,482.92669677734375,else,,196.8162658198189,False,354.926714564193,False,0.0,175,94,,
1,600.1123657226562,482.92669677734375,600.1123657226562,482.92669677734375,else,,196.8162658198189,False,354.926714564193,False,1.0,175,94,,
2,600.1123657226562,482.9611511230469,600.1123657226562,482.9611511230469,else,,196.87505047441852,False,354.96116890816967,False,1.0,175,94,,
3,598.075927734375,482.9611511230469,598.075927734375,482.9611511230469,else,,196.77960738028483,False,354.9663658160895,False,1.0,175,94,,
4,591.1170043945312,482.9611511230469,591.1170043945312,482.9611511230469,else,,197.91701495869455,False,355.0722833699151,False,1.0,173,94,,
5,585.937744140625,487.0739135742188,585.937744140625,487.0739135742188,else,,206.49530605097726,False,359.34916508788507,False,1.0,171,95,,
6,584.7713012695312,488.8244934082031,584.7713012695312,488.8244934082031,else,,209.13546626600368,False,361.14571617050893,False,1.0,171,95,,
7,582.1793823242188,489.4631652832031,582.1793823242188,489.4631652832031,else,,212.43591545545897,False,361.9021888175016,False,1.0,170,95,,
8,579.9984130859375,491.5305480957031,579.9984130859375,491.5305480957031,else,,212.84455644228098,False,364.08037969360987,False,1.0,170,96,,
9,579.6516723632812,494.8166198730469,579.6516723632812,494.8166198730469,else,,216.05187229169158,False,367.3805752250636,False,1.0,169,96,,
10,578.8814086914062,497.9134826660156,578.8814086914062,497.9134826660156,else,,219.5191243691188,False,370.51582902348457,False,1.0,169,97,,
11,578.8814086914062,502.5758056640625,578.8814086914062,502.5758056640625,else,,225.34396572773844,False,375.170666614197,False,1.0,169,98,,
12,578.8814086914062,505.6120300292969,578.8814086914062,505.6120300292969,else,,225.95263892600218,False,378.20211543790447,False,1.0,169,98,,
13,579.3111572265625,508.841552734375,579.3111572265625,508.841552734375,else,,222.52597965898224,False,381.4030892696515,False,1.0,169,99,,
14,580.6682739257812,512.03466796875,580.6682739257812,512.03466796875,else,,223.66978988594485,False,384.52092509365036,False,1.0,170,100,,
15,581.4998779296875,515.8789672851562,581.4998779296875,515.8789672851562,else,,225.65479093225585,False,388.3199039179112,False,1.0,170,100,,
16,581.4998779296875,520.4476928710938,581.4998779296875,520.4476928710938,else,,228.32307391141813,False,392.88350201613304,False,1.0,170,101,,
17,581.4998779296875,527.33447265625,581.4998779296875,527.33447265625,else,,230.79153231531282,False,399.7627741151766,False,1.0,170,103,,
18,579.7067260742188,532.4013671875,579.7067260742188,532.4013671875,else,,231.54195771173246,False,404.91021566483846,False,1.0,170,104,,
19,578.7382202148438,536.7964477539062,578.7382202148438,536.7964477539062,else,,232.67549343032755,False,409.3489941063062,False,1.0,169,104,,
20,576.1583251953125,540.33740234375,576.1583251953125,540.33740234375,else,,236.86509853771264,False,413.0260994526666,False,1.0,168,105,,
21,575.4315185546875,542.9127197265625,575.4315185546875,542.9127197265625,else,,236.8873313672222,False,415.63947751798275,False,1.0,168,106,,
22,575.4315185546875,545.2106323242188,575.4315185546875,545.2106323242188,else,,235.92789693093002,False,417.93339422078145,False,1.0,168,106,,
23,575.4315185546875,546.5394897460938,575.4315185546875,546.5394897460938,else,,237.1302111378839,False,419.25996083271434,False,1.0,168,106,,
24,575.9328002929688,546.5394897460938,575.9328002929688,546.5394897460938,else,,236.6461078694902,False,419.2308845715671,True,1.0,168,106,,
25,578.366455078125,546.5394897460938,578.366455078125,546.5394897460938,else,,231.77658186241214,False,419.0982161054939,True,1.0,169,106,,
26,581.6207275390625,544.5196533203125,581.6207275390625,544.5196533203125,else,,226.7718427941359,False,416.92495638695783,True,1.0,170,106,,
27,584.5702514648438,542.2672119140625,584.5702514648438,542.2672119140625,else,,221.30490533698512,False,414.55445963939275,True,1.0,171,106,,
28,587.2230834960938,538.4412841796875,587.2230834960938,538.4412841796875,else,,216.62543116890316,False,410.6401068507785,True,1.0,172,105,,
29,590.1423950195312,529.2366333007812,590.1423950195312,529.2366333007812,else,,206.72926432151854,False,401.3577061406652,True,1.0,173,103,,
30,592.8956298828125,517.7766723632812,592.8956298828125,517.7766723632812,else,,195.9497987752391,False,389.8414118501967,True,1.0,173,101,,
31,595.345458984375,507.7872924804688,595.345458984375,507.7872924804688,else,,186.09894861205893,False,379.81581362775205,True,1.0,174,99,,
32,597.2406616210938,501.2331237792969,597.2406616210938,501.2331237792969,else,,180.9269871738762,False,373.24332362996296,True,1.0,175,97,,
33,598.4651489257812,497.39056396484375,598.4651489257812,497.39056396484375,else,,178.95899566915242,False,369.3937526733301,True,1.0,175,97,,
34,599.2532348632812,495.3806762695313,599.2532348632812,495.3806762695313,else,,177.0170342097234,False,367.38143523377386,True,1.0,175,96,,
35,599.7049560546875,495.2109069824219,599.7049560546875,495.2109069824219,else,,176.9818053026162,False,367.211025512283,True,1.0,175,96,,
36,599.7049560546875,493.852783203125,599.7049560546875,493.852783203125,else,,176.05411261692106,False,365.85290217299416,True,1.0,175,96,,
37,599.7049560546875,491.8215942382813,599.7049560546875,491.8215942382813,else,,172.58373833639996,False,363.8217138723502,True,1.0,175,96,,
38,598.4202270507812,489.0457458496094,598.4202270507812,489.0457458496094,else,,169.24992114179494,False,361.04920201915945,True,1.0,175,95,,
39,598.3533935546875,484.1490173339844,598.3533935546875,484.1490173339844,else,,161.76979615668031,False,356.1528237438929,True,1.0,175,94,,
40,598.3533935546875,481.8883666992188,598.3533935546875,481.8883666992188,else,,159.2962399549331,False,353.89219742433784,True,1.0,175,94,,
41,598.3533935546875,478.3553466796875,598.3533935546875,478.3553466796875,else,,158.43736236845083,False,350.3592160338154,True,1.0,175,93,,
42,599.130859375,472.755859375,599.130859375,472.755859375,else,,153.37396779013375,False,344.7569549390132,True,1.0,175,92,,
43,599.4832153320312,469.6125793457031,599.4832153320312,469.6125793457031,else,,153.96282817413203,False,341.61297023622706,True,1.0,175,91,,
44,599.8159790039062,467.4775390625,599.8159790039062,467.4775390625,else,,153.89542697442414,False,339.4775889387372,True,1.0,175,91,,
45,600.23388671875,465.5707702636719,600.23388671875,465.5707702636719,else,,154.40692128085834,False,337.57085128814947,True,1.0,176,91,,
46,599.8159790039062,462.7437438964844,599.8159790039062,462.7437438964844,else,,152.71965814922808,False,334.7437944780487,True,1.0,175,90,,
47,599.4832153320312,459.4397583007813,599.4832153320312,459.4397583007813,else,,145.49915285429105,False,331.4401611888236,True,1.0,175,89,,
48,597.8160400390625,452.9892883300781,597.8160400390625,452.9892883300781,else,,137.8524854846607,False,324.9966264600321,True,1.0,175,88,,
49,595.4866333007812,444.29290771484375,595.4866333007812,444.29290771484375,else,,129.42056942160954,False,316.32510799756676,True,1.0,174,86,,
50,592.6771850585938,438.1938171386719,592.6771850585938,438.1938171386719,else,,123.21443656446745,False,310.2802407658694,True,1.0,173,85,,
51,590.4078979492188,431.5814208984375,590.4078979492188,431.5814208984375,else,,121.64260223493875,False,303.7329213905975,True,1.0,173,84,,
52,588.8156127929688,423.5130310058594,588.8156127929688,423.5130310058594,else,,117.43869474688063,False,295.72460501531964,True,1.0,172,82,,
53,588.8156127929688,416.8943481445313,588.8156127929688,416.8943481445313,else,,117.78101878688565,False,289.11076580966414,True,1.0,172,81,,
54,588.8156127929688,411.4249572753906,588.8156127929688,411.4249572753906,else,,114.36361601157925,False,283.645548041484,True,1.0,172,80,,
55,589.1715698242188,404.5035095214844,589.1715698242188,404.5035095214844,else,,108.82338504959414,False,276.7154597736985,True,1.0,172,79,,
56,590.5137939453125,400.04205322265625,590.5137939453125,400.04205322265625,else,,105.80330826874214,False,272.20739671601604,True,1.0,173,78,,
57,592.0386352539062,397.8086853027344,592.0386352539062,397.8086853027344,else,,105.93350110853483,False,269.9261195094137,True,1.0,173,77,,
58,592.7312622070312,397.8086853027344,592.7312622070312,397.8086853027344,else,,107.20631223398307,False,269.9065786784251,True,1.0,173,77,,
59,592.7601318359375,397.8086853027344,592.7601318359375,397.8086853027344,else,,107.2692870857441,False,269.9058027457412,True,1.0,173,77,,
60,592.8244018554688,398.4341430664063,592.8244018554688,398.4341430664063,else,,107.65116316337371,False,270.5293236320109,False,1.0,173,77,,
61,592.8244018554688,400.8132629394531,592.8244018554688,400.8132629394531,else,,112.49797960490815,False,272.90761375308495,False,1.0,173,78,,
62,592.7601318359375,401.52490234375,592.7601318359375,401.52490234375,else,,120.25245201837203,False,273.6207007760761,False,1.0,173,78,,
63,592.4528198242188,402.3355102539063,592.4528198242188,402.3355102539063,else,,126.07914667145796,False,274.4393049744822,False,1.0,173,78,,
64,592.4528198242188,402.3668823242188,592.4528198242188,402.3668823242188,else,,127.68646305306191,False,274.47066518103065,False,1.0,173,78,,
65,592.4528198242188,402.6428833007813,592.4528198242188,402.6428833007813,else,,128.3275271220899,False,274.7465619009131,False,1.0,173,78,,
66,593.7667236328125,403.3558349609375,593.7667236328125,403.3558349609375,else,,131.65420689002343,False,275.4263777877943,False,1.0,174,78,,
67,595.4089965820312,404.90240478515625,595.4089965820312,404.90240478515625,else,,136.13133910494184,False,276.94046126954134,False,1.0,174,79,,
68,599.0592651367188,405.588623046875,599.0592651367188,405.588623046875,else,,140.84453003475355,False,277.5902170955292,False,1.0,175,79,,
69,600.9509887695312,405.9128112792969,600.9509887695312,405.9128112792969,else,,145.3646775776679,False,277.9144383669223,False,1.0,176,79,,
70,602.22119140625,406.09027099609375,602.22119140625,406.09027099609375,else,,146.85298041486777,False,278.09914151961,False,1.0,176,79,,
71,602.22119140625,406.09027099609375,602.22119140625,406.09027099609375,else,,147.11456470841483,False,278.09914151961,False,1.0,176,79,,
72,602.2254638671875,406.09027099609375,602.2254638671875,406.09027099609375,else,,148.05237157111867,False,278.0991756767809,False,1.0,176,79,,
73,602.2254638671875,403.1604309082031,602.2254638671875,403.1604309082031,else,,144.48046381952446,False,275.16943040063916,True,1.0,176,78,,
74,601.9572143554688,401.022216796875,601.9572143554688,401.022216796875,else,,141.70262860865157,False,273.02923204798617,True,1.0,176,78,,
75,600.9532470703125,401.022216796875,600.9532470703125,401.022216796875,else,,140.3296618023088,False,273.02388090541984,True,1.0,176,78,,
76,596.7432861328125,401.022216796875,596.7432861328125,401.022216796875,else,,136.57972052876923,False,273.0416397729338,False,1.0,174,78,,
77,594.356689453125,403.8130187988281,594.356689453125,403.8130187988281,else,,140.1243269554145,False,275.8707456270983,False,1.0,174,78,,
78,592.7998657226562,409.6918029785156,592.7998657226562,409.6918029785156,else,,142.95202114289563,False,281.7838068429388,False,1.0,173,80,,
79,592.6453857421875,421.47900390625,592.6453857421875,421.47900390625,else,,158.87840877892043,False,293.5711431402718,False,1.0,173,82,,
80,592.3604125976562,433.4096984863281,592.3604125976562,433.4096984863281,else,,168.70484207738934,False,305.50523272963414,False,1.0,173,84,,
81,591.1868286132812,445.6517028808594,591.1868286132812,445.6517028808594,else,,183.2309782543111,False,317.773939040006,False,1.0,173,87,,
82,587.9190063476562,457.2038269042969,587.9190063476562,457.2038269042969,else,,198.28307252974378,False,329.42542411912024,False,1.0,172,89,,
83,584.7295532226562,466.9501953125,584.7295532226562,466.9501953125,else,,208.58301420905062,False,339.2940044373929,False,1.0,171,91,,
84,581.5458984375,476.88226318359375,581.5458984375,476.88226318359375,else,,219.85932989540626,False,349.3699864450085,False,1.0,170,93,,
85,580.54638671875,482.3799743652344,580.54638671875,482.3799743652344,else,,217.0122088275643,False,354.9135236938719,False,1.0,170,94,,
86,579.6194458007812,486.5270080566406,579.6194458007812,486.5270080566406,else,,215.2151739295873,False,359.1058096098053,False,1.0,169,95,,
87,577.6804809570312,491.2540283203125,577.6804809570312,491.2540283203125,else,,216.37065992733886,False,363.93907460074115,False,1.0,169,96,,
88,576.698974609375,494.7515869140625,576.698974609375,494.7515869140625,else,,217.49063134361964,False,367.4910397387094,False,1.0,169,96,,
89,575.6589965820312,499.5529174804688,575.6589965820312,499.5529174804688,else,,220.91057047892818,False,372.3493721434771,False,1.0,168,97,,
90,570.6790161132812,504.8811645507813,570.6790161132812,504.8811645507813,else,,230.25577647275003,False,378.0200157256733,False,1.0,167,98,,
91,567.6884155273438,508.6783142089844,567.6884155273438,508.6783142089844,else,,233.6083851573245,False,382.04714028523733,False,1.0,166,99,,
92,564.6237182617188,512.1882934570312,564.6237182617188,512.1882934570312,else,,237.16186236711397,False,385.8135898838352,False,1.0,165,100,,
93,563.4053955078125,518.07421875,563.4053955078125,518.07421875,else,,241.08532469478865,False,391.7870100084515,False,1.0,165,101,,
94,563.0346069335938,521.831298828125,563.0346069335938,521.831298828125,else,,241.7380266283993,False,395.5622987864261,False,1.0,165,102,,
95,562.7835693359375,526.2128295898438,562.7835693359375,526.2128295898438,else,,244.45862100296344,False,399.94814709074836,False,1.0,165,102,,
96,562.7835693359375,531.6321411132812,562.7835693359375,531.6321411132812,else,,245.91005658559908,False,405.3442586876799,False,1.0,165,103,,
97,562.7835693359375,536.7198486328125,562.7835693359375,536.7198486328125,else,,247.69072659239305,False,410.41074227875924,False,1.0,165,104,,
98,565.9552612304688,539.7239379882812,565.9552612304688,539.7239379882812,else,,241.1194576716327,False,413.12909041904044,False,1.0,165,105,,
99,566.0759887695312,544.4783325195312,566.0759887695312,544.4783325195312,else,,239.02631896880519,False,417.857679116005,False,1.0,166,106,,
100,566.5618286132812,550.664794921875,566.5618286132812,550.664794921875,else,,241.81368678694434,False,423.9854244806515,False,1.0,166,107,,
101,567.8285522460938,555.3336791992188,567.8285522460938,555.3336791992188,else,,240.86899183262216,False,428.54296800732027,False,1.0,166,108,,
102,568.4147338867188,560.6368408203125,568.4147338867188,560.6368408203125,else,,237.63719255222492,False,433.78827216791746,False,1.0,166,109,,
103,568.43994140625,566.3428955078125,568.43994140625,566.3428955078125,else,,241.55940591607884,False,439.47756636785675,False,1.0,166,110,,
104,569.7040405273438,570.679443359375,569.7040405273438,570.679443359375,else,,241.09251302188335,False,443.71492507389803,False,1.0,167,111,,
105,570.9649047851562,576.177001953125,570.9649047851562,576.177001953125,else,,239.5649656329665,False,449.1165348034143,False,1.0,167,112,,
106,573.3023681640625,581.8040161132812,573.3023681640625,581.8040161132812,else,,239.88188983544723,False,454.58865866428135,False,1.0,168,113,,
107,574.9038696289062,586.949951171875,574.9038696289062,586.949951171875,else,,241.42080573272196,False,459.63558765642745,False,1.0,168,114,,
108,575.6527099609375,591.4017333984375,575.6527099609375,591.4017333984375,else,,244.56428501707902,False,464.04090018975995,False,1.0,168,115,,
109,575.6527099609375,595.593017578125,575.6527099609375,595.593017578125,else,,245.5395749251873,False,468.22646296430423,False,1.0,168,116,,
110,575.6527099609375,596.6825561523438,575.6527099609375,596.6825561523438,else,,245.48970320308536,False,469.3145309637675,False,1.0,168,116,,
111,574.349853515625,596.7258911132812,574.349853515625,596.7258911132812,else,,244.52160264366643,False,469.42719458357914,False,1.0,168,116,,
112,569.3526000976562,596.787353515625,569.3526000976562,596.787353515625,else,,250.46231331998914,False,469.78808620159555,False,1.0,166,116,,
113,562.3594360351562,596.795654296875,562.3594360351562,596.795654296875,else,,260.5299035922087,False,470.30434565632777,False,1.0,164,116,,
114,557.1121215820312,597.8225708007812,557.1121215820312,597.8225708007812,else,,265.59485307237156,False,471.7760254072366,False,1.0,163,116,,
115,555.9818725585938,601.1439208984375,555.9818725585938,601.1439208984375,else,,261.1990046661295,False,475.1870846588686,False,1.0,163,117,,
116,555.9818725585938,602.3614501953125,555.9818725585938,602.3614501953125,else,,260.55478203038,False,476.39939229059456,False,1.0,163,117,,
117,555.9818725585938,607.9034423828125,555.9818725585938,607.9034423828125,else,,260.79817705968645,False,481.9179489854277,False,1.0,163,118,,
118,555.9818725585938,610.04541015625,555.9818725585938,610.04541015625,else,,260.4611794976668,False,484.05100247407313,False,1.0,163,119,,
119,554.9385986328125,611.269775390625,554.9385986328125,611.269775390625,else,,261.38280138374483,False,485.3660533033598,False,1.0,162,119,,
120,551.587158203125,611.8876953125,551.587158203125,611.8876953125,else,,268.5324775580975,False,486.30351111799723,False,1.0,161,119,,
121,551.587158203125,613.7669677734375,551.587158203125,613.7669677734375,else,,268.6062149177589,False,488.17348374389314,False,1.0,161,119,,
122,551.587158203125,615.7406616210938,551.587158203125,615.7406616210938,else,,268.79387604041807,False,490.13748708850204,False,1.0,161,120,,
123,553.6134033203125,616.5296020507812,553.6134033203125,616.5296020507812,else,,264.337604229356,False,490.7268980109188,False,1.0,162,120,,
124,554.0784301757812,617.9595336914062,554.0784301757812,617.9595336914062,else,,264.47207812853384,False,492.1068331472556,False,1.0,162,120,,
125,555.0398559570312,619.871337890625,555.0398559570312,619.871337890625,else,,263.00428545565404,False,493.9218840977568,False,1.0,162,121,,
126,556.8045654296875,619.871337890625,556.8045654296875,619.871337890625,else,,259.3126682813695,False,493.76437559430263,True,1.0,163,121,,
127,558.6908569335938,619.871337890625,558.6908569335938,619.871337890625,else,,256.65838990230526,False,493.60293591022554,True,1.0,163,121,,
128,562.39794921875,618.2538452148438,562.39794921875,618.2538452148438,else,,252.89386036836,False,491.6937532355843,True,1.0,164,120,,
129,564.33984375,618.2538452148438,564.33984375,618.2538452148438,else,,256.0344939661696,False,491.54906112382554,True,1.0,165,120,,
130,565.2841186523438,618.2538452148438,565.2841186523438,618.2538452148438,else,,255.6344132242495,False,491.4814596357471,True,1.0,165,120,,
131,565.8763427734375,618.4026489257812,565.8763427734375,618.4026489257812,else,,254.9342094374043,False,491.58842750408496,False,1.0,165,120,,
132,566.3373413085938,622.93017578125,566.3373413085938,622.93017578125,else,,255.8981965876688,False,496.0736371639125,False,1.0,166,121,,
133,568.0729370117188,626.2517700195312,568.0729370117188,626.2517700195312,else,,252.3638523802156,False,499.2736360741007,False,1.0,166,122,,
134,570.8607177734375,626.7171020507812,570.8607177734375,626.7171020507812,else,,246.70944791996578,False,499.5676587276328,False,1.0,167,122,,
135,572.93798828125,626.7171020507812,572.93798828125,626.7171020507812,else,,242.72957317485339,False,499.4507987341647,True,1.0,168,122,,
136,573.0311889648438,626.7171020507812,573.0311889648438,626.7171020507812,else,,243.39441613442887,False,499.44575746178816,True,1.0,168,122,,
137,573.9087524414062,626.7925415039062,573.9087524414062,626.7925415039062,else,,242.3208180426854,False,499.4744764841241,False,1.0,168,122,,
138,577.794921875,627.2464599609375,577.794921875,627.2464599609375,else,,238.94308378387257,False,499.7400256914242,False,1.0,169,122,,
139,578.404541015625,627.6079711914062,578.404541015625,627.6079711914062,else,,240.50458423924923,False,500.0744831789949,False,1.0,169,122,,
140,578.8555908203125,630.409423828125,578.8555908203125,630.409423828125,else,,243.29092790044083,False,502.8541689106958,False,1.0,169,123,,
141,579.1324462890625,632.3887329101562,579.1324462890625,632.3887329101562,else,,244.03258349131863,False,504.82021421947024,False,1.0,169,123,,
142,579.1324462890625,633.4990844726562,579.1324462890625,633.4990844726562,else,,244.2948750345759,False,505.9296188212077,False,1.0,169,123,,
143,580.8306274414062,633.7684936523438,580.8306274414062,633.7684936523438,else,,240.7759186853005,False,506.13163704282607,False,1.0,170,123,,
144,581.8096313476562,633.7930908203125,581.8096313476562,633.7930908203125,else,,240.31952887413615,False,506.12008479537053,True,1.0,170,123,,
145,581.9305419921875,633.7930908203125,581.9305419921875,633.7930908203125,else,,240.57310316894728,False,506.11575359225975,True,1.0,170,123,,
146,582.16748046875,633.7930908203125,582.16748046875,633.7930908203125,else,,242.31143260568803,False,506.1073497533871,True,1.0,170,123,,
147,584.7383422851562,634.31201171875,584.7383422851562,634.31201171875,else,,240.30727296073644,False,506.5419739832946,False,1.0,171,124,,
148,585.1193237304688,634.1868896484375,585.1193237304688,634.1868896484375,else,,240.49884605239498,False,506.4055704454662,True,1.0,171,123,,
149,586.490478515625,634.1868896484375,586.490478515625,634.1868896484375,else,,239.58506146688455,False,506.3671340269787,True,1.0,171,123,,
150,586.7900390625,634.31201171875,586.7900390625,634.31201171875,else,,239.89678120930478,False,506.48431000245006,False,1.0,172,124,,
151,587.1279296875,635.4212646484375,587.1279296875,635.4212646484375,else,,240.2740640757317,False,507.58450529103976,False,1.0,172,124,,
152,587.3924560546875,635.4212646484375,587.3924560546875,635.4212646484375,else,,240.15083057815536,False,507.57786592970405,True,1.0,172,124,,
153,587.5525512695312,635.4212646484375,587.5525512695312,635.4212646484375,else,,240.08555320298794,False,507.5739146147261,True,1.0,172,124,,
154,587.8699951171875,635.4036865234375,587.8699951171875,635.4036865234375,else,,239.70656893202255,False,507.5486559099845,True,1.0,172,124,,
155,588.568115234375,633.675048828125,588.568115234375,633.675048828125,else,,238.5543203138272,False,505.8042536363461,True,1.0,172,123,,
156,590.0213012695312,632.20263671875,590.0213012695312,632.20263671875,else,,235.64886663382532,False,504.3013715056635,True,1.0,173,123,,
157,590.7591552734375,632.20263671875,590.7591552734375,632.20263671875,else,,234.53834949420678,False,504.2873110493662,True,1.0,173,123,,
158,590.8896484375,632.20263671875,590.8896484375,632.20263671875,else,,236.0401924080266,False,504.28493669723287,True,1.0,173,123,,
159,590.966552734375,634.1207885742188,590.966552734375,634.1207885742188,else,,237.18134280529415,False,506.20139845370824,False,1.0,173,123,,
160,591.811279296875,635.92822265625,591.811279296875,635.92822265625,else,,237.82755846852865,False,507.9942268544898,False,1.0,173,124,,
161,591.811279296875,636.0654296875,591.811279296875,636.0654296875,else,,239.12240552286065,False,508.1314160631064,False,1.0,173,124,,
162,592.0066528320312,636.0654296875,592.0066528320312,636.0654296875,else,,238.79828153807856,False,508.1283050987139,True,1.0,173,124,,
163,591.811279296875,636.0654296875,591.811279296875,636.0654296875,else,,239.23600107106745,False,508.1314160631064,False,1.0,173,124,,
164,591.1864013671875,634.321044921875,591.1864013671875,634.321044921875,else,,240.10941873590292,False,506.39774886114935,True,1.0,173,124,,
165,591.1255493164062,633.931640625,591.1255493164062,633.931640625,else,,239.76153429553247,False,506.00946716483446,True,1.0,173,123,,
166,591.1365966796875,633.91162109375,591.1365966796875,633.91162109375,else,,239.7886505773017,False,505.9892570758045,True,1.0,173,123,,
167,591.0667724609375,633.653564453125,591.0667724609375,633.653564453125,else,,239.59122352763802,False,505.7324686021408,True,1.0,173,123,,
168,590.843017578125,632.8697509765625,590.843017578125,632.8697509765625,else,,239.34552201772556,False,504.9527856920989,True,1.0,173,123,,
169,590.843017578125,632.1990966796875,590.843017578125,632.1990966796875,else,,239.5112345739828,False,504.28224182464265,True,1.0,173,123,,
170,591.1365966796875,632.1990966796875,591.1365966796875,632.1990966796875,else,,239.6528231798419,False,504.2769963135651,True,1.0,173,123,,
171,591.8311767578125,632.8697509765625,591.8311767578125,632.8697509765625,else,,241.56734356840087,False,504.93583268005284,False,1.0,173,123,,
172,591.8311767578125,633.0658569335938,591.8311767578125,633.0658569335938,else,,242.33972825483215,False,505.1319129823689,False,1.0,173,123,,
173,591.8311767578125,634.84326171875,591.8311767578125,634.84326171875,else,,241.85808333246644,False,506.90908615141575,False,1.0,173,124,,
174,591.0270385742188,635.1596069335938,591.0270385742188,635.1596069335938,else,,243.84774921472507,False,507.2389781373134,False,1.0,173,124,,
175,591.0270385742188,635.1596069335938,591.0270385742188,635.1596069335938,else,,243.84774921472507,False,507.2389781373134,False,1.0,173,124,,
176,591.0270385742188,635.1596069335938,591.0270385742188,635.1596069335938,else,,243.84774921472507,False,507.2389781373134,False,1.0,173,124,,
177,591.6012573242188,634.04541015625,591.6012573242188,634.04541015625,else,,243.3432778236529,False,506.115101551753,True,1.0,173,123,,
178,592.5264892578125,632.1044921875,592.5264892578125,632.1044921875,else,,241.0559883652857,False,504.15988774041796,True,1.0,173,123,,
179,593.5150756835938,630.3881225585938,593.5150756835938,630.3881225585938,else,,238.41736106162523,False,502.42997515209834,True,1.0,174,123,,
180,594.2957763671875,627.52587890625,594.2957763671875,627.52587890625,else,,236.59237657853998,False,499.5584468951703,True,1.0,174,122,,
181,595.1895751953125,623.9191284179688,595.1895751953125,623.9191284179688,else,,234.4129144711742,False,495.94245847440743,True,1.0,174,121,,
182,600.3004150390625,616.7459716796875,600.3004150390625,616.7459716796875,else,,225.90700954693529,False,488.74606400698264,True,1.0,176,120,,
183,600.42529296875,616.6493530273438,600.42529296875,616.6493530273438,else,,225.69962880546507,False,488.6495381028727,True,1.0,176,120,,
184,600.691650390625,616.6493530273438,600.691650390625,616.6493530273438,else,,225.86424183392845,False,488.6498425194717,False,1.0,176,120,,
185,600.7018432617188,616.7459716796875,600.7018432617188,616.7459716796875,else,,226.4388264263417,False,488.74647560579496,False,1.0,176,120,,
186,601.6715087890625,616.1809692382812,601.6715087890625,616.1809692382812,else,,224.50573145974226,False,488.18383081382325,True,1.0,176,120,,
187,601.8734130859375,616.9511108398438,601.8734130859375,616.9511108398438,else,,223.36420810323804,False,488.95469981186164,False,1.0,176,120,,
188,601.96826171875,617.1796875,601.96826171875,617.1796875,else,,223.40191878183415,False,489.183647229536,False,1.0,176,120,,
189,602.1448974609375,616.9511108398438,602.1448974609375,616.9511108398438,else,,221.73290873858215,False,488.955815362324,True,1.0,176,120,,
190,603.1541748046875,616.8143310546875,603.1541748046875,616.8143310546875,else,,219.2989148591971,False,488.8245074289342,True,1.0,176,120,,
191,603.1541748046875,616.8143310546875,603.1541748046875,616.8143310546875,else,,218.5077405089841,False,488.8245074289342,False,1.0,176,120,,
192,603.2395629882812,616.6719970703125,603.2395629882812,616.6719970703125,else,,218.10598326316145,False,488.68273500200775,True,1.0,176,120,,
193,603.2395629882812,616.3583984375,603.2395629882812,616.3583984375,else,,217.6618745625449,False,488.3691432643908,True,1.0,176,120,,
194,603.7659301757812,615.9405517578125,603.7659301757812,615.9405517578125,else,,216.49383102046443,False,487.95508428523146,True,1.0,177,120,,
195,604.5692749023438,615.6312255859375,604.5692749023438,615.6312255859375,else,,215.11455558648942,False,487.65263296692723,True,1.0,177,120,,
196,604.5692749023438,613.0113525390625,604.5692749023438,613.0113525390625,else,,214.14826940772892,False,485.03287555062076,True,1.0,177,119,,
