p_val,avg_log2FC,pct.OE,pct.Scr,p_val_adj,gene
5.40E-03,-0.2013057956,0.31,0.493,1.00E+00,Slc7a6
5.40E-03,-0.1531901907,0.216,0.367,1.00E+00,Ric3
5.41E-03,-0.3060432654,0.099,0.188,1.00E+00,Pgk1
5.42E-03,-0.2524881839,0.174,0.295,1.00E+00,Gls2
5.43E-03,-0.3495817928,0.076,0.155,1.00E+00,Acbd4
5.44E-03,-0.648289861,0.039,0.097,1.00E+00,Mir22hg
5.46E-03,-0.3661193689,0.128,0.232,1.00E+00,Lancl3
5.47E-03,-0.2224257047,0.53,0.758,1.00E+00,Atxn2
5.47E-03,-0.2938345853,0.156,0.271,1.00E+00,Ccdc66
5.48E-03,-0.1844779398,0.335,0.536,1.00E+00,Usp15
5.50E-03,-0.2070615534,0.243,0.396,1.00E+00,Zc2hc1a
5.51E-03,-0.2733662174,0.174,0.3,1.00E+00,A730060N03Rik
5.51E-03,-0.1671733536,0.197,0.338,1.00E+00,Ap2a2
5.51E-03,-0.2732778036,0.076,0.155,1.00E+00,Atp5h
5.52E-03,-0.2389375918,0.576,0.802,1.00E+00,Fchsd2
5.52E-03,-0.2817361778,0.06,0.13,1.00E+00,Sec23b
5.53E-03,-0.3614556866,0.106,0.198,1.00E+00,Polr3gl
5.53E-03,-0.3647579162,0.186,0.304,1.00E+00,Tmem38a
5.53E-03,-0.150969145,0.142,0.251,1.00E+00,Adat1
5.54E-03,-0.4957308007,0.039,0.097,1.00E+00,Mtmr10
5.54E-03,-0.5888482505,0.039,0.097,1.00E+00,Pold3
5.54E-03,-0.1671442095,0.06,0.13,1.00E+00,Taf5l
5.54E-03,-0.6103508967,0.028,0.077,1.00E+00,Dnah5
5.55E-03,-0.2274459205,0.25,0.415,1.00E+00,Kif3c
5.56E-03,-0.3103715486,0.135,0.242,1.00E+00,Mvb12a
5.57E-03,-0.2713157369,0.14,0.246,1.00E+00,Lrrn3
5.57E-03,-0.3064310789,0.124,0.227,1.00E+00,Mib2
5.58E-03,-0.3252351814,0.096,0.188,1.00E+00,Slc25a33
5.59E-03,-0.3550959988,0.147,0.256,1.00E+00,Prss23
5.59E-03,-0.3212583671,0.19,0.319,1.00E+00,Ctcf
5.60E-03,-0.3080704414,0.069,0.145,1.00E+00,Gm10862
5.61E-03,-0.1978766726,0.11,0.208,1.00E+00,Atl2
5.61E-03,-0.1462802451,0.261,0.43,1.00E+00,Slc30a9
5.62E-03,-0.2467895109,0.094,0.184,1.00E+00,Zfp800
5.62E-03,-0.239347456,0.592,0.783,1.00E+00,Ppargc1a
5.62E-03,-0.2480958818,0.069,0.145,1.00E+00,Rab5if
5.65E-03,-0.7216701898,0.046,0.106,1.00E+00,Ss18l2
5.67E-03,-1.403768576,0.023,0.068,1.00E+00,Fam32a
5.67E-03,-0.1337670125,0.264,0.44,1.00E+00,Usp40
5.67E-03,-0.1950536644,0.36,0.57,1.00E+00,Tcea1
5.68E-03,-0.3299801117,0.154,0.271,1.00E+00,Trmt2b
5.68E-03,-0.2458289315,0.076,0.155,1.00E+00,Lpin1
5.69E-03,-0.4623402448,0.039,0.097,1.00E+00,Psmg2
5.70E-03,-0.283950625,0.103,0.198,1.00E+00,Mmaa
5.71E-03,-0.127609644,0.243,0.406,1.00E+00,Gm15614
5.75E-03,-0.1969691224,0.544,0.758,1.00E+00,Tmem44
5.75E-03,-0.3435697986,0.05,0.116,1.00E+00,Aamp
5.77E-03,-0.3226955797,0.135,0.242,1.00E+00,Trappc6b
5.78E-03,-0.1872948109,0.236,0.391,1.00E+00,Arhgef2
5.78E-03,-0.1909175886,0.468,0.715,1.00E+00,9930021J03Rik
5.78E-03,-0.2097605899,0.294,0.473,1.00E+00,Ccnt1
5.79E-03,-0.1635437708,0.05,0.116,1.00E+00,Xrcc1
5.79E-03,-0.71386187,0.025,0.072,1.00E+00,Swap70
5.80E-03,-0.1217773544,0.172,0.309,1.00E+00,Ssb
5.80E-03,-0.1026156828,0.22,0.367,1.00E+00,Spen
5.80E-03,-0.4965298476,0.048,0.111,1.00E+00,Elmod3
5.80E-03,-0.3855883526,0.106,0.198,1.00E+00,Rilpl1
5.81E-03,-0.4924799258,0.094,0.179,1.00E+00,Cox5b
5.82E-03,-0.3308841915,0.064,0.135,1.00E+00,Lgr5
5.82E-03,-0.2113188064,0.516,0.705,1.00E+00,Rasgrf1
5.83E-03,-0.3116237087,0.076,0.155,1.00E+00,Dynll1
5.84E-03,-0.1525284531,0.232,0.386,1.00E+00,Nfs1
5.85E-03,-0.1441565917,0.356,0.57,1.00E+00,Cnot10
5.87E-03,-0.1469565801,0.057,0.126,1.00E+00,P4hb
5.89E-03,-0.2732466152,0.067,0.14,1.00E+00,Gm14966
5.90E-03,-0.3058106058,0.092,0.179,1.00E+00,Snrpd1
5.90E-03,-0.1752980267,0.085,0.169,1.00E+00,Slc35c2
5.92E-03,-0.113091165,0.252,0.42,1.00E+00,Tmem59
5.95E-03,-0.2426312233,0.092,0.179,1.00E+00,Frmd6
5.95E-03,-0.3416246923,0.048,0.111,1.00E+00,Mplkip
5.96E-03,-0.2378316331,0.222,0.357,1.00E+00,Rragb
5.96E-03,-0.2341491414,0.085,0.169,1.00E+00,Arl1
5.97E-03,-0.4031294592,0.073,0.15,1.00E+00,Slc20a1
5.97E-03,-0.3357800934,0.069,0.145,1.00E+00,Mindy4
6.00E-03,-0.1006867002,0.25,0.425,1.00E+00,Ubp1
6.01E-03,-0.4983909534,0.067,0.14,1.00E+00,Pphln1
6.01E-03,-0.399654416,0.055,0.121,1.00E+00,Swi5
6.03E-03,-0.8089572231,0.025,0.072,1.00E+00,Gm10778
6.03E-03,-0.1412827534,0.374,0.58,1.00E+00,Pik3c2a
6.04E-03,-0.3046824,0.092,0.179,1.00E+00,Rbm4
6.04E-03,-0.4532225601,0.092,0.174,1.00E+00,Rpl24
6.05E-03,-0.4185821378,0.055,0.121,1.00E+00,Cers1
6.06E-03,-0.8184536749,0.025,0.072,1.00E+00,Mef2b
6.06E-03,-0.1844331189,0.211,0.353,1.00E+00,Apoo
6.07E-03,-0.3249513181,0.151,0.261,1.00E+00,Kif1bp
6.07E-03,-0.2165334731,0.124,0.227,1.00E+00,Rfng
6.08E-03,-0.4238426102,0.073,0.15,1.00E+00,Zfp516
6.09E-03,-0.1859276117,0.248,0.415,1.00E+00,Ppp4r1
6.09E-03,-0.2282493092,0.131,0.237,1.00E+00,Ngf
6.10E-03,-0.3237886383,0.073,0.15,1.00E+00,Arhgef25
6.11E-03,-0.5309450649,0.087,0.169,1.00E+00,1700080N15Rik
6.11E-03,-0.3474545288,0.08,0.159,1.00E+00,Abcd2
6.12E-03,-0.1664829651,0.195,0.324,1.00E+00,Gak
6.13E-03,-0.3054439142,0.083,0.164,1.00E+00,Fam210a
6.14E-03,-0.3207076391,0.073,0.15,1.00E+00,Tvp23b
6.14E-03,-0.2462469681,0.048,0.111,1.00E+00,Fzr1
6.16E-03,-0.4070283486,0.089,0.174,1.00E+00,Snapc1
6.20E-03,-0.2014186764,0.174,0.3,1.00E+00,Fbxo8
6.21E-03,-0.1662605908,0.372,0.589,1.00E+00,Acss2
6.21E-03,-0.1660700139,0.25,0.406,1.00E+00,Ubb
6.22E-03,-0.9731232663,0.023,0.068,1.00E+00,Samd14
6.22E-03,-1.233301268,0.023,0.068,1.00E+00,Ndufa1
6.23E-03,-0.1795756915,0.507,0.758,1.00E+00,Syp
6.24E-03,-0.3357358153,0.126,0.222,1.00E+00,Slc16a10
6.26E-03,-0.1499351799,0.47,0.705,1.00E+00,Polb
6.26E-03,-0.656381873,0.037,0.092,1.00E+00,Dlx2
6.26E-03,0.2941989296,0.977,0.986,1.00E+00,Pcdh9
6.26E-03,-0.240878635,0.092,0.179,1.00E+00,Zfp131
6.27E-03,-0.4653627687,0.046,0.106,1.00E+00,Zfp568
6.27E-03,-0.1759532857,0.181,0.309,1.00E+00,Zfp30
6.28E-03,-0.1911208034,0.099,0.188,1.00E+00,Tubgcp6
6.28E-03,-0.7270320796,0.037,0.092,1.00E+00,2810001G20Rik
6.29E-03,-0.2077533225,0.096,0.184,1.00E+00,Tex50
6.29E-03,-0.1543571625,0.271,0.44,1.00E+00,Cs
