p_val,avg_log2FC,pct.KD,pct.Scr,p_val_adj,gene
4.95E-61,-1.85995642,0.626,0.99,1.14E-56,Gm42418
5.70E-44,-2.001578235,0.283,0.831,1.31E-39,AY036118
4.38E-23,-0.6803129448,0.896,0.99,1.01E-18,Srrm2
9.64E-22,-7.158340865,0,0.188,2.21E-17,Gm17167
3.26E-18,-0.5135765876,0.943,1,7.49E-14,AC149090.1
9.08E-15,-0.8984563187,0.37,0.749,2.08E-10,Hnrnpa2b1
4.02E-14,-1.756004498,0.085,0.324,9.22E-10,Aldh1l2
1.10E-13,-0.6794085488,0.589,0.899,2.53E-09,Prpf4b
9.75E-13,-1.564345259,0.091,0.324,2.24E-08,Slc7a1
1.21E-12,-0.5791576816,0.909,0.99,2.77E-08,Pde10a
5.50E-12,-2.766466996,0.013,0.145,1.26E-07,Gm16172
7.39E-12,1.323984176,0.613,0.464,1.70E-07,Ddx5
5.76E-11,-1.097458608,0.12,0.353,1.32E-06,Stk40
6.93E-11,-1.795912685,0.046,0.213,1.59E-06,1700016P03Rik
1.50E-10,-6.104740552,0,0.087,3.45E-06,Gm26812
2.79E-10,0.4179367444,0.974,1,6.41E-06,Gria2
3.78E-10,-1.065680344,0.163,0.415,8.68E-06,F730043M19Rik
4.70E-10,-0.7749234184,0.448,0.768,1.08E-05,Fgf1
6.19E-10,-0.9000727478,0.233,0.517,1.42E-05,Yars
8.36E-10,-1.085201341,0.141,0.367,1.92E-05,Cars
1.14E-09,-0.639128501,0.565,0.855,2.62E-05,Man1c1
1.18E-09,-0.8692301305,0.157,0.401,2.70E-05,Grip1os2
1.61E-09,-1.901273906,0.026,0.155,3.69E-05,Asns
2.36E-09,-0.3755708623,0.917,0.981,5.41E-05,Rere
2.75E-09,-2.101510761,0.02,0.135,6.32E-05,8030451O07Rik
3.16E-09,-1.545920065,0.05,0.203,7.26E-05,Ccnd2
3.75E-09,-1.260431023,0.052,0.208,8.60E-05,Sft2d1
4.27E-09,-0.5727886539,0.657,0.879,9.81E-05,9630014M24Rik
4.60E-09,-0.773002002,0.365,0.662,1.06E-04,Fnip2
4.63E-09,-0.6584673416,0.609,0.836,1.06E-04,Gm1604a
4.64E-09,-1.525143631,0.043,0.188,1.07E-04,Phf10
5.00E-09,-1.688880084,0.041,0.184,1.15E-04,Tgfb3
5.42E-09,0.8400514836,0.72,0.667,1.24E-04,Ogt
5.47E-09,-1.0072394,0.109,0.309,1.26E-04,4930532I03Rik
5.90E-09,-1.011824243,0.143,0.372,1.35E-04,Map1a
8.52E-09,-0.7216349754,0.237,0.507,1.96E-04,Cacng8
9.58E-09,-0.9852053927,0.111,0.314,2.20E-04,Eif3c
9.60E-09,-1.052812773,0.148,0.357,2.20E-04,Lama3
1.18E-08,-1.121375515,0.124,0.324,2.70E-04,Slc1a4
1.27E-08,-0.8100877798,0.157,0.396,2.93E-04,Iws1
1.48E-08,-0.9717082075,0.128,0.333,3.40E-04,Glt1d1
1.53E-08,-0.8461316894,0.365,0.614,3.52E-04,Scg2
1.89E-08,-2.316982985,0.02,0.126,4.34E-04,Itga10
2.13E-08,-0.770806068,0.193,0.444,4.89E-04,Cep70
2.24E-08,-0.6651786373,0.348,0.647,5.13E-04,Sars
3.09E-08,-0.7376261445,0.202,0.454,7.10E-04,Mtss2
3.63E-08,-1.215700087,0.093,0.266,8.34E-04,Gm36988
4.14E-08,-0.8946949117,0.185,0.42,9.50E-04,1700111E14Rik
4.27E-08,-0.6771870535,0.126,0.338,9.80E-04,Ate1
4.30E-08,-0.8157320829,0.141,0.353,9.88E-04,Ppp2ca
5.09E-08,-0.9764414215,0.109,0.295,1.17E-03,Pdzd8
5.75E-08,-0.401366144,0.82,0.976,1.32E-03,Kcnc1
7.47E-08,0.8429481595,0.676,0.604,1.72E-03,Bend6
7.51E-08,1.364408198,0.478,0.324,1.72E-03,Cdh9
7.59E-08,-0.3639952254,0.876,0.99,1.74E-03,Mycbp2
8.52E-08,-0.7295850482,0.563,0.72,1.96E-03,Ndst3
8.99E-08,-0.7647884871,0.22,0.464,2.06E-03,Slc25a42
9.59E-08,-0.7821931753,0.237,0.483,2.20E-03,Acsl3
1.10E-07,-0.8740028307,0.146,0.338,2.51E-03,Tmem189
1.16E-07,-0.87078925,0.172,0.386,2.66E-03,Ddx1
1.27E-07,-0.6366951609,0.215,0.459,2.92E-03,Sec14l1
1.30E-07,-1.510767321,0.057,0.193,2.98E-03,Vars
1.32E-07,-0.8350886737,0.172,0.391,3.02E-03,Kif21b
1.72E-07,0.4075765243,0.974,0.981,3.94E-03,Grik2
1.83E-07,-1.101865765,0.085,0.246,4.21E-03,Flii
2.09E-07,-0.9312458148,0.061,0.203,4.80E-03,Thoc5
2.15E-07,-1.406120598,0.065,0.203,4.93E-03,Trim66
2.21E-07,-0.7721100142,0.22,0.449,5.07E-03,Nars
2.26E-07,-0.9506381542,0.157,0.357,5.20E-03,Farsb
2.39E-07,-0.5744889123,0.322,0.609,5.49E-03,Paxbp1
2.69E-07,-1.591190167,0.054,0.184,6.17E-03,Tram1l1
3.06E-07,-0.5209961268,0.304,0.585,7.03E-03,Tet3
3.19E-07,-1.513216447,0.039,0.155,7.32E-03,Gm15910
3.30E-07,-0.6711798854,0.191,0.415,7.58E-03,Mink1
3.77E-07,-0.6218609654,0.25,0.512,8.65E-03,Lrrc24
3.83E-07,-0.5603774502,0.209,0.444,8.80E-03,Fnbp4
4.25E-07,-1.335415541,0.052,0.179,9.75E-03,Mthfsl
4.30E-07,-0.5990307803,0.415,0.691,9.87E-03,Tafa5
4.39E-07,-1.581696945,0.035,0.145,1.01E-02,Katna1
4.49E-07,-0.5697832218,0.546,0.787,1.03E-02,Cacng2
4.88E-07,-0.4822099887,0.45,0.729,1.12E-02,Glg1
5.33E-07,-0.8108390751,0.163,0.357,1.22E-02,Arhgap31
5.61E-07,-0.5423431639,0.474,0.783,1.29E-02,Clec16a
5.69E-07,-0.9484119913,0.126,0.304,1.31E-02,Eif4g2
5.72E-07,-0.936314413,0.139,0.324,1.31E-02,Dmtf1
6.14E-07,-0.7497760042,0.207,0.42,1.41E-02,Bcat1
6.34E-07,-1.240968201,0.043,0.159,1.46E-02,Trim39
7.13E-07,-1.327721218,0.061,0.193,1.64E-02,Actr8
7.71E-07,-0.2500995525,0.996,1,1.77E-02,Ank2
7.72E-07,-0.6360824906,0.22,0.444,1.77E-02,Asah1
7.89E-07,-0.7546320758,0.22,0.444,1.81E-02,Usp36
8.26E-07,-1.392321841,0.054,0.179,1.90E-02,Slc6a9
1.01E-06,-1.660398809,0.046,0.159,2.32E-02,Gm13483
1.05E-06,-0.5691685175,0.328,0.58,2.40E-02,Vps13c
1.10E-06,-0.4872855314,0.389,0.667,2.52E-02,Pxk
1.11E-06,-0.5499265422,0.209,0.444,2.56E-02,Jakmip3
1.14E-06,-1.947660789,0.02,0.106,2.62E-02,Gm46124
1.21E-06,-3.239344646,0.007,0.072,2.79E-02,Slc7a3
1.21E-06,-1.774899493,0.024,0.116,2.79E-02,Hyou1
1.27E-06,-0.3240584025,0.941,0.986,2.91E-02,Atp1b1
1.28E-06,-0.5210281068,0.463,0.749,2.94E-02,Cmip
1.28E-06,-0.3989285082,0.743,0.923,2.94E-02,Ctnna3
1.30E-06,-1.849267105,0.02,0.106,2.99E-02,Srxn1
1.45E-06,-0.8336836779,0.111,0.275,3.33E-02,Samm50
1.45E-06,-0.5079694768,0.198,0.425,3.34E-02,Sncb
1.56E-06,-0.954923607,0.1,0.256,3.58E-02,Nfic
1.56E-06,-0.7894928939,0.222,0.435,3.59E-02,Hspa12a
1.61E-06,-0.2614219597,0.97,1,3.70E-02,Cacna1a
1.66E-06,-0.6358516335,0.4,0.671,3.80E-02,Slc38a1
1.67E-06,-0.6187537033,0.222,0.444,3.83E-02,Mtor
1.67E-06,-1.073371026,0.096,0.242,3.83E-02,Hs6st2
1.67E-06,-1.393629554,0.041,0.15,3.84E-02,Tfeb
1.74E-06,-0.7008767167,0.115,0.285,4.01E-02,Pick1
1.78E-06,-0.4487978177,0.58,0.821,4.10E-02,Cux2
1.79E-06,-0.4837364297,0.478,0.744,4.12E-02,Kif2a
1.84E-06,-0.4542321214,0.557,0.845,4.22E-02,Spire1
1.86E-06,-0.5382672851,0.302,0.551,4.26E-02,Rab28
1.95E-06,-2.565479261,0.009,0.077,4.48E-02,Pcdhb14
2.02E-06,-0.9403319784,0.08,0.222,4.63E-02,Ttc1
2.05E-06,-0.3305622878,0.885,0.981,4.70E-02,App
2.26E-06,-0.4884450054,0.289,0.556,5.18E-02,Gtf2ird1
2.34E-06,-0.607138689,0.311,0.56,5.38E-02,Cryzl1
2.46E-06,-0.6618171437,0.141,0.319,5.65E-02,Ctcf
2.50E-06,-1.739482394,0.03,0.126,5.74E-02,Tmc4
2.67E-06,-1.432653299,0.033,0.13,6.14E-02,Gm16105
2.70E-06,-0.3575566019,0.32,0.58,6.20E-02,Hspa8
2.80E-06,-0.4869972645,0.241,0.473,6.42E-02,Plec
3.07E-06,-0.9997340024,0.122,0.275,7.06E-02,Mybpc1
3.07E-06,-1.983421148,0.02,0.101,7.06E-02,Dnah7b
3.18E-06,-0.5713107594,0.376,0.643,7.31E-02,Acin1
3.56E-06,-0.5043938098,0.207,0.42,8.18E-02,Ppme1
3.77E-06,-1.811761309,0.02,0.101,8.66E-02,Mtx3
3.78E-06,-0.4976181603,0.417,0.676,8.68E-02,Rps6ka2
3.89E-06,-0.5018800097,0.615,0.821,8.93E-02,Rcan2
4.02E-06,-0.6681527771,0.117,0.28,9.24E-02,Carm1
4.10E-06,-0.7913506323,0.109,0.266,9.41E-02,E530011L22Rik
4.24E-06,-0.4827390437,0.267,0.498,9.75E-02,Hsp90b1
4.36E-06,-0.6063671495,0.222,0.435,1.00E-01,Fxr2
4.43E-06,-0.7168762449,0.18,0.367,1.02E-01,Gm15478
4.56E-06,-0.4071576216,0.707,0.894,1.05E-01,Mkx
4.68E-06,-1.067161603,0.074,0.203,1.07E-01,Pcnt
4.72E-06,-0.5972594913,0.296,0.527,1.08E-01,Disp2
4.75E-06,-0.518157003,0.387,0.623,1.09E-01,Sez6l2
4.79E-06,-1.205639875,0.072,0.198,1.10E-01,Gm47027
4.79E-06,-0.477273975,0.298,0.541,1.10E-01,Ptpn11
4.82E-06,-0.9995784475,0.048,0.159,1.11E-01,Aldh18a1
4.97E-06,-0.5948741435,0.309,0.541,1.14E-01,Cnnm2
5.13E-06,-0.8449652549,0.067,0.193,1.18E-01,Grip1os1
5.23E-06,-0.7708179907,0.193,0.377,1.20E-01,Fgf9
5.32E-06,-0.9607182001,0.078,0.208,1.22E-01,Bach1
5.35E-06,-0.8251294637,0.107,0.256,1.23E-01,Spred3
5.48E-06,-0.7925224523,0.157,0.329,1.26E-01,6330576A10Rik
5.50E-06,-1.251850482,0.039,0.14,1.26E-01,Otud3
5.53E-06,-0.6873547924,0.157,0.338,1.27E-01,Nipsnap1
5.59E-06,-0.4900594722,0.291,0.536,1.28E-01,Ctsb
5.76E-06,-1.461449041,0.046,0.15,1.32E-01,Zfhx2os
5.82E-06,-0.9299079041,0.122,0.275,1.34E-01,Klhl15
6.27E-06,-0.7266127566,0.209,0.401,1.44E-01,Mapk9
6.50E-06,-0.4500069381,0.611,0.812,1.49E-01,Efna5
6.57E-06,-0.7483232204,0.159,0.333,1.51E-01,Tmem184b
6.67E-06,-0.3050155664,0.959,0.99,1.53E-01,Enox1
6.79E-06,-0.7599125857,0.133,0.295,1.56E-01,Gls2
7.08E-06,-0.4547638237,0.359,0.604,1.63E-01,Stambpl1
7.08E-06,-0.7211283101,0.124,0.29,1.63E-01,Smad4
7.10E-06,-0.614241749,0.117,0.28,1.63E-01,Gm46367
7.10E-06,1.032806615,0.363,0.198,1.63E-01,Lingo2
7.11E-06,0.2840123882,0.976,0.981,1.63E-01,Kcnh7
7.24E-06,-0.7174615527,0.18,0.367,1.66E-01,Cbarp
7.27E-06,-0.6594780897,0.157,0.329,1.67E-01,Airn
7.32E-06,-0.4906386738,0.376,0.638,1.68E-01,Madd
7.36E-06,0.759447915,0.717,0.72,1.69E-01,Rsrp1
7.73E-06,0.4742785005,0.796,0.705,1.78E-01,Unc5d
7.77E-06,-0.82807999,0.074,0.203,1.78E-01,Dimt1
7.82E-06,-0.5606685645,0.172,0.362,1.79E-01,Kcnk12
7.86E-06,-0.7229411143,0.126,0.29,1.80E-01,Cops2
7.98E-06,-0.6173680551,0.27,0.488,1.83E-01,Gm6994
8.35E-06,-0.5128953504,0.278,0.507,1.92E-01,Hsp90ab1
8.53E-06,-0.5544642778,0.248,0.464,1.96E-01,Acvr1
8.72E-06,-1.512363628,0.024,0.106,2.00E-01,Sh2b3
8.83E-06,-2.324366591,0.004,0.058,2.03E-01,E130309D02Rik
9.09E-06,-0.4726574368,0.554,0.797,2.09E-01,Map4
9.14E-06,-1.820406695,0.02,0.097,2.10E-01,a
9.56E-06,-0.2849696588,0.865,0.957,2.19E-01,Prkce
1.01E-05,-0.496105771,0.198,0.401,2.33E-01,Gpbp1
1.02E-05,-0.6568128295,0.222,0.425,2.34E-01,Cmss1
1.02E-05,-0.6910469536,0.2,0.382,2.34E-01,Tmem132cos
1.05E-05,-0.4904788015,0.291,0.536,2.41E-01,Rai1
1.05E-05,-0.9543372011,0.074,0.198,2.42E-01,Gm15336
1.08E-05,-0.7102126051,0.104,0.251,2.48E-01,Ankle2
1.13E-05,-0.7004784074,0.109,0.256,2.59E-01,Wscd2
1.14E-05,-0.7498723482,0.167,0.343,2.62E-01,Snx9
1.14E-05,-0.470991206,0.446,0.72,2.62E-01,Mark3
1.16E-05,-0.6188153683,0.161,0.343,2.67E-01,Brd7
1.17E-05,-0.5213936272,0.157,0.338,2.69E-01,Dido1
1.18E-05,-0.3851023373,0.504,0.763,2.72E-01,Mprip
1.18E-05,-0.5665392778,0.165,0.348,2.72E-01,Ubr4
1.22E-05,-3.091229777,0.007,0.063,2.79E-01,Slc7a11
1.25E-05,-1.060781255,0.059,0.169,2.87E-01,Tmem198
1.25E-05,-0.7846892648,0.074,0.198,2.87E-01,Actn1
1.25E-05,-0.9128520926,0.098,0.237,2.87E-01,Tango6
1.28E-05,-0.4013952235,0.35,0.609,2.94E-01,Mgrn1
1.28E-05,-0.4947944448,0.302,0.536,2.94E-01,Ppargc1b
1.31E-05,-1.143223266,0.065,0.179,3.02E-01,Gfra1
1.33E-05,-1.213166199,0.05,0.155,3.05E-01,Clic4
1.35E-05,-0.7182185538,0.228,0.415,3.10E-01,Rab27a
1.39E-05,-0.5490675658,0.2,0.396,3.20E-01,Orc2
1.41E-05,-1.482546509,0.043,0.14,3.23E-01,C230037L18Rik
1.41E-05,-0.910434791,0.08,0.208,3.24E-01,Ncl
1.48E-05,-0.6634866349,0.163,0.333,3.39E-01,Nck1
1.48E-05,-0.6762346293,0.087,0.222,3.39E-01,Angptl2
1.48E-05,-0.4280942698,0.187,0.386,3.40E-01,Scrn1
1.49E-05,-0.5752284165,0.178,0.357,3.43E-01,Pcf11
1.56E-05,-0.4556235541,0.259,0.473,3.57E-01,Ext2
1.57E-05,-0.5707341058,0.354,0.589,3.60E-01,Acss2
1.57E-05,-0.7947114584,0.163,0.329,3.61E-01,Flrt1
1.58E-05,-1.095204037,0.05,0.155,3.63E-01,Osgepl1
1.59E-05,-0.83503529,0.072,0.188,3.65E-01,Bcl2l11
1.61E-05,-0.291136981,0.974,1,3.69E-01,Oxr1
1.61E-05,-0.5217800475,0.411,0.638,3.70E-01,Shc3
1.65E-05,-0.5219949304,0.241,0.444,3.79E-01,Prrc2b
1.67E-05,-0.3993322117,0.513,0.778,3.84E-01,Ptpre
1.70E-05,-0.4561946037,0.32,0.57,3.90E-01,Cnot10
1.70E-05,-0.4404562658,0.461,0.7,3.90E-01,Pnkd
1.74E-05,-0.4549212078,0.357,0.614,4.00E-01,Ubr2
1.75E-05,-0.3964026353,0.254,0.478,4.01E-01,Hk1
1.77E-05,-0.4994670756,0.222,0.42,4.05E-01,Inpp5f
1.77E-05,-0.4543878665,0.398,0.643,4.06E-01,Rims4
1.78E-05,-2.434377393,0.011,0.072,4.09E-01,Neb
1.80E-05,-0.5477980077,0.124,0.28,4.12E-01,Xpot
1.86E-05,-0.6537947135,0.139,0.3,4.28E-01,Tbc1d31
1.87E-05,-0.3913978868,0.533,0.763,4.29E-01,Nfasc
1.87E-05,-0.4735932743,0.374,0.618,4.30E-01,Sergef
1.89E-05,-0.7822779042,0.1,0.237,4.33E-01,Slc27a1
1.89E-05,-0.5423304288,0.178,0.362,4.35E-01,Dpysl5
1.92E-05,-0.3769404908,0.598,0.831,4.40E-01,Man1a2
1.95E-05,-1.716191139,0.024,0.101,4.49E-01,Sde2
2.00E-05,-0.5632374075,0.23,0.435,4.59E-01,Pld3
2.03E-05,-1.141238515,0.083,0.203,4.66E-01,Tanc1
2.05E-05,-0.4225165196,0.504,0.778,4.71E-01,Slc32a1
2.09E-05,0.2945411927,0.976,1,4.79E-01,Rims1
2.09E-05,-0.5197012996,0.278,0.483,4.81E-01,Gars
2.11E-05,-0.5553152975,0.2,0.386,4.83E-01,Tut7
2.15E-05,-0.6601592778,0.193,0.377,4.93E-01,Syt13
2.18E-05,-0.7023480105,0.13,0.28,5.02E-01,Fbxl12
2.23E-05,-0.6623632563,0.189,0.367,5.12E-01,Spen
2.26E-05,-1.730401695,0.017,0.087,5.19E-01,Arhgap27
2.26E-05,-4.932406982,0,0.039,5.19E-01,Zfp59
2.38E-05,-0.6373713245,0.174,0.348,5.47E-01,Ina
2.40E-05,-0.4786040804,0.224,0.43,5.52E-01,Ppp1cc
2.42E-05,-0.5376168466,0.361,0.599,5.56E-01,Drg1
2.44E-05,-0.5193245815,0.087,0.217,5.60E-01,Cycs
2.45E-05,-0.6794312894,0.235,0.411,5.63E-01,Caln1
2.46E-05,-0.8623281858,0.059,0.169,5.64E-01,Ssrp1
2.46E-05,-1.030990113,0.041,0.135,5.65E-01,Lgr5
2.48E-05,-0.2839586111,0.922,0.981,5.69E-01,Plxna4
2.51E-05,-0.5554446907,0.226,0.425,5.76E-01,Entr1
2.56E-05,-0.5703879134,0.102,0.242,5.88E-01,Eif2ak1
2.57E-05,-0.5093117015,0.226,0.43,5.91E-01,Etv5
2.62E-05,-0.420079137,0.622,0.87,6.02E-01,Ankrd11
2.63E-05,-0.6008770696,0.063,0.174,6.03E-01,Wars
2.70E-05,-0.458426896,0.363,0.604,6.19E-01,Ankrd55
2.74E-05,-0.735460236,0.139,0.295,6.30E-01,Ccdc93
2.75E-05,-2.583811315,0.004,0.053,6.33E-01,A930006L05Rik
2.88E-05,-0.4289070427,0.274,0.498,6.60E-01,AU040320
2.94E-05,-0.7112127061,0.111,0.251,6.74E-01,Trmt6
3.00E-05,-0.4188304372,0.448,0.705,6.89E-01,Rock1
3.04E-05,-0.679391051,0.117,0.261,6.98E-01,Ccdc186
3.05E-05,-0.5548059756,0.2,0.391,7.01E-01,Ccdc47
3.05E-05,-0.9106770375,0.072,0.188,7.01E-01,Map3k9
3.06E-05,-0.159176094,1,1,7.01E-01,Dlgap1
3.13E-05,-1.165417588,0.037,0.126,7.18E-01,Iqcc
3.22E-05,-0.5597495555,0.246,0.44,7.40E-01,Mbnl1
3.24E-05,-0.3089457573,0.783,0.932,7.43E-01,Lncpint
3.26E-05,-1.240500057,0.046,0.14,7.48E-01,Asic1
3.26E-05,-0.4827366569,0.054,0.159,7.49E-01,Map11
3.30E-05,-0.3624855686,0.276,0.517,7.58E-01,Shfl
3.36E-05,-0.4523593448,0.37,0.647,7.72E-01,Slc3a2
3.41E-05,-0.8058433489,0.072,0.188,7.82E-01,Minar1
3.48E-05,-0.392859565,0.237,0.454,7.98E-01,Bcr
3.50E-05,-0.3392703911,0.189,0.382,8.04E-01,Abcb7
3.52E-05,-0.5562761579,0.152,0.314,8.08E-01,Scaf11
3.57E-05,-0.4289925255,0.228,0.444,8.21E-01,Brd1
3.59E-05,-0.9087610113,0.05,0.15,8.24E-01,Gm42372
3.66E-05,-0.5732996841,0.143,0.3,8.40E-01,March8
3.68E-05,-0.6860433554,0.1,0.232,8.46E-01,Ncbp1
3.70E-05,-0.74520766,0.091,0.217,8.49E-01,Atg2b
3.72E-05,-0.5064076174,0.126,0.28,8.54E-01,Ankmy2
3.88E-05,-0.5410466181,0.152,0.319,8.91E-01,Bace1
4.00E-05,-0.6788520766,0.163,0.329,9.19E-01,Snx2
4.01E-05,-0.3811011014,0.378,0.638,9.20E-01,Mast1
4.06E-05,-0.6203899788,0.133,0.285,9.32E-01,Amfr
4.09E-05,0.7550837873,0.615,0.575,9.40E-01,Gm47283
4.18E-05,-0.6002684408,0.12,0.266,9.60E-01,Psmc6
4.20E-05,-0.5348899199,0.078,0.198,9.65E-01,Kirrel
4.21E-05,0.1891128627,1,1,9.66E-01,Meg3
4.30E-05,-0.8573121948,0.033,0.116,9.86E-01,Dlx5
4.32E-05,-0.7880277654,0.052,0.15,9.91E-01,C9orf72
4.35E-05,-1.038610045,0.028,0.106,9.98E-01,Sp2
4.35E-05,-0.41539309,0.202,0.391,9.98E-01,Anapc5
4.49E-05,-0.4451792966,0.283,0.493,1.00E+00,Thrap3
4.56E-05,-2.525407101,0.011,0.068,1.00E+00,Mmgt2
4.63E-05,-0.531226971,0.141,0.304,1.00E+00,Tmem179
4.66E-05,-0.8362434739,0.043,0.135,1.00E+00,Zfp24
4.67E-05,-0.2916507553,0.7,0.903,1.00E+00,Psap
4.68E-05,-0.5435545742,0.222,0.401,1.00E+00,Ttc39c
4.70E-05,-0.4323838145,0.257,0.464,1.00E+00,Xrn2
4.71E-05,-0.6026298479,0.193,0.362,1.00E+00,Tnfrsf21
4.72E-05,-0.3692011782,0.263,0.473,1.00E+00,Sirpa
4.75E-05,-2.280847231,0.009,0.063,1.00E+00,Tsnaxip1
4.79E-05,-1.389921208,0.028,0.106,1.00E+00,Gm15494
4.80E-05,-0.8270574752,0.074,0.188,1.00E+00,Cyp51
4.82E-05,-2.18684096,0.009,0.063,1.00E+00,Snhg4.1
4.84E-05,-0.6693241122,0.109,0.242,1.00E+00,Spata1
4.89E-05,-0.4459637734,0.322,0.551,1.00E+00,Zfp346
4.90E-05,-0.6256565858,0.102,0.237,1.00E+00,Wdr82
4.91E-05,-0.8800050794,0.085,0.203,1.00E+00,Grip1os3
5.00E-05,-1.260902663,0.039,0.126,1.00E+00,Gm37982
5.03E-05,-0.5066149317,0.161,0.329,1.00E+00,Capzb
5.09E-05,-0.8819063532,0.076,0.188,1.00E+00,Tbc1d20
5.13E-05,-3.07913245,0.002,0.043,1.00E+00,Serf1
5.13E-05,-3.543463309,0.002,0.043,1.00E+00,Eva1c
5.14E-05,-0.6958618426,0.057,0.159,1.00E+00,Ctbp2
5.17E-05,-0.488683309,0.385,0.628,1.00E+00,Lrrc4
5.21E-05,-0.965741167,0.043,0.135,1.00E+00,Slc1a6
5.22E-05,-2.144081364,0.011,0.068,1.00E+00,D17H6S53E
5.23E-05,-1.730312276,0.017,0.082,1.00E+00,Ctbs
5.36E-05,-0.967633519,0.07,0.179,1.00E+00,Pdzd7
5.45E-05,-0.4943621999,0.135,0.285,1.00E+00,Mboat7
5.53E-05,-0.5216421928,0.183,0.357,1.00E+00,Eif2s2
5.64E-05,-1.598051062,0.035,0.116,1.00E+00,Gpr137b
5.69E-05,-0.6188899672,0.159,0.319,1.00E+00,Acvr2a
5.73E-05,-0.4066885618,0.554,0.783,1.00E+00,Ppm1h
5.77E-05,-0.7118466969,0.12,0.256,1.00E+00,Frg1
5.80E-05,-0.4482814309,0.437,0.681,1.00E+00,Gnao1
5.88E-05,-0.2915223901,0.457,0.734,1.00E+00,Ctif
5.90E-05,-0.2241251449,0.972,0.995,1.00E+00,Macf1
5.91E-05,-0.6373633026,0.117,0.256,1.00E+00,Armcx3
5.91E-05,-1.593753241,0.015,0.077,1.00E+00,Vmn2r29
5.92E-05,-0.4189044536,0.204,0.386,1.00E+00,Rnf115
5.97E-05,-0.3786524996,0.352,0.594,1.00E+00,Brd9
6.07E-05,-0.5719846115,0.193,0.362,1.00E+00,Fndc9
6.07E-05,-0.2568181101,0.891,0.966,1.00E+00,Cacna1d
6.08E-05,-0.5431866597,0.076,0.193,1.00E+00,Ankrd16
6.20E-05,-0.5012135121,0.25,0.454,1.00E+00,Got1
6.24E-05,-0.879418186,0.07,0.179,1.00E+00,Elovl5
6.25E-05,-0.3798739143,0.385,0.618,1.00E+00,Ppip5k1
6.27E-05,-0.7307733062,0.085,0.203,1.00E+00,Rpl5
6.30E-05,-0.8080151766,0.08,0.198,1.00E+00,Selenoo
6.31E-05,-0.4887719148,0.193,0.372,1.00E+00,Lysmd4
6.37E-05,-0.5045494069,0.163,0.324,1.00E+00,Dnaja3
6.58E-05,-1.058499113,0.085,0.198,1.00E+00,Rilpl1
6.60E-05,-0.7960827043,0.08,0.198,1.00E+00,Rtl1
6.60E-05,-0.507712878,0.176,0.348,1.00E+00,Safb
6.67E-05,-0.4582621071,0.23,0.42,1.00E+00,Spata5
6.68E-05,0.4184035139,0.913,0.932,1.00E+00,Mgat4c
6.93E-05,-0.4353913862,0.2,0.386,1.00E+00,Hps4
7.04E-05,-0.4458967775,0.196,0.377,1.00E+00,Mafb
7.11E-05,-0.4910920387,0.241,0.435,1.00E+00,Lin52
7.21E-05,-0.7145943226,0.113,0.246,1.00E+00,Gpt2
7.31E-05,-0.4285925568,0.254,0.464,1.00E+00,Zranb1
7.31E-05,-0.6435253865,0.191,0.357,1.00E+00,Ablim3
7.38E-05,-0.7541637363,0.076,0.188,1.00E+00,Bzw1
7.50E-05,-0.5387181459,0.159,0.319,1.00E+00,Cox11
7.86E-05,-0.4806987552,0.324,0.536,1.00E+00,Uggt2
7.96E-05,-0.814364549,0.037,0.121,1.00E+00,Rnf207
8.02E-05,-3.25613095,0.004,0.048,1.00E+00,Gm14546
8.08E-05,-2.965521473,0.004,0.048,1.00E+00,Zfp189
8.14E-05,-0.4424095999,0.354,0.57,1.00E+00,Sptb
8.21E-05,-0.7088947818,0.096,0.217,1.00E+00,Polr3b
8.24E-05,-0.904482751,0.065,0.169,1.00E+00,Plxna4os3
8.31E-05,-0.4449463507,0.622,0.802,1.00E+00,Cdh18
8.51E-05,-0.3477700248,0.178,0.357,1.00E+00,Stx1b
8.56E-05,-0.3958962249,0.235,0.44,1.00E+00,Uxs1
8.67E-05,-0.5574269317,0.124,0.261,1.00E+00,Chst10
8.72E-05,-0.5542994345,0.198,0.372,1.00E+00,Ncor2
8.93E-05,-0.5995984235,0.115,0.251,1.00E+00,Gm26854
8.93E-05,-0.5742187848,0.187,0.353,1.00E+00,Scarb2
9.08E-05,-0.3710715538,0.68,0.879,1.00E+00,Aff3
9.12E-05,-0.6188834282,0.074,0.184,1.00E+00,4930488N15Rik
9.40E-05,-0.4038750987,0.202,0.382,1.00E+00,Pdcd7
9.51E-05,-0.8392419539,0.072,0.179,1.00E+00,Jade1
9.57E-05,-0.4803398507,0.122,0.261,1.00E+00,Gm48747
9.68E-05,-1.006561996,0.033,0.111,1.00E+00,Gm15813
9.69E-05,-0.3855636682,0.209,0.391,1.00E+00,Gm44151
9.71E-05,-0.5250903378,0.33,0.541,1.00E+00,Dnm1l
9.79E-05,-0.4363354511,0.261,0.469,1.00E+00,Anapc4
9.87E-05,-0.5868107575,0.189,0.353,1.00E+00,Apoo
1.00E-04,-1.032098918,0.067,0.169,1.00E+00,1700080N15Rik
1.03E-04,-0.4214216562,0.233,0.42,1.00E+00,Tax1bp1
1.04E-04,-1.726028079,0.085,0.193,1.00E+00,Agbl1
1.04E-04,-0.4174173584,0.239,0.43,1.00E+00,Slc30a9
