,x,y,roi,transition_index
0,259.26885986328125,349.806396484375,Middle,
1,265.5633239746094,357.80615234375,Middle,
2,265.56707763671875,357.80615234375,Middle,
3,265.56707763671875,357.80615234375,Middle,
4,265.5633239746094,357.7613220214844,Middle,
5,265.5294189453125,357.7613220214844,Middle,
6,265.43524169921875,357.7613220214844,Middle,
7,265.4247436523437,357.7613220214844,Middle,
8,265.4023742675781,357.7613220214844,Middle,
9,265.2783203125,357.6492004394531,Middle,
10,265.2590637207031,357.6492004394531,Middle,
11,265.25860595703125,357.6492004394531,Middle,
12,264.92431640625,357.6259460449219,Middle,
13,264.92431640625,357.6259460449219,Middle,
14,264.90545654296875,357.543701171875,Middle,
15,264.88690185546875,357.5245666503906,Middle,
16,264.8775329589844,357.432373046875,Middle,
17,264.7605285644531,357.4313049316406,Middle,
18,264.7354431152344,357.4111328125,Middle,
19,264.7000732421875,357.4109191894531,Middle,
20,264.568359375,357.3747253417969,Middle,
21,264.568359375,357.3747253417969,Middle,
22,264.568359375,357.3563537597656,Middle,
23,264.568359375,357.3168029785156,Middle,
24,264.568359375,357.3042297363281,Middle,
25,264.52606201171875,357.2832336425781,Middle,
26,264.510498046875,357.2832336425781,Middle,
27,264.4931335449219,357.2832336425781,Middle,
28,264.45849609375,357.2839050292969,Middle,
29,264.45849609375,357.3600158691406,Middle,
30,264.3910827636719,357.3600158691406,Middle,
31,264.3784484863281,357.3600158691406,Middle,
32,264.2984313964844,357.3197631835937,Middle,
33,264.2984313964844,357.3099975585937,Middle,
34,264.3784484863281,357.2967529296875,Middle,
35,264.3784484863281,357.26129150390625,Middle,
36,264.4175720214844,357.0616760253906,Middle,
37,264.4175720214844,357.0616760253906,Middle,
38,264.4175720214844,357.0616760253906,Middle,
39,264.4146423339844,357.0616760253906,Middle,
40,264.3813781738281,356.98974609375,Middle,
41,264.3432312011719,356.9590759277344,Middle,
42,264.3432312011719,356.9590759277344,Middle,
43,264.3432312011719,356.9437255859375,Middle,
44,264.341796875,356.903564453125,Middle,
45,264.341796875,356.8864440917969,Middle,
46,264.341796875,356.8864440917969,Middle,
47,264.3551330566406,356.8864440917969,Middle,
48,264.3798217773437,356.8671875,Middle,
49,264.4166259765625,356.7989501953125,Middle,
50,264.44970703125,356.9059143066406,Middle,
51,264.44970703125,356.9059143066406,Middle,
52,264.44970703125,357.540283203125,Middle,
53,264.44970703125,359.0741577148437,Middle,
54,264.59552001953125,359.0741577148437,Middle,
55,264.59552001953125,359.0741577148437,Middle,
56,265.16534423828125,358.6091003417969,Middle,
57,265.9052124023437,357.8109741210937,Middle,
58,265.9052124023437,357.1623840332031,Middle,
59,265.9052124023437,357.0326232910156,Middle,
60,265.3371887207031,356.36767578125,Middle,
61,264.6402587890625,355.379638671875,Middle,
62,264.4287109375,355.379638671875,Middle,
63,263.4481506347656,355.1086120605469,Middle,
64,263.2039489746094,355.1086120605469,Middle,
65,263.1351318359375,355.1723937988281,Middle,
66,263.0888671875,355.1723937988281,Middle,
67,263.0888671875,355.1086120605469,Middle,
68,263.0811462402344,355.08447265625,Middle,
69,262.6852722167969,355.04180908203125,Middle,
70,262.5532531738281,354.5795288085937,Middle,
71,262.3306884765625,354.2506408691406,Middle,
72,262.29058837890625,353.8385314941406,Middle,
73,261.9977722167969,353.69793701171875,Middle,
74,260.97198486328125,353.5556640625,Middle,
75,259.8050842285156,351.4521179199219,Middle,
76,258.8777770996094,350.5894470214844,Middle,
77,258.2002868652344,348.3233642578125,Middle,
78,256.190185546875,347.7120361328125,Middle,
79,255.180908203125,346.87554931640625,Middle,
80,255.0341033935547,346.87554931640625,Middle,
81,254.1672821044922,346.87554931640625,Middle,
82,253.94219970703125,347.3315124511719,Middle,
83,253.88821411132807,347.5220031738281,Middle,
84,253.7490234375,347.7179870605469,Middle,
85,253.63888549804688,347.8026123046875,Middle,
86,253.54946899414065,347.8026123046875,Middle,
87,253.5033721923828,347.8573608398437,Middle,
88,253.41311645507807,347.8711242675781,Middle,
89,253.41311645507807,347.8711242675781,Middle,
90,253.41311645507807,348.00933837890625,Middle,
91,253.38275146484372,348.1264343261719,Middle,
92,253.17135620117188,348.1264343261719,Middle,
93,253.38275146484372,348.2397155761719,Middle,
94,253.36248779296875,348.3055419921875,Middle,
95,253.35647583007807,348.3123779296875,Middle,
96,253.36248779296875,348.3542785644531,Middle,
97,253.36248779296875,348.3542785644531,Middle,
98,253.35647583007807,348.3742980957031,Middle,
99,253.2352600097656,348.4315795898437,Middle,
100,253.2352600097656,348.48553466796875,Middle,
101,253.1678466796875,348.48553466796875,Middle,
102,253.0944976806641,348.48602294921875,Middle,
103,253.09478759765625,348.51397705078125,Middle,
104,253.1678466796875,348.6422119140625,Middle,
105,253.1678466796875,348.65478515625,Middle,
106,253.1811981201172,348.6594543457031,Middle,
107,253.22769165039065,348.66326904296875,Middle,
108,253.40744018554688,348.66326904296875,Middle,
109,253.48460388183597,348.6665954589844,Middle,
110,253.48460388183597,348.7159118652344,Middle,
111,253.40744018554688,348.7160949707031,Middle,
112,253.266845703125,348.8108825683594,Middle,
113,253.2162322998047,348.8365173339844,Middle,
114,253.2162322998047,348.84698486328125,Middle,
115,253.2162322998047,348.90924072265625,Middle,
116,253.2356719970703,348.9132995605469,Middle,
117,256.531494140625,350.47442626953125,Middle,
118,261.2095642089844,358.0430603027344,Middle,
119,263.6214599609375,359.0426025390625,Middle,
120,265.7428894042969,360.8617858886719,Middle,
121,266.2237548828125,361.4916687011719,Middle,
122,267.0429382324219,361.5830078125,Middle,
123,267.5460205078125,361.7164916992188,Middle,
124,267.6570739746094,363.6195983886719,Middle,
125,267.70318603515625,363.7212829589844,Middle,
126,267.8427124023437,364.4776611328125,Middle,
127,267.8427124023437,364.5683898925781,Middle,
128,267.9430236816406,364.5755615234375,Middle,
129,268.1029052734375,364.7969970703125,Middle,
130,269.0578308105469,365.1114196777344,Middle,
131,269.3178405761719,365.2429504394531,Middle,
132,270.5329895019531,366.2172546386719,Middle,
133,270.9100646972656,366.5165710449219,Middle,
134,270.9234313964844,367.10931396484375,Middle,
135,271.2904968261719,367.3636779785156,Middle,
136,272.098876953125,369.0128173828125,Middle,
137,272.9317932128906,370.4422607421875,Middle,
138,274.007080078125,370.9059143066406,Middle,
139,274.7016296386719,371.05615234375,Middle,
140,277.5293884277344,372.525390625,Middle,
141,278.04296875,373.4606628417969,Middle,
142,278.2176818847656,374.9035339355469,Middle,
143,278.2176818847656,375.3486022949219,Middle,
144,278.2176818847656,375.7552185058594,Middle,
145,278.2176818847656,376.0762023925781,Middle,
146,278.2256164550781,383.5119934082031,Middle,
147,279.0457458496094,385.2861633300781,Middle,
148,280.0382385253906,386.7286376953125,Middle,
149,281.4632873535156,390.574951171875,Middle,
150,282.6075134277344,393.0418090820313,Middle,
151,283.4931030273437,393.0418090820313,Middle,
152,289.1715087890625,393.0418090820313,Middle,
153,290.8442077636719,391.6139526367188,Middle,
154,292.6916198730469,391.6139526367188,Middle,
155,294.2972717285156,391.6139526367188,Middle,
156,296.03863525390625,394.7352600097656,Middle,
157,296.03863525390625,394.8888854980469,Middle,
158,296.03863525390625,396.1818237304688,Middle,
159,294.3507385253906,396.7281188964844,Middle,
160,293.1008605957031,396.7281188964844,Middle,
161,290.7560729980469,397.0576171875,Middle,
162,286.429931640625,397.3680419921875,Middle,
163,284.9960021972656,397.51763916015625,Middle,
164,283.8983764648437,397.9621276855469,Middle,
165,283.6801452636719,398.1011962890625,Middle,
166,283.4194030761719,398.1011962890625,Middle,
167,280.5346069335937,397.9621276855469,Middle,
168,278.7706604003906,398.1011962890625,Middle,
169,276.6597900390625,398.1011962890625,Middle,
170,271.8360595703125,398.1763000488281,Middle,
171,271.4065856933594,399.0657653808594,Middle,
172,271.4065856933594,399.15087890625,Middle,
173,271.4065856933594,399.77880859375,Middle,
174,272.8736572265625,400.07525634765625,Middle,
175,276.05340576171875,400.07525634765625,Middle,
176,281.2118225097656,400.07525634765625,Middle,
177,282.7562561035156,399.6488342285156,Middle,
178,282.81964111328125,398.0577087402344,Middle,
179,283.845703125,397.3918762207031,Middle,
180,284.692138671875,395.4165649414063,Middle,
181,284.692138671875,387.270263671875,Middle,
182,287.2528686523437,383.71331787109375,Middle,
183,288.422119140625,382.6286315917969,Middle,
184,290.1090393066406,382.4385681152344,Middle,
185,292.0874328613281,382.4385681152344,Middle,
186,292.78369140625,382.6286315917969,Middle,
187,292.8597717285156,383.9466247558594,Middle,
188,292.8597717285156,384.1842651367188,Middle,
189,292.8201599121094,385.2736206054688,Middle,
190,292.8597717285156,386.447265625,Middle,
191,292.9013977050781,387.3609619140625,Middle,
192,292.9013977050781,388.6531982421875,Middle,
193,292.9132995605469,388.6531982421875,Middle,
194,292.92840576171875,388.6531982421875,Middle,
195,293.1513366699219,388.4815368652344,Middle,
196,293.1513366699219,388.4815368652344,Middle,
197,293.1513366699219,388.4815368652344,Middle,
198,291.0077819824219,388.5126647949219,Middle,
199,290.1865539550781,388.5126647949219,Middle,
200,289.83331298828125,388.5126647949219,Middle,
201,289.1102600097656,388.0151977539063,Middle,
202,289.0885009765625,387.9583435058594,Middle,
203,289.0823974609375,387.8540344238281,Middle,
204,289.0823974609375,387.6330871582031,Middle,
205,288.9598693847656,387.5935363769531,Middle,
206,288.9598693847656,387.4267578125,Middle,
207,288.8822631835937,387.3720397949219,Middle,
208,288.7333374023437,387.0216979980469,Middle,
209,288.7333374023437,386.6643981933594,Middle,
210,288.6041564941406,385.218017578125,Middle,
211,287.2290344238281,383.58782958984375,Middle,
212,287.2290344238281,383.58782958984375,Middle,
213,287.2290344238281,383.58782958984375,Middle,
214,287.7132568359375,383.58782958984375,Middle,
215,287.7132568359375,383.58782958984375,Middle,
216,287.7132568359375,382.8604431152344,Middle,
217,285.29754638671875,376.2561340332031,Middle,
218,285.29754638671875,374.505859375,Middle,
219,285.29754638671875,369.4716796875,Middle,
220,285.3017578125,365.22259521484375,Middle,
221,285.4173583984375,361.97119140625,Middle,
222,285.6044921875,359.3189392089844,Middle,
223,285.6044921875,358.3645324707031,Middle,
224,285.6044921875,356.2731018066406,Middle,
225,283.8414306640625,350.5268859863281,Middle,
226,283.0596618652344,346.3296203613281,Middle,
227,282.1786193847656,342.4524841308594,Middle,
228,282.1653137207031,339.37115478515625,Middle,
229,282.1653137207031,337.75030517578125,Middle,
230,282.1653137207031,332.76141357421875,Middle,
231,283.1910095214844,330.121826171875,Middle,
232,287.7840270996094,328.8900146484375,Middle,
233,291.0553894042969,323.551025390625,Middle,
234,293.60430908203125,323.49139404296875,Middle,
235,295.7049560546875,322.7031555175781,Middle,
236,295.87237548828125,322.3371887207031,Middle,
237,296.9555053710937,322.3371887207031,Middle,
238,297.8593444824219,318.9755859375,Middle,
239,297.8593444824219,314.2699584960937,Middle,
240,297.8593444824219,306.43719482421875,Middle,
241,297.352294921875,300.9955139160156,Middle,
242,296.9936828613281,297.3189697265625,Middle,
243,296.59112548828125,294.728759765625,Middle,
244,296.158447265625,289.0237731933594,Middle,
245,295.5347900390625,286.6322021484375,Middle,
246,294.41729736328125,279.1567077636719,Middle,
247,294.3141174316406,275.7162170410156,Middle,
248,294.099609375,271.56463623046875,Middle,
249,290.0005187988281,266.22222900390625,Middle,
250,286.8280944824219,262.99810791015625,Middle,
251,285.5455322265625,259.8395080566406,Middle,
252,279.8255310058594,257.06982421875,Middle,
253,277.7995300292969,256.3156433105469,Middle,
254,276.0246276855469,252.4036407470703,Middle,
255,275.347900390625,252.4036407470703,Middle,
256,271.1439208984375,252.4036407470703,Middle,
257,269.5450744628906,252.6236572265625,Middle,
258,263.38140869140625,253.43142700195312,Middle,
259,261.5126342773437,253.95846557617188,Middle,
260,256.7542724609375,254.78793334960935,Middle,
261,255.0055389404297,254.78793334960935,Middle,
262,250.34788513183597,255.6122283935547,Middle,
263,248.11056518554688,258.2653503417969,Middle,
264,243.12457275390625,262.4488830566406,Middle,
265,242.0386505126953,264.1825561523437,Middle,
266,236.2544860839844,266.7514038085937,Middle,
267,232.72671508789065,267.0668029785156,Middle,
268,232.53494262695312,268.39141845703125,Middle,
269,232.53494262695312,269.56817626953125,Middle,
270,232.53494262695312,271.7467346191406,Middle,
271,233.5289764404297,274.27178955078125,Middle,
272,235.70738220214844,276.50640869140625,Middle,
273,236.712890625,277.3212585449219,Middle,
274,236.712890625,281.6926574707031,Middle,
275,236.712890625,283.7126770019531,Middle,
276,235.9806671142578,284.68096923828125,Middle,
277,234.46495056152344,288.1339416503906,Middle,
278,234.2148895263672,289.3525695800781,Middle,
279,232.49359130859372,290.2329406738281,Middle,
280,232.49359130859372,290.84552001953125,Middle,
281,232.49359130859372,291.2709045410156,Middle,
282,233.0149688720703,291.2709045410156,Middle,
283,233.9299468994141,291.2709045410156,Middle,
284,234.0504150390625,289.69244384765625,Middle,
285,234.65733337402344,288.81207275390625,Middle,
286,236.400634765625,288.7699890136719,Middle,
287,242.5924835205078,278.7980041503906,Middle,
288,244.48861694335935,274.76641845703125,Middle,
289,247.2399444580078,272.2500305175781,Middle,
290,250.98851013183597,264.0860900878906,Middle,
291,253.7530059814453,260.1695556640625,Middle,
292,253.7530059814453,258.8148193359375,Middle,
293,253.7530059814453,256.31396484375,Middle,
294,253.1242828369141,253.3574676513672,Middle,
295,252.85589599609372,248.12026977539065,Middle,
296,251.99002075195312,244.6009826660156,Middle,
297,251.35696411132807,242.80874633789065,Middle,
298,248.80714416503903,235.9478759765625,Middle,
299,248.0395355224609,232.53616333007807,Middle,
300,246.96188354492188,230.1897125244141,Middle,
301,243.25906372070312,226.718017578125,Middle,
302,242.9608612060547,224.36163330078125,Middle,
303,241.9833831787109,220.6585998535156,Middle,
304,241.5705718994141,218.81637573242188,Middle,
305,240.0055694580078,214.5927581787109,Middle,
306,238.40452575683597,211.54330444335935,Middle,
307,236.7452545166016,206.43865966796875,Middle,
308,233.65126037597656,205.33204650878903,Middle,
309,232.04795837402344,203.2963409423828,Middle,
310,230.08746337890625,202.4343414306641,Middle,
311,228.83924865722656,202.03640747070312,S_2,
312,228.34619140625,202.03640747070312,S_2,
313,227.7663726806641,202.00515747070312,S_2,
314,228.31336975097656,201.4943084716797,S_2,
315,227.67742919921875,201.4943084716797,S_2,
316,227.60494995117188,200.9860076904297,S_2,
317,227.60494995117188,200.567626953125,S_2,
318,228.30409240722656,199.8998565673828,S_2,
319,227.8622589111328,197.0830078125,S_2,
320,227.8622589111328,195.8808135986328,S_2,
321,228.1313934326172,193.9118804931641,S_2,
322,227.8622589111328,193.88992309570312,S_2,
323,227.6754913330078,192.9756622314453,S_2,
324,227.48764038085935,192.9756622314453,S_2,
325,227.48764038085935,192.9756622314453,S_2,
326,227.0894470214844,193.65814208984372,S_2,
327,227.0894470214844,195.0910186767578,S_2,
328,227.0894470214844,195.0910186767578,S_2,
329,227.79718017578125,195.0910186767578,S_2,
330,228.01409912109372,195.0910186767578,S_2,
331,228.87876892089844,195.0841827392578,S_2,
332,229.04812622070312,195.0841827392578,S_2,
333,232.21180725097656,195.0764617919922,Middle,
334,233.5882568359375,195.1353302001953,Middle,
335,237.89285278320312,195.1353302001953,Middle,
336,242.66473388671875,196.25375366210935,Middle,
337,245.544677734375,197.1711883544922,Middle,
338,250.2799072265625,197.2360076904297,Middle,
339,255.12234497070312,198.5299224853516,Middle,
340,256.7312927246094,200.35592651367188,Middle,
341,258.38720703125,200.77276611328125,Middle,
342,259.9111633300781,201.4700469970703,Middle,
343,261.1628723144531,201.7098693847656,Middle,
344,266.7206420898437,202.03793334960935,Middle,
345,274.8498840332031,205.2714080810547,Middle,
346,278.1893920898437,205.2714080810547,Middle,
347,285.3227844238281,205.2714080810547,Middle,
348,287.4404602050781,202.2366485595703,Middle,
349,289.6039428710937,201.08897399902344,Middle,
350,293.22705078125,199.18682861328125,Middle,
351,295.7695617675781,198.7385711669922,Middle,
352,299.0433349609375,197.4983673095703,Middle,
353,303.30792236328125,194.69485473632807,Middle,
354,306.0394287109375,192.83335876464844,Middle,
355,310.6947021484375,192.83335876464844,Middle,
356,311.8703308105469,192.7863311767578,Middle,
357,313.4985046386719,192.7863311767578,Middle,
358,316.3133544921875,192.7863311767578,Middle,
359,319.1095886230469,192.8874053955078,Middle,
360,321.291259765625,192.94281005859372,Middle,
361,321.291259765625,194.5979156494141,Middle,
362,321.291259765625,196.6887664794922,Middle,
363,321.48077392578125,199.2714691162109,Middle,
364,321.48077392578125,203.7613983154297,Middle,
365,322.38262939453125,206.10862731933597,Middle,
366,326.42333984375,211.683837890625,Middle,
367,326.5515441894531,211.683837890625,Middle,
