,x,y,roi
0,294.3175964355469,95.0397491455078,Middle
1,365.6775817871094,155.70164489746094,Middle
2,369.1471862792969,157.7982635498047,Middle
3,371.2627258300781,163.92469787597656,Middle
4,374.0627746582031,165.84762573242188,Middle
5,374.4170837402344,168.8536376953125,Middle
6,376.1652221679688,171.49578857421875,Middle
7,378.8537292480469,173.99688720703125,Middle
8,378.8537292480469,176.13816833496094,Middle
9,378.8537292480469,178.7779998779297,Middle
10,367.3499755859375,182.4799346923828,Middle
11,364.8786315917969,185.35777282714844,Middle
12,360.9996948242188,187.27638244628903,Middle
13,357.2117614746094,190.16799926757807,Middle
14,355.0579528808594,191.05667114257807,Middle
15,351.3784484863281,194.21681213378903,Middle
16,351.2834777832031,197.2908935546875,Middle
17,351.2054748535156,199.86361694335935,Middle
18,346.8355712890625,201.54063415527344,Middle
19,339.3141174316406,202.07765197753903,Middle
20,338.0454406738281,203.11314392089844,Middle
21,338.0454406738281,205.96124267578125,Middle
22,338.0454406738281,207.17840576171875,Middle
23,338.1339416503906,208.2360076904297,Middle
24,339.5693664550781,211.65028381347656,Middle
25,339.5866394042969,214.2081298828125,Middle
26,339.5993347167969,218.76931762695312,Middle
27,339.94073486328125,221.6709442138672,Middle
28,341.3363037109375,226.0362091064453,Middle
29,342.4176025390625,229.33059692382807,Middle
30,343.0270690917969,229.72987365722656,Middle
31,343.351806640625,230.2920684814453,Middle
32,345.4354248046875,232.71263122558597,Middle
33,347.6007995605469,233.07586669921875,Middle
34,352.41461181640625,236.447509765625,Middle
35,353.6439819335937,238.9994659423828,Middle
36,353.9933166503906,245.5545959472656,Middle
37,354.2544860839844,252.66514587402344,Middle
38,354.97296142578125,256.1184997558594,Middle
39,355.81427001953125,261.2154846191406,Middle
40,358.6833801269531,268.1304931640625,Middle
41,359.48492431640625,271.2262268066406,Middle
42,359.48492431640625,278.7497863769531,Middle
43,359.48492431640625,283.9170837402344,Middle
44,357.6031799316406,292.1457214355469,Middle
45,357.2250671386719,295.94317626953125,Middle
46,357.18280029296875,303.82647705078125,Middle
47,355.98065185546875,306.01385498046875,Middle
48,355.0174560546875,311.0312805175781,Middle
49,354.9089660644531,315.1222229003906,Middle
50,354.9089660644531,319.0726013183594,Middle
51,354.9089660644531,321.6730041503906,Middle
52,356.0521850585937,327.7603759765625,Middle
53,356.07672119140625,331.3717956542969,Middle
54,359.2553100585937,336.3335876464844,Middle
55,362.3269348144531,339.412841796875,Middle
56,365.4000549316406,344.15655517578125,Middle
57,366.5587463378906,346.2792053222656,Middle
58,366.5994567871094,352.052001953125,Middle
59,366.7121887207031,354.9472045898437,Middle
60,367.200439453125,361.8243103027344,Middle
61,367.3298645019531,365.49072265625,Middle
62,369.2459716796875,372.7093200683594,Middle
63,369.70556640625,374.9178771972656,Middle
64,369.70556640625,380.4265747070313,Middle
65,369.70556640625,382.6666870117188,Middle
66,369.6472778320313,384.8487548828125,Middle
67,365.835205078125,390.27386474609375,Middle
68,365.0896911621094,390.27386474609375,Middle
69,364.676025390625,390.27386474609375,Middle
70,364.457275390625,390.1794128417969,Middle
71,364.457275390625,389.3758239746094,Middle
72,362.53363037109375,387.5154113769531,Middle
73,361.3548583984375,386.968994140625,Middle
74,358.8540954589844,385.2319641113281,Middle
75,354.253662109375,381.624267578125,Middle
76,351.3594665527344,381.624267578125,Middle
77,349.0097351074219,381.624267578125,Middle
78,344.1848449707031,382.2818908691406,Middle
79,341.4985656738281,382.2818908691406,Middle
80,338.7720642089844,382.2818908691406,Middle
81,332.1204833984375,382.6115112304688,Middle
82,330.3016052246094,382.6759643554688,Middle
83,325.77197265625,383.9735107421875,Middle
84,321.006591796875,384.65283203125,Middle
85,319.3865051269531,385.6501159667969,Middle
86,315.9359130859375,386.5771789550781,Middle
87,314.83062744140625,388.2539978027344,Middle
88,313.0975952148437,389.0212707519531,Middle
89,309.89044189453125,391.2462158203125,Middle
90,309.2717590332031,392.5923767089844,Middle
91,307.1741943359375,392.5923767089844,Middle
92,304.7438049316406,392.5923767089844,Middle
93,304.7438049316406,391.150390625,Middle
94,304.7438049316406,389.3049011230469,Middle
95,304.7438049316406,384.2983703613281,Middle
96,304.7438049316406,383.2306213378906,Middle
97,302.5261535644531,382.2362060546875,Middle
98,299.8295288085937,379.91497802734375,Middle
99,294.375244140625,379.5231628417969,Middle
100,290.4452514648437,379.5231628417969,Middle
101,284.7153625488281,379.5231628417969,Middle
102,281.6542663574219,379.7449951171875,Middle
103,273.4145202636719,382.8288269042969,Middle
104,269.5175476074219,382.8288269042969,Middle
105,264.2223815917969,382.8288269042969,Middle
106,260.93438720703125,382.3503723144531,Middle
107,254.73275756835935,380.2335205078125,Middle
108,251.4427795410156,380.2335205078125,Middle
109,244.68478393554688,380.2335205078125,Middle
110,240.9601593017578,380.41650390625,Middle
111,235.72276306152344,382.2543029785156,Middle
112,234.3335723876953,382.3389587402344,Middle
113,232.17181396484372,382.6187133789063,
114,232.1391448974609,382.6187133789063,
115,231.8575439453125,382.6838989257813,
116,231.8575439453125,382.6838989257813,
117,231.8575439453125,382.5827941894531,
118,232.341796875,382.5522155761719,Middle
119,234.2054901123047,381.7643127441406,Middle
120,235.748779296875,380.3494262695313,Middle
121,240.43785095214844,377.7301330566406,Middle
122,242.75750732421875,375.4227294921875,Middle
123,243.7587890625,375.27349853515625,Middle
124,244.90945434570312,372.9425354003906,Middle
125,245.56918334960935,368.4109802246094,Middle
126,245.63357543945312,364.755615234375,Middle
127,245.8643341064453,360.3158874511719,Middle
128,245.95928955078125,358.4294738769531,Middle
129,245.95928955078125,353.6334533691406,Middle
130,245.8643341064453,351.3397521972656,Middle
131,245.4481506347656,350.1885986328125,Middle
132,245.4481506347656,346.6812438964844,Middle
133,245.4481506347656,344.0752868652344,Middle
134,245.9913787841797,341.70050048828125,Middle
135,246.17333984375,339.292724609375,Middle
136,246.31585693359372,339.1197509765625,Middle
137,246.31585693359372,337.7699584960937,Middle
138,246.31585693359372,337.7330627441406,Middle
139,246.25271606445312,336.0166931152344,Middle
140,246.25271606445312,334.74658203125,Middle
141,246.25271606445312,332.6932373046875,Middle
142,246.72886657714844,332.6175842285156,Middle
143,246.72886657714844,332.6175842285156,Middle
144,246.72886657714844,332.6932373046875,Middle
145,246.72805786132807,332.7733154296875,Middle
146,246.72805786132807,333.67333984375,Middle
147,246.72805786132807,333.67333984375,Middle
148,248.4874267578125,333.8203430175781,Middle
149,250.11985778808597,333.77935791015625,Middle
150,252.55227661132807,333.77935791015625,Middle
151,254.43521118164065,333.6647033691406,Middle
152,258.0789489746094,331.2765808105469,Middle
153,258.64166259765625,327.0870056152344,Middle
154,261.6849975585937,322.2095642089844,Middle
155,261.7024230957031,320.5177917480469,Middle
156,263.21197509765625,315.9428100585937,Middle
157,263.6756896972656,308.11151123046875,Middle
158,264.1880187988281,305.945556640625,Middle
159,264.9783935546875,302.2404479980469,Middle
160,266.592041015625,296.83599853515625,Middle
161,268.3321533203125,295.0365600585937,Middle
162,272.0694580078125,295.0365600585937,Middle
163,278.640380859375,295.0365600585937,Middle
164,282.4034118652344,295.1501770019531,Middle
165,283.1571655273437,295.1501770019531,Middle
166,287.5856018066406,295.1501770019531,Middle
167,291.92486572265625,293.268310546875,Middle
168,296.89862060546875,286.8686828613281,Middle
169,300.51806640625,286.6177062988281,Middle
170,309.6047058105469,285.126220703125,Middle
171,310.234130859375,284.7193603515625,Middle
172,310.755126953125,284.68951416015625,Middle
173,312.1691589355469,284.3103942871094,Middle
174,314.27197265625,278.06561279296875,Middle
175,315.94830322265625,275.92584228515625,Middle
176,321.733154296875,272.2146911621094,Middle
177,322.2723388671875,269.94976806640625,Middle
178,328.4823303222656,268.98895263671875,Middle
179,331.5912780761719,268.2090148925781,Middle
180,337.1322326660156,267.3416442871094,Middle
181,339.22442626953125,266.02392578125,Middle
182,343.4613952636719,260.6150817871094,Middle
183,344.22869873046875,257.0107421875,Middle
184,347.74285888671875,251.81236267089844,Middle
185,348.6485595703125,250.1246337890625,Middle
186,350.08917236328125,247.34718322753903,Middle
187,354.1068115234375,244.2064514160156,Middle
188,356.99481201171875,239.7148284912109,Middle
189,359.1837158203125,238.14768981933597,Middle
190,363.0526123046875,231.2642517089844,Middle
191,365.9885559082031,228.44590759277344,Middle
192,372.27191162109375,222.4931488037109,Middle
193,374.3507385253906,222.4931488037109,Middle
194,375.97467041015625,222.4931488037109,Middle
195,377.3888244628906,226.32164001464844,Middle
196,378.4235534667969,228.72325134277344,Middle
197,378.4235534667969,230.3139190673828,Middle
198,378.5037536621094,233.77734375,Middle
199,378.5037536621094,235.58750915527344,Middle
200,378.9040832519531,237.8382873535156,Middle
201,380.8989868164063,242.0357208251953,Middle
202,381.2795715332031,247.81277465820312,Middle
203,381.2795715332031,253.7598571777344,Middle
204,380.8989868164063,259.66461181640625,Middle
205,378.91705322265625,264.0196838378906,Middle
206,376.1956787109375,270.0137023925781,Middle
207,376.1956787109375,272.6532592773437,Middle
208,376.1956787109375,276.3847351074219,Middle
209,379.1202697753906,282.4913024902344,Middle
210,379.64697265625,284.7865295410156,Middle
211,380.0452270507813,290.6611633300781,Middle
212,380.0452270507813,295.4908447265625,Middle
213,380.0452270507813,298.31024169921875,Middle
214,379.5309448242188,298.6815795898437,Middle
215,374.8837585449219,299.38116455078125,Middle
216,373.7970886230469,299.8863220214844,Middle
217,367.951416015625,300.7468566894531,Middle
218,365.65826416015625,302.3158569335937,Middle
219,357.5220642089844,305.35211181640625,Middle
220,355.5795288085937,308.5257263183594,Middle
221,352.2289428710937,316.9063720703125,Middle
222,351.6946716308594,321.63067626953125,Middle
223,346.9500427246094,329.5967712402344,Middle
224,344.68212890625,331.1621398925781,Middle
225,336.9494323730469,331.40826416015625,Middle
226,330.46112060546875,331.9504089355469,Middle
227,323.26324462890625,331.9504089355469,Middle
228,320.3130798339844,331.9504089355469,Middle
229,316.9939880371094,335.5263366699219,Middle
230,315.2202453613281,339.1346130371094,Middle
231,311.8409118652344,341.5291442871094,Middle
232,309.41290283203125,341.5291442871094,Middle
233,302.3312683105469,341.5291442871094,Middle
234,299.2771911621094,338.80987548828125,Middle
235,293.4855041503906,332.5106201171875,Middle
236,289.9627990722656,329.1374816894531,Middle
237,285.65460205078125,329.1374816894531,Middle
238,283.7578125,329.1374816894531,Middle
239,277.7985534667969,331.9784240722656,Middle
240,275.2403869628906,334.4998779296875,Middle
241,268.79742431640625,339.0558166503906,Middle
242,266.7982788085937,340.6623229980469,Middle
243,263.0002746582031,342.9457397460937,Middle
244,255.8575439453125,345.60333251953125,Middle
245,248.89614868164065,346.6943664550781,Middle
246,245.18765258789065,349.1832275390625,Middle
247,239.3503570556641,353.8409118652344,Middle
248,238.268798828125,354.7230529785156,Middle
249,238.15872192382807,354.7712097167969,Middle
250,236.36178588867188,354.7712097167969,Middle
251,236.36178588867188,354.7712097167969,Middle
252,236.36178588867188,352.5611267089844,Middle
253,237.8205108642578,345.9853210449219,Middle
254,238.9383087158203,340.7776794433594,Middle
255,242.7335357666016,332.7969970703125,Middle
256,246.7958831787109,326.6156921386719,Middle
257,251.29673767089844,321.1047668457031,Middle
258,251.61370849609372,315.6750183105469,Middle
259,251.61370849609372,311.5478210449219,Middle
260,251.61370849609372,308.1981201171875,Middle
261,250.0549468994141,305.5829772949219,Middle
262,249.2095947265625,304.6589050292969,Middle
263,247.73956298828125,303.1785888671875,Middle
264,247.73956298828125,301.52410888671875,Middle
265,247.73956298828125,301.054443359375,Middle
266,250.60757446289065,300.64434814453125,Middle
267,251.0850524902344,300.64434814453125,Middle
268,252.7352600097656,300.2815246582031,Middle
269,254.3443298339844,300.2815246582031,Middle
270,256.12384033203125,298.615966796875,Middle
271,261.34735107421875,294.414306640625,Middle
272,268.5694274902344,287.3712158203125,Middle
273,271.08111572265625,284.98876953125,Middle
274,271.5402526855469,279.5322265625,Middle
275,271.5402526855469,277.8275451660156,Middle
276,271.5402526855469,272.51123046875,Middle
277,269.9775695800781,267.5924987792969,Middle
278,269.9775695800781,265.7410583496094,Middle
279,269.9775695800781,265.3874206542969,Middle
280,272.91778564453125,265.147216796875,Middle
281,275.7255859375,265.0604553222656,Middle
282,281.7556457519531,261.296630859375,Middle
283,283.6759033203125,260.2173156738281,Middle
284,288.679931640625,258.4049072265625,Middle
285,289.9507751464844,257.8493957519531,Middle
286,290.4906616210937,255.99984741210935,Middle
287,290.98370361328125,255.6541748046875,Middle
288,292.8215026855469,255.6541748046875,Middle
289,294.08123779296875,255.6541748046875,Middle
290,294.5278625488281,256.0736083984375,Middle
291,294.8407592773437,256.0736083984375,Middle
292,295.0350036621094,256.3618469238281,Middle
293,296.7633972167969,256.9329833984375,Middle
294,298.348876953125,256.9329833984375,Middle
295,298.4404602050781,258.7481994628906,Middle
296,299.2137756347656,258.7481994628906,Middle
297,299.2137756347656,258.754638671875,Middle
298,299.5756530761719,258.754638671875,Middle
299,299.5756530761719,259.4757995605469,Middle
300,300.47674560546875,259.4757995605469,Middle
301,301.6099548339844,259.4757995605469,Middle
302,305.8057556152344,258.7902526855469,Middle
303,307.7787170410156,258.7902526855469,Middle
304,312.0083312988281,258.7902526855469,Middle
305,312.1264038085937,259.8609924316406,Middle
306,312.62432861328125,260.87939453125,Middle
307,313.96875,260.87939453125,Middle
308,314.4220886230469,260.87939453125,Middle
309,314.4693908691406,258.3531188964844,Middle
310,317.4176940917969,251.71731567382807,Middle
311,319.2204284667969,248.97210693359372,Middle
312,321.4817199707031,237.1088104248047,Middle
313,321.8763732910156,232.6522216796875,Middle
314,321.8763732910156,226.68751525878903,Middle
315,321.8763732910156,215.35842895507807,Middle
316,321.478759765625,205.177490234375,Middle
317,320.85516357421875,202.0463714599609,Middle
318,318.6415100097656,200.3313446044922,Middle
319,317.4857788085937,199.26119995117188,Middle
320,314.5946960449219,196.9088134765625,Middle
321,311.1404113769531,192.68600463867188,Middle
