,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset
0,29240,35.66272440674551,0.9904395267975263,1141,27966,34.41033147179337,-0.5009873336472354,1101
1,46357,52.4894197502116,1.065955372031145,1679,44737,50.8968949820621,-0.01892217464239145,1628
2,125691,130.47791355044174,1.302330528120196,4175,124991,129.7897855642043,-0.24367140334777834,4153
3,172399,176.3937449521251,1.324900510171598,5644,171448,175.45887393082253,-0.25316392017340733,5614
4,225278,228.3759160724817,1.8042497435885934,7308,224665,227.77331256453374,-0.4271547411771169,7288
5,241424,244.2480795950384,1.096633471662477,7815,240787,243.62188312756234,0.34372866764123106,7795
6,286565,288.6234873475303,1.1881603529018427,9235,285687,287.76037824479243,-0.6125737613759619,9208
7,335654,336.8799369424013,0.8806220044716787,10780,334688,335.9303203213936,-0.2271753706044267,10749
8,346030,347.0799597784008,0.7446857944185694,11106,345170,346.2345453953091,-1.324736036325062,11079
9,366859,367.555699528886,0.9262095177725891,11761,366222,366.92950306140995,-0.6100582909677463,11741
10,373789,374.36816659263667,1.2419476628110409,11979,372928,373.5217691695646,-0.46109532485099786,11952
11,402736,402.8242249035155,1.215224939204518,12890,401145,401.26020829479586,-0.8671469096208,12840
12,410346,410.3051591538968,1.6657862215048187,13129,408212,408.207351835853,-1.0713655130567126,13062
13,439714,439.17507729649844,0.915890535849902,14053,439004,438.47711891045765,-0.16604102615060834,14031
14,465356,464.38218847235623,1.289479340076562,14860,464654,463.6920944061581,-0.21805252433749842,14838
15,468488,467.46106969077863,0.9215787268940663,14958,467659,466.6461295470774,-0.23029838004347644,14932
16,510621,508.87949318241016,1.650131271309709,16284,509288,507.569100888618,0.14137553500968175,16242
17,514499,512.6917222261656,1.395039852032888,16406,513672,511.87874816242504,-0.5755146590065505,16380
18,516284,514.446448591071,1.423435393848937,16462,515360,513.5381196492376,-0.7438985304681139,16433
19,527772,525.7396118852078,1.056775399041553,16823,526920,524.9020618219588,-0.25037090814726204,16796
20,549697,547.2927634541447,1.219945002495504,17513,548798,546.4090105118198,-0.4546349340844858,17485
21,563480,560.84200350316,1.3972865825425969,17946,562226,559.6092713678146,0.21218418780389092,17907
