,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,NHaxis_angle,Heading_2_Szone,distance,approaching,time_diff,x_bin,y_bin,EVT2,EVT3
0,563.5838012695312,386.9305725097656,563.5838012695312,386.9305725097656,else,,84.92730597977906,False,261.4788345358224,False,0.0,165,75,,
1,563.5838012695312,388.0205383300781,563.5838012695312,388.0205383300781,else,,84.90407294541609,False,262.5582218926702,False,1.0,165,75,,
2,564.8230590820312,388.0205383300781,564.8230590820312,388.0205383300781,else,,87.49862037645346,False,262.3892100026407,True,1.0,165,75,,
3,564.8230590820312,387.7362976074219,564.8230590820312,387.7362976074219,else,,88.02015651329985,False,262.1075379823279,True,1.0,165,75,,
4,563.5838012695312,387.7362976074219,563.5838012695312,387.7362976074219,else,,85.4494384141535,False,262.27673138269097,False,1.0,165,75,,
5,563.2223510742188,388.4149475097656,563.2223510742188,388.4149475097656,else,,84.70108360749536,False,262.99912613357105,False,1.0,165,75,,
6,563.2223510742188,390.6452331542969,563.2223510742188,390.6452331542969,else,,84.49441264244683,False,265.20768080729295,False,1.0,165,76,,
7,558.0191040039062,393.5106506347656,558.0191040039062,393.5106506347656,else,,73.35261682800203,False,268.8090423128125,False,1.0,163,76,,
8,556.0745849609375,393.9288635253906,556.0745849609375,393.9288635253906,else,,69.38646825668427,False,269.53219203327035,False,1.0,163,77,,
9,554.9984130859375,395.4527282714844,554.9984130859375,395.4527282714844,else,,68.50052253358218,False,271.21228711960003,False,1.0,162,77,,
10,553.4337158203125,397.6880187988281,553.4337158203125,397.6880187988281,else,,64.38011561803573,False,273.67872826717917,False,1.0,162,77,,
11,551.5936279296875,403.5677490234375,551.5936279296875,403.5677490234375,else,,57.482922848297356,False,279.78699247615816,False,1.0,161,78,,
12,547.4398193359375,408.5543823242188,547.4398193359375,408.5543823242188,else,,47.19156256182413,False,285.43534124695003,False,1.0,160,79,,
13,543.3555297851562,414.8050842285156,543.3555297851562,414.8050842285156,else,,46.49799895788191,False,292.3452622247302,False,1.0,159,81,,
14,539.8032836914062,422.0934143066406,539.8032836914062,422.0934143066406,else,,41.605723514536855,False,300.1909075786185,False,1.0,158,82,,
15,536.1458740234375,428.7252807617188,536.1458740234375,428.7252807617188,else,,32.29278363563746,False,307.4297381410024,False,1.0,157,83,,
16,535.6978759765625,438.11822509765625,535.6978759765625,438.11822509765625,else,,16.406827629337677,False,316.71450344378945,False,1.0,157,85,,
17,535.6978759765625,442.9410095214844,535.6978759765625,442.9410095214844,else,,16.721941114733415,False,321.4383341052172,False,1.0,157,86,,
18,535.6978759765625,445.7997131347656,535.6978759765625,445.7997131347656,else,,22.71110900617339,False,324.23975823835184,False,1.0,157,87,,
19,536.5238037109375,450.3438415527344,536.5238037109375,450.3438415527344,else,,24.88001258673427,False,328.5342899642318,False,1.0,157,88,,
20,536.5238037109375,454.8689575195313,536.5238037109375,454.8689575195313,else,,20.350024623053194,False,332.97528870057727,False,1.0,157,88,,
21,536.5238037109375,459.55169677734375,536.5238037109375,459.55169677734375,else,,16.84699815420422,False,337.573332968206,False,1.0,157,89,,
22,534.2991943359375,462.9078369140625,534.2991943359375,462.9078369140625,else,,8.941533748454432,False,341.2914518287313,False,1.0,156,90,,
23,534.2991943359375,464.5158081054688,534.2991943359375,464.5158081054688,else,,6.252463644258952,False,342.86948678729584,False,1.0,156,90,,
24,534.2991943359375,466.9844055175781,534.2991943359375,466.9844055175781,else,,5.238961634960927,False,345.29266289484457,False,1.0,156,91,,
25,535.0889282226562,470.6899108886719,535.0889282226562,470.6899108886719,else,,6.719038197434217,False,348.78334573796576,False,1.0,156,92,,
26,535.0889282226562,471.4449157714844,535.0889282226562,471.4449157714844,else,,9.893146872589826,False,349.52518851803154,False,1.0,156,92,,
27,535.0889282226562,475.2806091308594,535.0889282226562,475.2806091308594,else,,12.771686530548202,False,353.29487502309485,False,1.0,156,92,,
28,528.9078369140625,477.1388549804688,528.9078369140625,477.1388549804688,else,,6.552960860614548,False,356.30329174638615,False,1.0,155,93,,
29,528.9078369140625,486.7360534667969,528.9078369140625,486.7360534667969,else,,351.86570970078003,False,365.71252604904043,False,1.0,155,95,,
30,528.5570678710938,489.4441833496094,528.5570678710938,489.4441833496094,else,,349.56528225751214,False,368.4372269850613,False,1.0,155,95,,
31,528.2559204101562,493.07513427734375,528.2559204101562,493.07513427734375,else,,344.02821421940683,False,372.0578807441315,False,1.0,154,96,,
32,528.3775024414062,494.0977478027344,528.3775024414062,494.0977478027344,else,,342.7664064063357,False,373.03799150055113,False,1.0,154,96,,
33,528.3775024414062,494.6800537109375,528.3775024414062,494.6800537109375,else,,341.6801299429014,False,373.60948053547406,False,1.0,154,96,,
34,528.2559204101562,495.3514099121094,528.2559204101562,495.3514099121094,else,,342.62444008877765,False,374.29169282874614,False,1.0,154,96,,
35,528.0641479492188,500.8156433105469,528.0641479492188,500.8156433105469,else,,334.1926293926482,False,379.69233690888314,False,1.0,154,97,,
36,528.0641479492188,503.3643798828125,528.0641479492188,503.3643798828125,else,,330.6097881485206,False,382.19521778154194,False,1.0,154,98,,
37,527.4786376953125,505.70892333984375,527.4786376953125,505.70892333984375,else,,327.87094698566654,False,384.60808462780875,False,1.0,154,98,,
38,526.2361450195312,510.52197265625,526.2361450195312,510.52197265625,else,,328.56518343966025,False,389.5692054903833,False,1.0,154,99,,
39,524.9217529296875,512.8707275390625,524.9217529296875,512.8707275390625,else,,326.99307108077414,False,392.12526072621,False,1.0,153,100,,
