Sex,Genotype,Amplitude,Frequency,Cell_ID
Male,WT,44.06,0.74,220822_WT_M_#02
Male,WT,31.33,0.74,220822_WT_M_#03
Male,WT,38.63,1.5,220822_WT_M_#04
Male,WT,43.29,1.22,220822_WT_M_#05
Male,WT,46.93,1.64,220822_WT_M_#10
Male,WT,34.81,1.21,220822_WT_M_#11
Male,WT,47.74,1.33,220822_WT_M_#12
Male,WT,28.41,1.97,220826_WT_M_#01
Male,WT,68.54,5.01,220826_WT_M_#03
Male,WT,37.22,0.71,220826_WT_M_#04
Male,WT,58.57,2.5,220826_WT_M_#06
Male,WT,27.95,0.13,220826_WT_M_#12
Male,WT,45.65,2.57,220826_WT_M_#13
Male,WT,68.15,1.49,220826_WT_M_#14
Male,WT,63.45,3.63,220916_WT_M_#01
Male,WT,71.69,5.99,220916_WT_M_#02
Male,WT,42.81,13.77,220916_WT_M_#03
Male,WT,62.12,3.65,220916_WT_M_#07
Male,HM,56.24,2,220817_KO_M_#03
Male,HM,43.41,1.99,220817_KO_M_#04
Male,HM,33.9,0.76,220817_KO_M_#09
Male,HM,32.54,2.85,220817_KO_M_#10
Male,HM,57.65,0.87,220817_KO_M_#12
Male,HM,56.49,5.95,220823_KO_M_#01
Male,HM,61.61,1.78,220823_KO_M_#02
Male,HM,72.45,2.26,220823_KO_M_#03
Male,HM,50.77,3.43,220823_KO_M_#04
Male,HM,54.17,3.29,220823_KO_M_#05
Male,HM,64.49,4.6,220823_KO_M_#06
Male,HM,47.05,0.37,220823_KO_M_#11
Male,HM,62.37,1.99,220823_KO_M_#12
Male,HM,63.38,1.67,220823_KO_M_#13
Male,HM,32.38,1.16,220914_KO_M_#02
Male,HM,67.92,1.82,220914_KO_M_#03
Male,HM,57.87,6.65,220914_KO_M_#04
Male,HM,76.34,3.9,220914_KO_M_#06
Female,WT,55,4.44,221025_WT_F_#01
Female,WT,62.15,4.95,221025_WT_F_#05
Female,WT,42.64,2.1,221025_WT_F_#06
Female,WT,55.15,2.27,221025_WT_F_#08
Female,WT,46.36,6.65,221025_WT_F_#09
Female,WT,64.97,2.31,221101_WT_F_#01
Female,WT,56.66,2.83,221101_WT_F_#02
Female,WT,74.15,2.8,221101_WT_F_#03
Female,WT,37.39,5.34,221101_WT_F_#08
Female,WT,48.53,1.49,221101_WT_F_#09
Female,WT,55.7,1.47,221101_WT_F_#10
Female,WT,50.51,1.85,221101_WT_F_#14
Female,WT,45.71,3.72,221101_WT_F_#15
Female,WT,66.98,3.59,221123_WT_F_#08
Female,WT,160.3,2.82,221123_WT_F_#09
Female,WT,50.73,2.92,221123_WT_F_#10
Female,WT,96.07,3.3,221123_WT_F_#11
Female,WT,92.54,8.78,221123_WT_F_#12
Female,WT,40.86,3.68,221123_WT_F_#13
Female,WT,38.09,1.59,221123_WT_F_#14
Female,WT,214.24,5.17,221123_WT_F_#15
Female,HM,46.36,6.65,221028_KO_F_#01
Female,HM,68.66,3.85,221028_KO_F_#02
Female,HM,47.28,8.68,221028_KO_F_#05
Female,HM,78.34,3.99,221028_KO_F_#06
Female,HM,78.34,3.99,221028_KO_F_#07
Female,HM,71.21,2.55,221028_KO_F_#08
Female,HM,57.69,2.82,221028_KO_F_#13
Female,HM,56.56,2.11,221028_KO_F_#15
Female,HM,46.95,4.1,221102_KO_F_#01
Female,HM,79.25,1.97,221102_KO_F_#03
Female,HM,43.79,2.64,221102_KO_F_#04
Female,HM,48.39,1.24,221102_KO_F_#05
Female,HM,54.41,2.32,221114_KO_F_#06
Female,HM,63.96,1.62,221114_KO_F_#07
Female,HM,88.63,1.8,221114_KO_F_#08
Female,HM,70.61,3.01,221114_KO_F_#09
Female,HM,34.74,3.12,221114_KO_F_#11
Female,HM,38.37,2.3,221114_KO_F_#12
Female,HM,59.62,4.28,221114_KO_F_#13
Female,HM,41.96,4.22,221122_KO_F_#04
Female,HM,65.52,2.13,221122_KO_F_#05
Female,HM,45.33,1.61,221122_KO_F_#07
Female,HM,117.42,4.86,221122_KO_F_#11
Female,HM,70.45,4.44,221122_KO_F_#12
