Sex,Genotype,Amplitude,Frequency,Cell_ID
Male,WT,49.24,0.69,220822_WT_M_#06
Male,WT,48.16,0.37,220822_WT_M_#07
Male,WT,42.23,1.82,220822_WT_M_#08
Male,WT,57.32,1.11,220822_WT_M_#09
Male,WT,56.78,1.9,220822_WT_M_#13
Male,WT,48.7,0.49,220822_WT_M_#14
Male,WT,79.88,1.02,220826_WT_M_#07
Male,WT,58.9,1.43,220826_WT_M_#08
Male,WT,45.89,1.2,220826_WT_M_#09
Male,WT,51.99,1.37,220826_WT_M_#10
Male,WT,117.33,4.18,220826_WT_M_#11
Male,WT,65.26,1.56,220826_WT_M_#15
Male,WT,57.45,3.19,220916_WT_M_#04
Male,WT,90.83,3.59,220916_WT_M_#06
Male,WT,62.94,4.02,220916_WT_M_#08
Male,WT,80.77,10.28,220916_WT_M_#09
Male,WT,47.32,1.02,220916_WT_M_#10
Male,HM,58.77,6.15,220817_KO_M_#05
Male,HM,40.66,3.38,220817_KO_M_#06
Male,HM,74.41,4.36,220817_KO_M_#07
Male,HM,61.49,1.11,220817_KO_M_#13
Male,HM,68.2,6.32,220823_KO_M_#07
Male,HM,47.44,0.33,220823_KO_M_#08
Male,HM,55.26,1.83,220823_KO_M_#09
Male,HM,65.78,3.61,220823_KO_M_#10
Male,HM,42.32,3.05,220823_KO_M_#14
Male,HM,55.21,3.13,220823_KO_M_#15
Male,HM,53.32,5.55,220823_KO_M_#16
Male,HM,69.3,4.12,220914_KO_M_#05
Male,HM,43.61,5.26,220914_KO_M_#07
Male,HM,66.56,1.83,220914_KO_M_#08
Male,HM,63.85,4.05,220914_KO_M_#09
Male,HM,65.44,11.49,220914_KO_M_#10
Male,HM,51.78,1.97,220914_KO_M_#11
Male,HM,53.26,9.06,220914_KO_M_#12
Female,WT,43.45,3.37,221025_WT_F_#02
Female,WT,34.29,10.1,221025_WT_F_#03
Female,WT,82.35,4.15,221101_WT_F_#04
Female,WT,99.53,11.95,221101_WT_F_#05
Female,WT,56.02,12.08,221101_WT_F_#06
Female,WT,59.76,5.55,221101_WT_F_#07
Female,WT,84.57,3.79,221101_WT_F_#12
Female,WT,52.42,5.65,221101_WT_F_#16
Female,WT,52.05,2.61,221101_WT_F_#17
Female,WT,73.75,7.21,221123_WT_F_#01
Female,WT,57.3,9.37,221123_WT_F_#02
Female,WT,82.75,7.54,221123_WT_F_#03
Female,WT,83.32,5.62,221123_WT_F_#04
Female,WT,44.23,6.1,221123_WT_F_#05
Female,WT,72.95,7.77,221123_WT_F_#06
Female,WT,63.5,4.51,221123_WT_F_#07
Female,HM,45.74,7.36,221028_KO_F_#03
Female,HM,46.7,9.08,221028_KO_F_#04
Female,HM,52.52,3.22,221028_KO_F_#09
Female,HM,59.68,4.69,221028_KO_F_#10
Female,HM,61.81,5.53,221028_KO_F_#11
Female,HM,42.75,3.24,221028_KO_F_#12
Female,HM,56.42,2.2,221102_KO_F_#02
Female,HM,56.56,1.96,221102_KO_F_#06
Female,HM,55.78,1.96,221102_KO_F_#07
Female,HM,51.53,3.24,221102_KO_F_#08
Female,HM,59.39,5.47,221114_KO_F_#01
Female,HM,67.17,20.19,221114_KO_F_#02
Female,HM,68.44,3.63,221114_KO_F_#03
Female,HM,81.44,8.99,221114_KO_F_#04
Female,HM,59.47,11.87,221114_KO_F_#05
Female,HM,61.91,2.82,221114_KO_F_#15
Female,HM,91.33,3.66,221114_KO_F_#16
Female,HM,64.4,9.02,221122_KO_F_#01
Female,HM,71.16,16.22,221122_KO_F_#02
Female,HM,56.58,4.24,221122_KO_F_#08
Female,HM,58.97,4.72,221122_KO_F_#09
Female,HM,74,4.19,221122_KO_F_#10
Female,HM,51.42,2.16,221122_KO_F_#13
