Sex,Genotype,Amplitude,Frequency,Cell_ID
Male,WT,15.68,0.64,220519_WT_M_#01
Male,WT,17.77,3.51,220519_WT_M_#05
Male,WT,26.3,2.26,220519_WT_M_#06
Male,WT,23.31,1.04,220519_WT_M_#07
Male,WT,14.43,2.36,220614_WT_M_#05
Male,WT,15.93,2.48,220614_WT_M_#06
Male,WT,16.66,3.44,220614_WT_M_#07
Male,WT,18.1,1.02,220614_WT_M_#08
Male,WT,19.62,1.48,220614_WT_M_#13
Male,WT,13.5,0.77,220614_WT_M_#14
Male,WT,14.71,7.45,220706_WT_M_#06
Male,WT,14.72,1.88,220525_WT_M_#02
Male,WT,18.58,3,220525_WT_M_#03
Male,WT,18.73,2.59,220525_WT_M_#04
Male,WT,17.32,0.84,220525_WT_M_#05
Male,WT,16.82,0.58,220525_WT_M_#06
Male,WT,18.6,3.28,220525_WT_M_#07
Male,WT,17.47,1.53,220525_WT_M_#15
Male,WT,14.05,1.47,220525_WT_M_#16
Male,HM,13.48,1.27,220610_KO_M_#01
Male,HM,19.4,2.45,220610_KO_M_#08
Male,HM,15.36,2.15,220610_KO_M_#09
Male,HM,13.74,0.67,220610_KO_M_#13
Male,HM,16.07,1.11,220610_KO_M_#19
Male,HM,14.66,4.09,220615_KO_M_#03
Male,HM,16.39,1.33,220615_KO_M_#04
Male,HM,19.91,4.13,220615_KO_M_#05
Male,HM,17.13,2.94,220615_KO_M_#06
Male,HM,21.57,3.18,220615_KO_M_#07
Male,HM,22.91,4.52,220615_KO_M_#11
Male,HM,20.47,3.48,220615_KO_M_#20
Male,HM,25.9,8.38,220705_KO_M_#03
Male,HM,17.28,1.6,220705_KO_M_#04
Male,HM,15.08,3.33,220705_KO_M_#06
Female,WT,18.27,2.4,220503_WT_F_#01
Female,WT,15.97,0.97,220503_WT_F_#08
Female,WT,14.81,1.12,220503_WT_F_#09
Female,WT,15.37,0.7,220503_WT_F_#10
Female,WT,16.98,9.04,220510_WT_F_#01
Female,WT,16.17,2.72,220510_WT_F_#04
Female,WT,14.93,1.15,220510_WT_F_#05
Female,WT,14.23,1.97,220510_WT_F_#06
Female,WT,18.8,4.45,220513_WT_F_#01
Female,WT,19.12,2.61,220513_WT_F_#03
Female,WT,15.09,1.28,220513_WT_F_#05
Female,WT,19.37,2.91,220513_WT_F_#07
Female,WT,14.94,1.47,220513_WT_F_#10
Female,WT,15.39,2.48,220513_WT_F_#11
Female,WT,14.81,6.3,220531_WT_F_#02
Female,WT,19.46,4.72,220531_WT_F_#03
Female,WT,13.67,3.33,220531_WT_F_#15
Female,HM,16.35,2.36,220504_KO_F_#02
Female,HM,12.08,3.11,220504_KO_F_#03
Female,HM,13.81,1.38,220504_KO_F_#08
Female,HM,14.51,3.45,220511_KO_F_#02
Female,HM,16.39,3.71,220511_KO_F_#05
Female,HM,15.63,5.08,220511_KO_F_#06
Female,HM,14.48,4.72,220511_KO_F_#11
Female,HM,15.61,2.3,220511_KO_F_#13
Female,HM,15.52,2.78,220527_KO_F_#07
Female,HM,15.92,2.07,220527_KO_F_#08
Female,HM,15.78,2.23,220603_KO_F_#02
Female,HM,18.81,1.98,220603_KO_F_#03
Female,HM,16.34,3.79,220603_KO_F_#05
Female,HM,16.71,1.89,220603_KO_F_#08
