,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset
0,7283,10.481172270376554,1.3841246326263739,335,6442,9.654435646911287,-0.18873056304738883,308
1,14058,17.141268137174638,1.6374107270859621,548,12677,15.783689924326202,-0.8170314607712253,505
2,29746,32.56319934873601,1.2868973489680415,1042,29109,31.937002881259943,-0.016653715463340626,1021
3,43798,46.376877152462455,1.5173091938135255,1484,42469,45.07041701859166,-1.1860137657540388,1442
4,80359,82.31780187364396,0.9798047501809292,2634,78779,80.76459870470802,-0.7081830023044888,2584
5,85062,86.94103890117923,0.96306871509583,2782,84435,86.32467283350654,-0.1409909719644387,2762
6,90166,91.9584749608305,1.0478429079255658,2942,89432,91.23692361526153,-0.823203809473392,2919
7,98977,100.62004022759919,0.8821099457628179,3219,97702,99.36666425266671,-0.37855320669268355,3179
8,103822,105.38286893234262,1.0749174996990327,3372,103011,104.58562350828753,-0.46218152319933875,3346
9,118730,120.03802895923943,1.1502382747215543,3841,118085,119.40396817192064,-0.6862726368176645,3820
10,127565,128.72318718553626,0.9401961880677986,4119,125942,127.12771329744574,-1.2937939742448323,4068
11,133478,134.53590258928196,0.6571111023120658,4305,131949,133.03283445934332,-2.4959082822878655,4257
12,137242,138.2360650752787,1.1527784743586649,4423,136532,137.53810668923788,-1.5178485877376842,4401
13,141525,142.4464253110715,0.8342954394836931,4558,139685,140.63763174724735,-1.1035842013421477,4500
14,150858,151.62113744757724,1.3884604834504486,4851,149982,150.7599944248001,-0.46984628641166837,4824
15,157680,158.32743619345126,1.3367922240724877,5066,156359,157.0288403794232,-0.6327847699297103,5024
16,161836,162.412950351741,1.0982947578636075,5197,161173,161.7611948447761,-0.48095596881387453,5176
17,172114,172.5166352696673,1.179128302216552,5520,171563,171.9749802405004,0.45755261890242827,5503
18,175167,175.51785632964288,1.460811790000668,5616,174327,174.69210274615796,-1.2628451921175128,5590
19,178654,178.94571674108568,0.6205225030614007,5726,177826,178.1317596373648,-0.7497705245083038,5700
20,197728,197.69622132607557,1.6459861358321874,6326,197069,197.04839797903205,0.004405526165400237,6305
21,204091,203.9513047209739,1.4627068305124327,6526,203436,203.30741353385173,-0.6672205451025736,6505
22,213224,212.92940886141182,0.9379981826678037,6813,212301,212.02206295955875,0.013499144972821862,6784
23,224009,223.5314950493701,0.48309944682694966,7153,223111,222.6487251470255,-0.6153214560299984,7124
24,227373,226.83844154323117,0.40335466212463783,7258,226733,226.20929595581407,-0.6045664440739921,7238
25,233081,232.44963375100733,1.00121607960926,7438,231716,231.1077841778443,-0.06585630889199282,7395
26,241764,240.9853699002926,1.5779978716882843,7711,240939,240.17436191651277,-0.3438150280825987,7685
27,249157,248.25298447494032,1.5080674512339918,7944,248054,247.16869137662619,-0.7933767670094494,7909
28,250685,249.7550695648986,1.2934552350543538,7992,249993,249.07480589850388,-1.0305262790319705,7970
29,271370,270.089251558215,1.6173269304661495,8642,270508,269.2418710951626,-0.5041255644858554,8615
30,277811,276.42101207157975,1.228961004491631,8845,277045,275.66800344663994,-0.2534841161912749,8821
31,291792,290.1648940367021,1.217721964948079,9285,289892,288.29711807405766,-1.1392276716582004,9225
32,303379,301.5553782888924,1.2234120069468122,9649,302652,300.84070822318586,-0.6643746685214051,9626
33,318832,316.7462951050741,1.6952392437834227,10135,318308,316.23118215537636,0.9528051796293652,10119
34,323919,321.74701948505964,1.7568551707761917,10295,322653,320.5024908699502,0.27772871370482816,10256
35,327638,325.4029451719411,1.2182024628129433,10412,327050,324.82491766350165,-0.6085719343715474,10394
36,336487,334.1018659579627,1.4233074936103811,10691,335715,333.3429590931408,0.14631755542297536,10666
37,342336,339.8516668029667,1.630920017644053,10875,341682,339.20875865582485,-0.5806631617893214,10854
38,346231,343.68060752638786,1.7304762034002725,10997,345143,342.6110600277788,-0.9007179832890393,10963
39,353353,350.6818182663636,1.6897909605482764,11221,352703,350.04284227914314,-0.5031519488147079,11201
40,355349,352.6439660671207,1.2322636959306306,11284,354498,351.807399043852,-0.7961860420777743,11257
41,385459,382.243299875134,1.43291003319491,12231,384858,381.65249284695017,-0.4294261481949114,12212
42,391877,388.552450468951,2.0501288898996997,12433,391132,387.8200856835983,0.11581615807934714,12410
43,397244,393.8284260434315,1.2982222229662,12602,396644,393.23860205522794,-0.23421746277357144,12583
44,400731,397.25628645487427,1.4190729975449248,12712,399852,396.3921943121561,-0.36582531004452334,12684
45,405643,402.0849788383004,1.4647974104229902,12866,404132,400.5996054280079,-0.5962161667624234,12819
46,410598,406.9559419408812,1.2723817757279356,13022,409698,406.0712059585759,-0.8559869017348337,12994
47,414536,410.82715338345696,1.7575047517814768,13146,413744,410.04858571902827,-1.0496941900933596,13121
48,419511,415.71777728564444,1.544232206129297,13302,418741,414.9608365007833,-0.9371471109195039,13278
49,420769,416.9544415809112,1.3092426598798648,13342,420189,416.38427839231446,-0.8903408194575344,13324
50,438622,434.5046543499069,1.315252613200406,13904,438149,434.03967643920646,0.22506926879386702,13889
51,442567,438.38274707234507,1.1867341972754935,14028,441900,437.7270594054588,-0.034359844944872354,14007
52,454966,450.5714597885708,1.9713001843955171,14418,453572,449.20110205597797,-0.2492439751031853,14374
53,470649,465.9884758002305,1.9502602015105885,14911,469859,465.2118742157625,0.015906504569807082,14886
54,473345,468.638751587225,1.4874540075104428,14996,472607,467.91326808173466,-0.5947899672904394,14973
55,475675,470.9292347414153,1.7418370138979762,15069,474254,469.5323349293533,-0.6546781476493406,15025
56,485782,480.8648198227036,1.947202678508983,15387,484711,479.8119840037603,-0.5016515903369887,15353
57,493672,488.6210052675799,2.1088556839634625,15635,493008,487.9682667206347,0.5016328657531673,15614
58,505514,500.2621647147567,1.990458858148144,16008,504432,499.19851545602967,0.547137598545393,15974
59,526011,520.4115351917693,0.8380738893156804,16653,525412,519.8226942435462,-0.4300989460379269,16634
60,530431,524.7565719048686,0.3399392077176698,16792,529676,524.0143767197125,-1.4114086210057024,16768
61,546831,540.8784275824314,0.2088404151776834,17308,546233,540.2905696741886,-1.2582125259174948,17289
62,550411,544.3977107120458,0.44233659995787106,17420,549555,543.5562284888754,-2.1316570962976646,17393
