,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,Heading_2_Szone,distance,approaching,EVT1,EVT2,EVT3
0,483.6490173339844,738.7756958007812,483.6490173339844,738.7756958007812,else,,545.7684583685902,off,False,621.7591991665872,False,,,
1,484.3851013183594,738.9301147460938,484.3851013183594,738.9301147460938,else,,545.6242333303013,off,False,621.7736001961174,False,,,
2,485.8175048828125,739.0635375976562,485.8175048828125,739.0635375976562,else,,545.6404601985822,off,False,621.6399996561908,True,,,
3,486.935302734375,742.9888305664062,486.935302734375,742.9888305664062,else,,549.4725574475896,off,False,625.2958399743303,False,,,
4,488.9624938964844,749.0487060546875,488.9624938964844,749.0487060546875,else,,555.2882630983661,off,False,630.8968402630417,False,,,
5,489.1966857910156,751.2672119140625,489.1966857910156,751.2672119140625,else,,557.4609638347707,off,False,633.0398027666379,False,,,
6,490.3991088867188,752.75390625,490.3991088867188,752.75390625,else,,558.7903026881819,off,False,634.294725429322,False,,,
7,491.2682495117188,755.7559204101562,491.2682495117188,755.7559204101562,else,,561.7293931091556,off,False,637.1028874320444,False,,,
8,492.91943359375,757.1595458984375,492.91943359375,757.1595458984375,else,,562.9854039445818,off,False,638.2068488327366,False,,,
9,492.9564514160156,761.4971923828125,492.9564514160156,761.4971923828125,else,,567.2721353669867,off,False,642.477247885369,False,,,
10,492.9564514160156,765.18505859375,492.9564514160156,765.18505859375,else,,570.9390438030149,off,False,646.1138600808471,False,,,
11,492.91943359375,768.698974609375,492.91943359375,768.698974609375,else,,574.4497881594139,off,False,649.5855784786081,False,,,
12,491.1241455078125,770.9385375976562,491.1241455078125,770.9385375976562,else,,576.7933221185646,off,False,652.0919527333679,False,,,
13,490.7731018066406,776.6851806640625,490.7731018066406,776.6851806640625,E,2,582.4573732339406,off,False,657.8168277735907,False,,,
14,489.0837707519531,782.762939453125,489.0837707519531,782.762939453125,E,,588.6292155619861,off,False,664.0910455591928,False,,,
15,486.6391906738281,786.84375,486.6391906738281,786.84375,E,,591.5932678709056,off,False,668.5250631091906,False,,,
