,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,NHaxis_angle,Heading_2_Szone,distance,approaching,EVT1,EVT2,EVT3
76,511.2420959472656,213.9227600097656,511.2420959472656,213.9227600097656,S,,88.57714221397133,off,76.92039596951749,False,123.5341500133877,False,,,
77,504.71771240234375,212.90170288085935,504.71771240234375,212.90170288085935,S,,95.10755117125379,off,73.99823652745617,False,127.62058408388593,False,,,
78,498.7717895507813,211.2051239013672,498.7717895507813,211.2051239013672,S,,101.32685873092235,off,72.30781672757125,False,131.03527477054863,False,,,
79,495.09033203125,208.53128051757807,495.09033203125,208.53128051757807,S,,105.57298474209118,off,71.51469193885804,False,132.2547752450331,False,,,
80,490.35052490234375,202.03091430664065,490.35052490234375,202.03091430664065,S,,112.0345929614452,off,73.82929532824977,False,132.30110983007177,False,,,
81,488.00872802734375,196.30621337890625,488.00872802734375,196.30621337890625,S,,115.576111167953,off,78.18603352915008,False,131.17844252855775,True,,,
82,486.5532836914063,188.80023193359372,486.5532836914063,188.80023193359372,S,,117.21475441733226,off,82.53229063375215,False,128.71218141411998,True,,,
83,482.6928405761719,186.6275177001953,482.6928405761719,186.6275177001953,S,,110.93224986393983,off,79.10207427410084,False,131.14173814531415,False,,,
84,479.7248229980469,182.3783264160156,479.7248229980469,182.3783264160156,S,,113.49038226168578,off,83.32782280433486,False,131.99666884682316,False,,,
85,478.2979736328125,178.16696166992188,478.2979736328125,178.16696166992188,S,,114.50008021357738,off,86.5484642599005,False,131.63626880564115,True,,,
86,474.5169372558594,176.58201599121094,474.5169372558594,176.58201599121094,S,,,,81.74510215610043,False,134.55932265517765,False,,,
87,473.0507507324219,173.2679443359375,473.0507507324219,173.2679443359375,S,,107.1405436218745,off,82.55182758352906,False,134.77870259801145,False,,,
88,471.1224060058594,169.2950897216797,471.1224060058594,169.2950897216797,S,,108.80532036611585,off,85.64114597799444,False,135.3318834156982,False,,,
89,467.2725830078125,168.92652893066406,467.2725830078125,168.92652893066406,S,,112.09008830890558,off,83.26844156400496,False,138.89401711999875,False,,,
90,461.5250549316406,168.77162170410156,461.5250549316406,168.77162170410156,S,,116.39777000132851,off,76.87314989423824,False,144.3524698370884,False,,,
91,455.9940185546875,160.71221923828125,455.9940185546875,160.71221923828125,S,,123.7020866175201,off,79.98376713268607,False,147.6746829335383,False,,,
92,449.9768371582031,155.87576293945312,449.9768371582031,155.87576293945312,S,,129.90919742732004,off,80.21265610681543,False,152.59098121616785,False,,,
93,449.9768371582031,147.2360382080078,449.9768371582031,147.2360382080078,S,,131.69316774397757,off,90.18593137941691,False,151.251362159143,True,,,
94,449.9768371582031,139.02171325683594,449.9768371582031,139.02171325683594,S,,134.3888809602328,off,93.08370704457593,False,150.4274827023713,True,,,
95,450.0727844238281,131.14723205566406,450.0727844238281,131.14723205566406,S,,136.55151151973973,off,93.97489904646444,False,149.9602448652179,True,,,
96,454.88092041015625,128.10829162597656,454.88092041015625,128.10829162597656,S,,,,103.94125765248253,False,145.11911999484997,True,,,
97,456.4648132324219,125.7371063232422,456.4648132324219,125.7371063232422,S,,,,109.59449121468795,False,143.55302340318661,True,,,
98,459.4075317382813,125.43956756591795,459.4075317382813,125.43956756591795,S,,,,112.90489261005928,False,140.61578128422101,True,,,
99,461.0498962402344,124.62075805664062,461.0498962402344,124.62075805664062,S,,,,111.89165421338306,False,138.9911889688026,True,,,
100,461.0498962402344,124.62075805664062,461.0498962402344,124.62075805664062,S,,,,112.00964083372408,False,138.9911889688026,False,,,
